,batsman,got_out,Runs,Balls,Fours,Sixes,St.rate,Inning,Team,Opponent,Win/Lost,match_id,time,day,year,Month,Venue,ID
0,Parthiv Patel (wk),not out,31,14,3,2,221.43,Inn1,Mumbai Indians,Rising Pune Supergiant,lost,18122,20:00:00,6,2017,4,"Maharashtra Cricket Association Stadium, Pune",74
1,Jos Buttler,b Pathan,13,10,0,1,130.00,Inn1,Mumbai Indians,Rising Pune Supergiant,lost,18122,20:00:00,6,2017,4,"Maharashtra Cricket Association Stadium, Pune",2258
2,Rohit (c),c Pathan b Mota,32,13,2,3,246.15,Inn1,Mumbai Indians,Rising Pune Supergiant,lost,18122,20:00:00,6,2017,4,"Maharashtra Cricket Association Stadium, Pune",576
3,Nitish Rana,not out,116,54,8,9,214.81,Inn1,Mumbai Indians,Rising Pune Supergiant,lost,18122,20:00:00,6,2017,4,"Maharashtra Cricket Association Stadium, Pune",9204
4,Rayudu,lbw b Hopes,2,3,0,0,66.67,Inn1,Mumbai Indians,Rising Pune Supergiant,lost,18122,20:00:00,6,2017,4,"Maharashtra Cricket Association Stadium, Pune",6311
5,Krunal Pandya,c Sangakkara b Lee,15,10,3,0,150.00,Inn1,Mumbai Indians,Rising Pune Supergiant,lost,18122,20:00:00,6,2017,4,"Maharashtra Cricket Association Stadium, Pune",11311
6,Pollard,b Pathan,25,17,4,1,147.06,Inn1,Mumbai Indians,Rising Pune Supergiant,lost,18122,20:00:00,6,2017,4,"Maharashtra Cricket Association Stadium, Pune",657
7,Ajinkya Rahane,not out,31,14,3,2,221.43,Inn2,Rising Pune Supergiant,Mumbai Indians,won,18122,20:00:00,6,2017,4,"Maharashtra Cricket Association Stadium, Pune",1447
8,Mayank Agarwal,b Pathan,13,10,0,1,130.00,Inn2,Rising Pune Supergiant,Mumbai Indians,won,18122,20:00:00,6,2017,4,"Maharashtra Cricket Association Stadium, Pune",2195
9,Steven Smith (c),c Pathan b Mota,32,13,2,3,246.15,Inn2,Rising Pune Supergiant,Mumbai Indians,won,18122,20:00:00,6,2017,4,"Maharashtra Cricket Association Stadium, Pune",2250
10,Ben Stokes,not out,116,54,8,9,214.81,Inn2,Rising Pune Supergiant,Mumbai Indians,won,18122,20:00:00,6,2017,4,"Maharashtra Cricket Association Stadium, Pune",6557
11,MS Dhoni (wk),lbw b Hopes,2,3,0,0,66.67,Inn2,Rising Pune Supergiant,Mumbai Indians,won,18122,20:00:00,6,2017,4,"Maharashtra Cricket Association Stadium, Pune",265
12,4,c Sangakkara b Lee,15,10,3,0,150.00,Inn2,Rising Pune Supergiant,Mumbai Indians,won,18122,20:00:00,6,2017,4,"Maharashtra Cricket Association Stadium, Pune",
13,,b Pathan,25,17,4,1,147.06,Inn2,Rising Pune Supergiant,Mumbai Indians,won,18122,20:00:00,6,2017,4,"Maharashtra Cricket Association Stadium, Pune",
14,Roy,not out,31,14,3,2,221.43,Inn1,Gujarat Lions,Kolkata Knight Riders,lost,18123,20:00:00,7,2017,4,"Saurashtra Cricket Association Stadium, Rajkot",6534
15,Brendon McCullum,b Pathan,13,10,0,1,130.00,Inn1,Gujarat Lions,Kolkata Knight Riders,lost,18123,20:00:00,7,2017,4,"Saurashtra Cricket Association Stadium, Rajkot",201
16,Raina (c),c Pathan b Mota,32,13,2,3,246.15,Inn1,Gujarat Lions,Kolkata Knight Riders,lost,18123,20:00:00,7,2017,4,"Saurashtra Cricket Association Stadium, Rajkot",413
17,Finch,not out,116,54,8,9,214.81,Inn1,Gujarat Lions,Kolkata Knight Riders,lost,18123,20:00:00,7,2017,4,"Saurashtra Cricket Association Stadium, Rajkot",1643
18,Karthik (wk),lbw b Hopes,2,3,0,0,66.67,Inn1,Gujarat Lions,Kolkata Knight Riders,lost,18123,20:00:00,7,2017,4,"Saurashtra Cricket Association Stadium, Rajkot",145
19,Dwayne Smith,c Sangakkara b Lee,15,10,3,0,150.00,Inn1,Gujarat Lions,Kolkata Knight Riders,lost,18123,20:00:00,7,2017,4,"Saurashtra Cricket Association Stadium, Rajkot",255
20,4,b Pathan,25,17,4,1,147.06,Inn1,Gujarat Lions,Kolkata Knight Riders,lost,18123,20:00:00,7,2017,4,"Saurashtra Cricket Association Stadium, Rajkot",
21,Gautam Gambhir (c),not out,31,14,3,2,221.43,Inn2,Kolkata Knight Riders,Gujarat Lions,won,18123,20:00:00,7,2017,4,"Saurashtra Cricket Association Stadium, Rajkot",308
22,Chris Lynn,b Pathan,13,10,0,1,130.00,Inn2,Kolkata Knight Riders,Gujarat Lions,won,18123,20:00:00,7,2017,4,"Saurashtra Cricket Association Stadium, Rajkot",7752
23,15,c Pathan b Mota,32,13,2,3,246.15,Inn2,Kolkata Knight Riders,Gujarat Lions,won,18123,20:00:00,7,2017,4,"Saurashtra Cricket Association Stadium, Rajkot",
24,,not out,116,54,8,9,214.81,Inn2,Kolkata Knight Riders,Gujarat Lions,won,18123,20:00:00,7,2017,4,"Saurashtra Cricket Association Stadium, Rajkot",
25,,not out,116,3,0,0,66.67,Inn2,Kolkata Knight Riders,Gujarat Lions,won,18123,20:00:00,7,2017,4,"Saurashtra Cricket Association Stadium, Rajkot",
26,,not out,116,10,3,0,150.00,Inn2,Kolkata Knight Riders,Gujarat Lions,won,18123,20:00:00,7,2017,4,"Saurashtra Cricket Association Stadium, Rajkot",
27,,not out,116,17,4,1,147.06,Inn2,Kolkata Knight Riders,Gujarat Lions,won,18123,20:00:00,7,2017,4,"Saurashtra Cricket Association Stadium, Rajkot",
28,,lbw b Hopes,2,54,8,9,214.81,Inn2,Kolkata Knight Riders,Gujarat Lions,won,18123,20:00:00,7,2017,4,"Saurashtra Cricket Association Stadium, Rajkot",
29,,lbw b Hopes,2,3,0,0,66.67,Inn2,Kolkata Knight Riders,Gujarat Lions,won,18123,20:00:00,7,2017,4,"Saurashtra Cricket Association Stadium, Rajkot",
30,,lbw b Hopes,2,10,3,0,150.00,Inn2,Kolkata Knight Riders,Gujarat Lions,won,18123,20:00:00,7,2017,4,"Saurashtra Cricket Association Stadium, Rajkot",
31,,lbw b Hopes,2,17,4,1,147.06,Inn2,Kolkata Knight Riders,Gujarat Lions,won,18123,20:00:00,7,2017,4,"Saurashtra Cricket Association Stadium, Rajkot",
32,,c Sangakkara b Lee,15,54,8,9,214.81,Inn2,Kolkata Knight Riders,Gujarat Lions,won,18123,20:00:00,7,2017,4,"Saurashtra Cricket Association Stadium, Rajkot",
33,,c Sangakkara b Lee,15,3,0,0,66.67,Inn2,Kolkata Knight Riders,Gujarat Lions,won,18123,20:00:00,7,2017,4,"Saurashtra Cricket Association Stadium, Rajkot",
34,,c Sangakkara b Lee,15,10,3,0,150.00,Inn2,Kolkata Knight Riders,Gujarat Lions,won,18123,20:00:00,7,2017,4,"Saurashtra Cricket Association Stadium, Rajkot",
35,,c Sangakkara b Lee,15,17,4,1,147.06,Inn2,Kolkata Knight Riders,Gujarat Lions,won,18123,20:00:00,7,2017,4,"Saurashtra Cricket Association Stadium, Rajkot",
36,,b Pathan,25,54,8,9,214.81,Inn2,Kolkata Knight Riders,Gujarat Lions,won,18123,20:00:00,7,2017,4,"Saurashtra Cricket Association Stadium, Rajkot",
37,,b Pathan,25,3,0,0,66.67,Inn2,Kolkata Knight Riders,Gujarat Lions,won,18123,20:00:00,7,2017,4,"Saurashtra Cricket Association Stadium, Rajkot",
38,,b Pathan,25,10,3,0,150.00,Inn2,Kolkata Knight Riders,Gujarat Lions,won,18123,20:00:00,7,2017,4,"Saurashtra Cricket Association Stadium, Rajkot",
39,,b Pathan,25,17,4,1,147.06,Inn2,Kolkata Knight Riders,Gujarat Lions,won,18123,20:00:00,7,2017,4,"Saurashtra Cricket Association Stadium, Rajkot",
40,A Rahane,not out,31,14,3,2,221.43,Inn1,Rising Pune Supergiant,Kings XI Punjab,lost,18124,16:00:00,8,2017,4,"Holkar Cricket Stadium, Indore",1447
41,Mayank Agarwal,b Pathan,13,10,0,1,130.00,Inn1,Rising Pune Supergiant,Kings XI Punjab,lost,18124,16:00:00,8,2017,4,"Holkar Cricket Stadium, Indore",2195
