,batsman,got_out,Runs,Balls,Fours,Sixes,St.rate,Inning,Team,Opponent,Win/Lost,match_id,time,day,year,Month,Venue,ID
42,Steven Smith (c),c Pathan b Mota,32,13,2,3,246.15,Inn1,Rising Pune Supergiant,Kings XI Punjab,lost,18124,16:00:00,8,2017,4,"Holkar Cricket Stadium, Indore",2250
43,Stokes,not out,116,54,8,9,214.81,Inn1,Rising Pune Supergiant,Kings XI Punjab,lost,18124,16:00:00,8,2017,4,"Holkar Cricket Stadium, Indore",6557
44,Dhoni (wk),lbw b Hopes,2,3,0,0,66.67,Inn1,Rising Pune Supergiant,Kings XI Punjab,lost,18124,16:00:00,8,2017,4,"Holkar Cricket Stadium, Indore",265
45,Manoj Tiwary,c Sangakkara b Lee,15,10,3,0,150.00,Inn1,Rising Pune Supergiant,Kings XI Punjab,lost,18124,16:00:00,8,2017,4,"Holkar Cricket Stadium, Indore",694
46,Christian,b Pathan,25,17,4,1,147.06,Inn1,Rising Pune Supergiant,Kings XI Punjab,lost,18124,16:00:00,8,2017,4,"Holkar Cricket Stadium, Indore",6283
47,Hashim Amla,not out,31,14,3,2,221.43,Inn2,Kings XI Punjab,Rising Pune Supergiant,won,18124,16:00:00,8,2017,4,"Holkar Cricket Stadium, Indore",314
48,Manan Vohra,b Pathan,13,10,0,1,130.00,Inn2,Kings XI Punjab,Rising Pune Supergiant,won,18124,16:00:00,8,2017,4,"Holkar Cricket Stadium, Indore",8358
49,Wriddhiman Saha (wk),c Pathan b Mota,32,13,2,3,246.15,Inn2,Kings XI Punjab,Rising Pune Supergiant,won,18124,16:00:00,8,2017,4,"Holkar Cricket Stadium, Indore",1465
50,Axar Patel,not out,116,54,8,9,214.81,Inn2,Kings XI Punjab,Rising Pune Supergiant,won,18124,16:00:00,8,2017,4,"Holkar Cricket Stadium, Indore",8808
51,Glenn Maxwell (c),lbw b Hopes,2,3,0,0,66.67,Inn2,Kings XI Punjab,Rising Pune Supergiant,won,18124,16:00:00,8,2017,4,"Holkar Cricket Stadium, Indore",7662
52,David Miller,c Sangakkara b Lee,15,10,3,0,150.00,Inn2,Kings XI Punjab,Rising Pune Supergiant,won,18124,16:00:00,8,2017,4,"Holkar Cricket Stadium, Indore",6349
53,10,b Pathan,25,17,4,1,147.06,Inn2,Kings XI Punjab,Rising Pune Supergiant,won,18124,16:00:00,8,2017,4,"Holkar Cricket Stadium, Indore",
54,Roy,not out,31,14,3,2,221.43,Inn1,Gujarat Lions,Sunrisers Hyderabad,lost,18126,16:00:00,9,2017,4,"Rajiv Gandhi International Stadium, Hyderabad",6534
55,Brendon McCullum,b Pathan,13,10,0,1,130.00,Inn1,Gujarat Lions,Sunrisers Hyderabad,lost,18126,16:00:00,9,2017,4,"Rajiv Gandhi International Stadium, Hyderabad",201
56,Raina (c),c Pathan b Mota,32,13,2,3,246.15,Inn1,Gujarat Lions,Sunrisers Hyderabad,lost,18126,16:00:00,9,2017,4,"Rajiv Gandhi International Stadium, Hyderabad",413
57,Finch,not out,116,54,8,9,214.81,Inn1,Gujarat Lions,Sunrisers Hyderabad,lost,18126,16:00:00,9,2017,4,"Rajiv Gandhi International Stadium, Hyderabad",1643
58,Karthik (wk),lbw b Hopes,2,3,0,0,66.67,Inn1,Gujarat Lions,Sunrisers Hyderabad,lost,18126,16:00:00,9,2017,4,"Rajiv Gandhi International Stadium, Hyderabad",145
59,Dwayne Smith,c Sangakkara b Lee,15,10,3,0,150.00,Inn1,Gujarat Lions,Sunrisers Hyderabad,lost,18126,16:00:00,9,2017,4,"Rajiv Gandhi International Stadium, Hyderabad",255
60,D Kulkarni,b Pathan,25,17,4,1,147.06,Inn1,Gujarat Lions,Sunrisers Hyderabad,lost,18126,16:00:00,9,2017,4,"Rajiv Gandhi International Stadium, Hyderabad",1451
61,David Warner (c),not out,31,14,3,2,221.43,Inn2,Sunrisers Hyderabad,Gujarat Lions,won,18126,16:00:00,9,2017,4,"Rajiv Gandhi International Stadium, Hyderabad",1739
62,Shikhar Dhawan,b Pathan,13,10,0,1,130.00,Inn2,Sunrisers Hyderabad,Gujarat Lions,won,18126,16:00:00,9,2017,4,"Rajiv Gandhi International Stadium, Hyderabad",1446
63,Moises Henriques,c Pathan b Mota,32,13,2,3,246.15,Inn2,Sunrisers Hyderabad,Gujarat Lions,won,18126,16:00:00,9,2017,4,"Rajiv Gandhi International Stadium, Hyderabad",1437
64,3,not out,116,54,8,9,214.81,Inn2,Sunrisers Hyderabad,Gujarat Lions,won,18126,16:00:00,9,2017,4,"Rajiv Gandhi International Stadium, Hyderabad",
65,,lbw b Hopes,2,3,0,0,66.67,Inn2,Sunrisers Hyderabad,Gujarat Lions,won,18126,16:00:00,9,2017,4,"Rajiv Gandhi International Stadium, Hyderabad",
66,,lbw b Hopes,2,10,3,0,150.00,Inn2,Sunrisers Hyderabad,Gujarat Lions,won,18126,16:00:00,9,2017,4,"Rajiv Gandhi International Stadium, Hyderabad",
67,,lbw b Hopes,2,17,4,1,147.06,Inn2,Sunrisers Hyderabad,Gujarat Lions,won,18126,16:00:00,9,2017,4,"Rajiv Gandhi International Stadium, Hyderabad",
68,,c Sangakkara b Lee,15,3,0,0,66.67,Inn2,Sunrisers Hyderabad,Gujarat Lions,won,18126,16:00:00,9,2017,4,"Rajiv Gandhi International Stadium, Hyderabad",
69,,c Sangakkara b Lee,15,10,3,0,150.00,Inn2,Sunrisers Hyderabad,Gujarat Lions,won,18126,16:00:00,9,2017,4,"Rajiv Gandhi International Stadium, Hyderabad",
70,,c Sangakkara b Lee,15,17,4,1,147.06,Inn2,Sunrisers Hyderabad,Gujarat Lions,won,18126,16:00:00,9,2017,4,"Rajiv Gandhi International Stadium, Hyderabad",
71,,b Pathan,25,3,0,0,66.67,Inn2,Sunrisers Hyderabad,Gujarat Lions,won,18126,16:00:00,9,2017,4,"Rajiv Gandhi International Stadium, Hyderabad",
72,,b Pathan,25,10,3,0,150.00,Inn2,Sunrisers Hyderabad,Gujarat Lions,won,18126,16:00:00,9,2017,4,"Rajiv Gandhi International Stadium, Hyderabad",
73,,b Pathan,25,17,4,1,147.06,Inn2,Sunrisers Hyderabad,Gujarat Lions,won,18126,16:00:00,9,2017,4,"Rajiv Gandhi International Stadium, Hyderabad",
74,Watson (c),not out,31,14,3,2,221.43,Inn1,Royal Challengers Bangalore,Kings XI Punjab,lost,18128,20:00:00,10,2017,4,"Holkar Cricket Stadium, Indore",158
75,Vishnu Vinod (wk),b Pathan,13,10,0,1,130.00,Inn1,Royal Challengers Bangalore,Kings XI Punjab,lost,18128,20:00:00,10,2017,4,"Holkar Cricket Stadium, Indore",11893
76,de Villiers,c Pathan b Mota,32,13,2,3,246.15,Inn1,Royal Challengers Bangalore,Kings XI Punjab,lost,18128,20:00:00,10,2017,4,"Holkar Cricket Stadium, Indore",370
77,Kedar Jadhav,not out,116,54,8,9,214.81,Inn1,Royal Challengers Bangalore,Kings XI Punjab,lost,18128,20:00:00,10,2017,4,"Holkar Cricket Stadium, Indore",1851
78,Mandeep,lbw b Hopes,2,3,0,0,66.67,Inn1,Royal Challengers Bangalore,Kings XI Punjab,lost,18128,20:00:00,10,2017,4,"Holkar Cricket Stadium, Indore",6319
79,Binny,c Sangakkara b Lee,15,10,3,0,150.00,Inn1,Royal Challengers Bangalore,Kings XI Punjab,lost,18128,20:00:00,10,2017,4,"Holkar Cricket Stadium, Indore",1530
80,4,b Pathan,25,17,4,1,147.06,Inn1,Royal Challengers Bangalore,Kings XI Punjab,lost,18128,20:00:00,10,2017,4,"Holkar Cricket Stadium, Indore",
81,Manan Vohra,not out,31,14,3,2,221.43,Inn2,Kings XI Punjab,Royal Challengers Bangalore,won,18128,20:00:00,10,2017,4,"Holkar Cricket Stadium, Indore",8358
82,Hashim Amla,b Pathan,13,10,0,1,130.00,Inn2,Kings XI Punjab,Royal Challengers Bangalore,won,18128,20:00:00,10,2017,4,"Holkar Cricket Stadium, Indore",314
83,Axar Patel,c Pathan b Mota,32,13,2,3,246.15,Inn2,Kings XI Punjab,Royal Challengers Bangalore,won,18128,20:00:00,10,2017,4,"Holkar Cricket Stadium, Indore",8808
84,Glenn Maxwell (c),not out,116,54,8,9,214.81,Inn2,Kings XI Punjab,Royal Challengers Bangalore,won,18128,20:00:00,10,2017,4,"Holkar Cricket Stadium, Indore",7662
85,6,lbw b Hopes,2,3,0,0,66.67,Inn2,Kings XI Punjab,Royal Challengers Bangalore,won,18128,20:00:00,10,2017,4,"Holkar Cricket Stadium, Indore",
86,,c Sangakkara b Lee,15,10,3,0,150.00,Inn2,Kings XI Punjab,Royal Challengers Bangalore,won,18128,20:00:00,10,2017,4,"Holkar Cricket Stadium, Indore",
87,,c Sangakkara b Lee,15,17,4,1,147.06,Inn2,Kings XI Punjab,Royal Challengers Bangalore,won,18128,20:00:00,10,2017,4,"Holkar Cricket Stadium, Indore",
88,,b Pathan,25,10,3,0,150.00,Inn2,Kings XI Punjab,Royal Challengers Bangalore,won,18128,20:00:00,10,2017,4,"Holkar Cricket Stadium, Indore",
89,,b Pathan,25,17,4,1,147.06,Inn2,Kings XI Punjab,Royal Challengers Bangalore,won,18128,20:00:00,10,2017,4,"Holkar Cricket Stadium, Indore",
90,Tare,not out,31,14,3,2,221.43,Inn1,Delhi Daredevils,Rising Pune Supergiant,won,18129,20:00:00,11,2017,4,"Maharashtra Cricket Association Stadium, Pune",6315
91,Billings,b Pathan,13,10,0,1,130.00,Inn1,Delhi Daredevils,Rising Pune Supergiant,won,18129,20:00:00,11,2017,4,"Maharashtra Cricket Association Stadium, Pune",7990
92,Samson,c Pathan b Mota,32,13,2,3,246.15,Inn1,Delhi Daredevils,Rising Pune Supergiant,won,18129,20:00:00,11,2017,4,"Maharashtra Cricket Association Stadium, Pune",8271
93,Pant (wk),not out,116,54,8,9,214.81,Inn1,Delhi Daredevils,Rising Pune Supergiant,won,18129,20:00:00,11,2017,4,"Maharashtra Cricket Association Stadium, Pune",10744
94,CJ Anderson,lbw b Hopes,2,3,0,0,66.67,Inn1,Delhi Daredevils,Rising Pune Supergiant,won,18129,20:00:00,11,2017,4,"Maharashtra Cricket Association Stadium, Pune",8982
95,Chris Morris,c Sangakkara b Lee,15,10,3,0,150.00,Inn1,Delhi Daredevils,Rising Pune Supergiant,won,18129,20:00:00,11,2017,4,"Maharashtra Cricket Association Stadium, Pune",8333
96,8,b Pathan,25,17,4,1,147.06,Inn1,Delhi Daredevils,Rising Pune Supergiant,won,18129,20:00:00,11,2017,4,"Maharashtra Cricket Association Stadium, Pune",
97,Ajinkya Rahane (c),not out,31,14,3,2,221.43,Inn2,Rising Pune Supergiant,Delhi Daredevils,lost,18129,20:00:00,11,2017,4,"Maharashtra Cricket Association Stadium, Pune",1447
98,Mayank Agarwal,b Pathan,13,10,0,1,130.00,Inn2,Rising Pune Supergiant,Delhi Daredevils,lost,18129,20:00:00,11,2017,4,"Maharashtra Cricket Association Stadium, Pune",2195
99,Faf du Plessis,c Pathan b Mota,32,13,2,3,246.15,Inn2,Rising Pune Supergiant,Delhi Daredevils,lost,18129,20:00:00,11,2017,4,"Maharashtra Cricket Association Stadium, Pune",7825
100,Rahul Tripathi,not out,116,54,8,9,214.81,Inn2,Rising Pune Supergiant,Delhi Daredevils,lost,18129,20:00:00,11,2017,4,"Maharashtra Cricket Association Stadium, Pune",9012
101,Ben Stokes,lbw b Hopes,2,3,0,0,66.67,Inn2,Rising Pune Supergiant,Delhi Daredevils,lost,18129,20:00:00,11,2017,4,"Maharashtra Cricket Association Stadium, Pune",6557
102,MS Dhoni (wk),c Sangakkara b Lee,15,10,3,0,150.00,Inn2,Rising Pune Supergiant,Delhi Daredevils,lost,18129,20:00:00,11,2017,4,"Maharashtra Cricket Association Stadium, Pune",265
103,Rajat Bhatia,b Pathan,25,17,4,1,147.06,Inn2,Rising Pune Supergiant,Delhi Daredevils,lost,18129,20:00:00,11,2017,4,"Maharashtra Cricket Association Stadium, Pune",1468
104,Dhawan,not out,31,14,3,2,221.43,Inn1,Sunrisers Hyderabad,Mumbai Indians,lost,18130,20:00:00,12,2017,4,"Wankhede Stadium, Mumbai",1446
105,Warner (c),b Pathan,13,10,0,1,130.00,Inn1,Sunrisers Hyderabad,Mumbai Indians,lost,18130,20:00:00,12,2017,4,"Wankhede Stadium, Mumbai",1739
106,Deepak Hooda,c Pathan b Mota,32,13,2,3,246.15,Inn1,Sunrisers Hyderabad,Mumbai Indians,lost,18130,20:00:00,12,2017,4,"Wankhede Stadium, Mumbai",9427
107,Yuvraj,not out,116,54,8,9,214.81,Inn1,Sunrisers Hyderabad,Mumbai Indians,lost,18130,20:00:00,12,2017,4,"Wankhede Stadium, Mumbai",69
108,Cutting,lbw b Hopes,2,3,0,0,66.67,Inn1,Sunrisers Hyderabad,Mumbai Indians,lost,18130,20:00:00,12,2017,4,"Wankhede Stadium, Mumbai",8118
109,Naman Ojha (wk),c Sangakkara b Lee,15,10,3,0,150.00,Inn1,Sunrisers Hyderabad,Mumbai Indians,lost,18130,20:00:00,12,2017,4,"Wankhede Stadium, Mumbai",1599
110,Vijay Shankar,b Pathan,25,17,4,1,147.06,Inn1,Sunrisers Hyderabad,Mumbai Indians,lost,18130,20:00:00,12,2017,4,"Wankhede Stadium, Mumbai",8204
111,Parthiv Patel (wk),not out,31,14,3,2,221.43,Inn2,Mumbai Indians,Sunrisers Hyderabad,won,18130,20:00:00,12,2017,4,"Wankhede Stadium, Mumbai",74
112,Jos Buttler,b Pathan,13,10,0,1,130.00,Inn2,Mumbai Indians,Sunrisers Hyderabad,won,18130,20:00:00,12,2017,4,"Wankhede Stadium, Mumbai",2258
113,Rohit Sharma (c),c Pathan b Mota,32,13,2,3,246.15,Inn2,Mumbai Indians,Sunrisers Hyderabad,won,18130,20:00:00,12,2017,4,"Wankhede Stadium, Mumbai",576
114,Nitish Rana,not out,116,54,8,9,214.81,Inn2,Mumbai Indians,Sunrisers Hyderabad,won,18130,20:00:00,12,2017,4,"Wankhede Stadium, Mumbai",9204
115,Kieron Pollard,lbw b Hopes,2,3,0,0,66.67,Inn2,Mumbai Indians,Sunrisers Hyderabad,won,18130,20:00:00,12,2017,4,"Wankhede Stadium, Mumbai",657
116,Krunal Pandya,c Sangakkara b Lee,15,10,3,0,150.00,Inn2,Mumbai Indians,Sunrisers Hyderabad,won,18130,20:00:00,12,2017,4,"Wankhede Stadium, Mumbai",11311
117,Hardik Pandya,b Pathan,25,17,4,1,147.06,Inn2,Mumbai Indians,Sunrisers Hyderabad,won,18130,20:00:00,12,2017,4,"Wankhede Stadium, Mumbai",9647
118,Amla,not out,31,14,3,2,221.43,Inn1,Kings XI Punjab,Kolkata Knight Riders,lost,18131,20:00:00,13,2017,4,"Eden Gardens, Kolkata",314
119,Vohra,b Pathan,13,10,0,1,130.00,Inn1,Kings XI Punjab,Kolkata Knight Riders,lost,18131,20:00:00,13,2017,4,"Eden Gardens, Kolkata",8358
120,Stoinis,c Pathan b Mota,32,13,2,3,246.15,Inn1,Kings XI Punjab,Kolkata Knight Riders,lost,18131,20:00:00,13,2017,4,"Eden Gardens, Kolkata",8989
121,Maxwell (c),not out,116,54,8,9,214.81,Inn1,Kings XI Punjab,Kolkata Knight Riders,lost,18131,20:00:00,13,2017,4,"Eden Gardens, Kolkata",7662
122,Miller,lbw b Hopes,2,3,0,0,66.67,Inn1,Kings XI Punjab,Kolkata Knight Riders,lost,18131,20:00:00,13,2017,4,"Eden Gardens, Kolkata",6349
123,Saha (wk),c Sangakkara b Lee,15,10,3,0,150.00,Inn1,Kings XI Punjab,Kolkata Knight Riders,lost,18131,20:00:00,13,2017,4,"Eden Gardens, Kolkata",1465
124,Axar,b Pathan,25,17,4,1,147.06,Inn1,Kings XI Punjab,Kolkata Knight Riders,lost,18131,20:00:00,13,2017,4,"Eden Gardens, Kolkata",8808
125,Sunil Narine,not out,31,14,3,2,221.43,Inn2,Kolkata Knight Riders,Kings XI Punjab,won,18131,20:00:00,13,2017,4,"Eden Gardens, Kolkata",2276
126,Gautam Gambhir (c),b Pathan,13,10,0,1,130.00,Inn2,Kolkata Knight Riders,Kings XI Punjab,won,18131,20:00:00,13,2017,4,"Eden Gardens, Kolkata",308
127,Robin Uthappa (wk),c Pathan b Mota,32,13,2,3,246.15,Inn2,Kolkata Knight Riders,Kings XI Punjab,won,18131,20:00:00,13,2017,4,"Eden Gardens, Kolkata",527
128,Manish Pandey,not out,116,54,8,9,214.81,Inn2,Kolkata Knight Riders,Kings XI Punjab,won,18131,20:00:00,13,2017,4,"Eden Gardens, Kolkata",1836
129,11,lbw b Hopes,2,3,0,0,66.67,Inn2,Kolkata Knight Riders,Kings XI Punjab,won,18131,20:00:00,13,2017,4,"Eden Gardens, Kolkata",
130,,c Sangakkara b Lee,15,10,3,0,150.00,Inn2,Kolkata Knight Riders,Kings XI Punjab,won,18131,20:00:00,13,2017,4,"Eden Gardens, Kolkata",
131,,c Sangakkara b Lee,15,17,4,1,147.06,Inn2,Kolkata Knight Riders,Kings XI Punjab,won,18131,20:00:00,13,2017,4,"Eden Gardens, Kolkata",
132,,b Pathan,25,10,3,0,150.00,Inn2,Kolkata Knight Riders,Kings XI Punjab,won,18131,20:00:00,13,2017,4,"Eden Gardens, Kolkata",
133,,b Pathan,25,17,4,1,147.06,Inn2,Kolkata Knight Riders,Kings XI Punjab,won,18131,20:00:00,13,2017,4,"Eden Gardens, Kolkata",
134,Gayle,not out,31,14,3,2,221.43,Inn1,Royal Challengers Bangalore,Mumbai Indians,lost,18132,16:00:00,14,2017,4,"M.Chinnaswamy Stadium, Bengaluru",247
135,Kohli (c),b Pathan,13,10,0,1,130.00,Inn1,Royal Challengers Bangalore,Mumbai Indians,lost,18132,16:00:00,14,2017,4,"M.Chinnaswamy Stadium, Bengaluru",1413
136,de Villiers,c Pathan b Mota,32,13,2,3,246.15,Inn1,Royal Challengers Bangalore,Mumbai Indians,lost,18132,16:00:00,14,2017,4,"M.Chinnaswamy Stadium, Bengaluru",370
137,Kedar Jadhav (wk),not out,116,54,8,9,214.81,Inn1,Royal Challengers Bangalore,Mumbai Indians,lost,18132,16:00:00,14,2017,4,"M.Chinnaswamy Stadium, Bengaluru",1851
138,Negi,lbw b Hopes,2,3,0,0,66.67,Inn1,Royal Challengers Bangalore,Mumbai Indians,lost,18132,16:00:00,14,2017,4,"M.Chinnaswamy Stadium, Bengaluru",8281
139,Mandeep,c Sangakkara b Lee,15,10,3,0,150.00,Inn1,Royal Challengers Bangalore,Mumbai Indians,lost,18132,16:00:00,14,2017,4,"M.Chinnaswamy Stadium, Bengaluru",6319
140,Binny,b Pathan,25,17,4,1,147.06,Inn1,Royal Challengers Bangalore,Mumbai Indians,lost,18132,16:00:00,14,2017,4,"M.Chinnaswamy Stadium, Bengaluru",1530
141,Parthiv Patel (wk),not out,31,14,3,2,221.43,Inn2,Mumbai Indians,Royal Challengers Bangalore,won,18132,16:00:00,14,2017,4,"M.Chinnaswamy Stadium, Bengaluru",74
142,Jos Buttler,b Pathan,13,10,0,1,130.00,Inn2,Mumbai Indians,Royal Challengers Bangalore,won,18132,16:00:00,14,2017,4,"M.Chinnaswamy Stadium, Bengaluru",2258
143,Rohit Sharma (c),c Pathan b Mota,32,13,2,3,246.15,Inn2,Mumbai Indians,Royal Challengers Bangalore,won,18132,16:00:00,14,2017,4,"M.Chinnaswamy Stadium, Bengaluru",576
144,Mitchell McClenaghan,not out,116,54,8,9,214.81,Inn2,Mumbai Indians,Royal Challengers Bangalore,won,18132,16:00:00,14,2017,4,"M.Chinnaswamy Stadium, Bengaluru",7624
