,batsman,got_out,Runs,Balls,Fours,Sixes,St.rate,Inning,Team,Opponent,Win/Lost,match_id,time,day,year,Month,Venue
0,Shikhar Dhawan,c A Raut b A Singh,24,15,2,1,160.00,Inn1,Deccan Chargers,Rajasthan Royals,lost,9900,16:00:00,9,2011,4,"Rajiv Gandhi International Stadium, Hyderabad"
1,Ishank Jaggi,c J Botha b S Warne,25,28,3,0,89.29,Inn1,Deccan Chargers,Rajasthan Royals,lost,9900,16:00:00,9,2011,4,"Rajiv Gandhi International Stadium, Hyderabad"
2,Kumar Sangakkara,c A Paunikar b S Trivedi,0,3,0,0,0.00,Inn1,Deccan Chargers,Rajasthan Royals,lost,9900,16:00:00,9,2011,4,"Rajiv Gandhi International Stadium, Hyderabad"
3,Bharath Chipli,b S Trivedi,6,9,1,0,66.67,Inn1,Deccan Chargers,Rajasthan Royals,lost,9900,16:00:00,9,2011,4,"Rajiv Gandhi International Stadium, Hyderabad"
4,Jean-Paul Duminy,c J Botha b S Warne,14,17,0,1,82.35,Inn1,Deccan Chargers,Rajasthan Royals,lost,9900,16:00:00,9,2011,4,"Rajiv Gandhi International Stadium, Hyderabad"
5,Daniel Christian,c (sub)A Rahane b S Trivedi,26,19,1,2,136.84,Inn1,Deccan Chargers,Rajasthan Royals,lost,9900,16:00:00,9,2011,4,"Rajiv Gandhi International Stadium, Hyderabad"
6,Dwaraka Ravi Teja,c A Menaria b A Singh,28,20,2,1,140.00,Inn1,Deccan Chargers,Rajasthan Royals,lost,9900,16:00:00,9,2011,4,"Rajiv Gandhi International Stadium, Hyderabad"
7,Dale Steyn,c J Botha b A Singh,7,6,1,0,116.67,Inn1,Deccan Chargers,Rajasthan Royals,lost,9900,16:00:00,9,2011,4,"Rajiv Gandhi International Stadium, Hyderabad"
8,Amit Mishra,not out,2,2,0,0,100.00,Inn1,Deccan Chargers,Rajasthan Royals,lost,9900,16:00:00,9,2011,4,"Rajiv Gandhi International Stadium, Hyderabad"
9,Ishant Sharma,not out,1,1,0,0,100.00,Inn1,Deccan Chargers,Rajasthan Royals,lost,9900,16:00:00,9,2011,4,"Rajiv Gandhi International Stadium, Hyderabad"
10,Amit Paunikar,c K Sangakkara b D Steyn,20,19,4,0,105.26,Inn2,Rajasthan Royals,Deccan Chargers,won,9900,16:00:00,9,2011,4,"Rajiv Gandhi International Stadium, Hyderabad"
11,Rahul Dravid,b D Steyn,28,35,2,0,80.00,Inn2,Rajasthan Royals,Deccan Chargers,won,9900,16:00:00,9,2011,4,"Rajiv Gandhi International Stadium, Hyderabad"
12,Johan Botha,not out,67,47,8,1,142.55,Inn2,Rajasthan Royals,Deccan Chargers,won,9900,16:00:00,9,2011,4,"Rajiv Gandhi International Stadium, Hyderabad"
13,Ross Taylor,not out,21,14,1,2,150.00,Inn2,Rajasthan Royals,Deccan Chargers,won,9900,16:00:00,9,2011,4,"Rajiv Gandhi International Stadium, Hyderabad"
14,David Warner,b L Malinga,1,3,0,0,33.33,Inn1,Delhi Daredevils,Mumbai Indians,lost,9902,16:00:00,10,2011,4,"Arun Jaitley Stadium, Delhi"
15,Virender Sehwag,run out (S Tendulkar),19,16,2,1,118.75,Inn1,Delhi Daredevils,Mumbai Indians,lost,9902,16:00:00,10,2011,4,"Arun Jaitley Stadium, Delhi"
16,Unmukt Chand,b L Malinga,0,2,0,0,0.00,Inn1,Delhi Daredevils,Mumbai Indians,lost,9902,16:00:00,10,2011,4,"Arun Jaitley Stadium, Delhi"
17,Aaron Finch,c A Rayudu b H Singh,8,12,1,0,66.67,Inn1,Delhi Daredevils,Mumbai Indians,lost,9902,16:00:00,10,2011,4,"Arun Jaitley Stadium, Delhi"
18,Naman Ojha,c L Malinga b A Murtaza,29,30,2,1,96.67,Inn1,Delhi Daredevils,Mumbai Indians,lost,9902,16:00:00,10,2011,4,"Arun Jaitley Stadium, Delhi"
19,Venugopal Rao,b L Malinga,26,25,3,0,104.00,Inn1,Delhi Daredevils,Mumbai Indians,lost,9902,16:00:00,10,2011,4,"Arun Jaitley Stadium, Delhi"
20,Irfan Pathan,run out (R Sathish/D Jacobs),0,1,0,0,0.00,Inn1,Delhi Daredevils,Mumbai Indians,lost,9902,16:00:00,10,2011,4,"Arun Jaitley Stadium, Delhi"
21,Roelof van der Merwe,not out,8,6,1,0,133.33,Inn1,Delhi Daredevils,Mumbai Indians,lost,9902,16:00:00,10,2011,4,"Arun Jaitley Stadium, Delhi"
22,Morne Morkel,b L Malinga,0,2,0,0,0.00,Inn1,Delhi Daredevils,Mumbai Indians,lost,9902,16:00:00,10,2011,4,"Arun Jaitley Stadium, Delhi"
23,Umesh Yadav,st D Jacobs b H Singh,0,4,0,0,0.00,Inn1,Delhi Daredevils,Mumbai Indians,lost,9902,16:00:00,10,2011,4,"Arun Jaitley Stadium, Delhi"
24,,c J Franklin b L Malinga,0,5,0,0,0.00,Inn1,Delhi Daredevils,Mumbai Indians,lost,9902,16:00:00,10,2011,4,"Arun Jaitley Stadium, Delhi"
25,Davy Jacobs,b M Morkel,1,6,0,0,16.67,Inn2,Mumbai Indians,Delhi Daredevils,won,9902,16:00:00,10,2011,4,"Arun Jaitley Stadium, Delhi"
26,Sachin Tendulkar,not out,46,50,3,1,92.00,Inn2,Mumbai Indians,Delhi Daredevils,won,9902,16:00:00,10,2011,4,"Arun Jaitley Stadium, Delhi"
27,Ambati Rayudu,run out (R Merwe),14,15,2,0,93.33,Inn2,Mumbai Indians,Delhi Daredevils,won,9902,16:00:00,10,2011,4,"Arun Jaitley Stadium, Delhi"
28,Rohit Sharma,not out,27,30,3,0,90.00,Inn2,Mumbai Indians,Delhi Daredevils,won,9902,16:00:00,10,2011,4,"Arun Jaitley Stadium, Delhi"
29,Jacques Kallis,c S Dhawan b J Duminy,53,45,7,1,117.78,Inn1,Kolkata Knight Riders,Deccan Chargers,won,9904,20:00:00,11,2011,4,"Eden Gardens, Kolkata"
30,Manvinder Bisla,lbw b A Mishra,19,21,3,0,90.48,Inn1,Kolkata Knight Riders,Deccan Chargers,won,9904,20:00:00,11,2011,4,"Eden Gardens, Kolkata"
31,Gautam Gambhir,b A Mishra,29,18,4,0,161.11,Inn1,Kolkata Knight Riders,Deccan Chargers,won,9904,20:00:00,11,2011,4,"Eden Gardens, Kolkata"
32,Manoj Tiwary,not out,30,21,2,2,142.86,Inn1,Kolkata Knight Riders,Deccan Chargers,won,9904,20:00:00,11,2011,4,"Eden Gardens, Kolkata"
33,Yusuf Pathan,c I Jaggi b D Steyn,22,15,4,0,146.67,Inn1,Kolkata Knight Riders,Deccan Chargers,won,9904,20:00:00,11,2011,4,"Eden Gardens, Kolkata"
34,Shikhar Dhawan,run out (E Morgan),7,7,1,0,100.00,Inn2,Deccan Chargers,Kolkata Knight Riders,lost,9904,20:00:00,11,2011,4,"Eden Gardens, Kolkata"
35,Ishank Jaggi,b I Abdulla,3,9,0,0,33.33,Inn2,Deccan Chargers,Kolkata Knight Riders,lost,9904,20:00:00,11,2011,4,"Eden Gardens, Kolkata"
36,Bharath Chipli,c J Kallis b R Bhatia,48,40,6,1,120.00,Inn2,Deccan Chargers,Kolkata Knight Riders,lost,9904,20:00:00,11,2011,4,"Eden Gardens, Kolkata"
37,Kumar Sangakkara,c J Kallis b R Bhatia,16,15,2,0,106.67,Inn2,Deccan Chargers,Kolkata Knight Riders,lost,9904,20:00:00,11,2011,4,"Eden Gardens, Kolkata"
38,Jean-Paul Duminy,c J Kallis b I Abdulla,6,8,0,0,75.00,Inn2,Deccan Chargers,Kolkata Knight Riders,lost,9904,20:00:00,11,2011,4,"Eden Gardens, Kolkata"
39,Daniel Christian,c R Doeschate b I Abdulla,25,13,1,2,192.31,Inn2,Deccan Chargers,Kolkata Knight Riders,lost,9904,20:00:00,11,2011,4,"Eden Gardens, Kolkata"
40,Dwaraka Ravi Teja,c J Kallis b J Unadkat,14,10,1,1,140.00,Inn2,Deccan Chargers,Kolkata Knight Riders,lost,9904,20:00:00,11,2011,4,"Eden Gardens, Kolkata"
41,Dale Steyn,b J Unadkat,13,12,1,0,108.33,Inn2,Deccan Chargers,Kolkata Knight Riders,lost,9904,20:00:00,11,2011,4,"Eden Gardens, Kolkata"
42,Amit Mishra,not out,12,5,1,1,240.00,Inn2,Deccan Chargers,Kolkata Knight Riders,lost,9904,20:00:00,11,2011,4,"Eden Gardens, Kolkata"
43,Ishant Sharma,not out,1,1,0,0,100.00,Inn2,Deccan Chargers,Kolkata Knight Riders,lost,9904,20:00:00,11,2011,4,"Eden Gardens, Kolkata"
44,David Warner,c A Raut b A Singh,54,44,6,1,122.73,Inn1,Delhi Daredevils,Rajasthan Royals,lost,9905,16:00:00,12,2011,4,"Sawai Mansingh Stadium, Jaipur"
45,Virender Sehwag,c R Dravid b S Tait,4,2,1,0,200.00,Inn1,Delhi Daredevils,Rajasthan Royals,lost,9905,16:00:00,12,2011,4,"Sawai Mansingh Stadium, Jaipur"
46,Aaron Finch,c J Botha b S Tait,11,14,1,1,78.57,Inn1,Delhi Daredevils,Rajasthan Royals,lost,9905,16:00:00,12,2011,4,"Sawai Mansingh Stadium, Jaipur"
47,Unmukt Chand,c R Dravid b S Warne,2,10,0,0,20.00,Inn1,Delhi Daredevils,Rajasthan Royals,lost,9905,16:00:00,12,2011,4,"Sawai Mansingh Stadium, Jaipur"
48,Naman Ojha,c S Tait b S Warne,0,2,0,0,0.00,Inn1,Delhi Daredevils,Rajasthan Royals,lost,9905,16:00:00,12,2011,4,"Sawai Mansingh Stadium, Jaipur"
49,Venugopal Rao,c S Warne b S Trivedi,60,40,4,4,150.00,Inn1,Delhi Daredevils,Rajasthan Royals,lost,9905,16:00:00,12,2011,4,"Sawai Mansingh Stadium, Jaipur"
50,Irfan Pathan,not out,9,6,2,0,150.00,Inn1,Delhi Daredevils,Rajasthan Royals,lost,9905,16:00:00,12,2011,4,"Sawai Mansingh Stadium, Jaipur"
51,Roelof van der Merwe,not out,2,3,0,0,66.67,Inn1,Delhi Daredevils,Rajasthan Royals,lost,9905,16:00:00,12,2011,4,"Sawai Mansingh Stadium, Jaipur"
52,Amit Paunikar,b A Dinda,5,8,1,0,62.50,Inn2,Rajasthan Royals,Delhi Daredevils,won,9905,16:00:00,12,2011,4,"Sawai Mansingh Stadium, Jaipur"
53,Rahul Dravid,c N Ojha b R Merwe,38,31,6,1,122.58,Inn2,Rajasthan Royals,Delhi Daredevils,won,9905,16:00:00,12,2011,4,"Sawai Mansingh Stadium, Jaipur"
54,Johan Botha,not out,39,32,4,0,121.88,Inn2,Rajasthan Royals,Delhi Daredevils,won,9905,16:00:00,12,2011,4,"Sawai Mansingh Stadium, Jaipur"
55,Ashok Menaria,c V Sehwag b I Pathan,22,15,0,3,146.67,Inn2,Rajasthan Royals,Delhi Daredevils,won,9905,16:00:00,12,2011,4,"Sawai Mansingh Stadium, Jaipur"
56,Ajinkya Rahane,b M Morkel,18,17,1,1,105.88,Inn2,Rajasthan Royals,Delhi Daredevils,won,9905,16:00:00,12,2011,4,"Sawai Mansingh Stadium, Jaipur"
57,Ross Taylor,not out,18,10,1,1,180.00,Inn2,Rajasthan Royals,Delhi Daredevils,won,9905,16:00:00,12,2011,4,"Sawai Mansingh Stadium, Jaipur"
58,Srikkanth Anirudha,lbw b P Kumar,0,1,0,0,0.00,Inn1,Chennai Super Kings,Kings XI Punjab,lost,9908,16:00:00,13,2011,4,"Punjab Cricket Association IS Bindra Stadium, Mohali"
59,Murali Vijay,st A Gilchrist b P Chawla,74,43,6,4,172.09,Inn1,Chennai Super Kings,Kings XI Punjab,lost,9908,16:00:00,13,2011,4,"Punjab Cricket Association IS Bindra Stadium, Mohali"
60,Suresh Raina,c P Valthaty b P Kumar,0,1,0,0,0.00,Inn1,Chennai Super Kings,Kings XI Punjab,lost,9908,16:00:00,13,2011,4,"Punjab Cricket Association IS Bindra Stadium, Mohali"
61,S Badrinath,not out,66,56,8,0,117.86,Inn1,Chennai Super Kings,Kings XI Punjab,lost,9908,16:00:00,13,2011,4,"Punjab Cricket Association IS Bindra Stadium, Mohali"
