,batsman,got_out,Runs,Balls,Fours,Sixes,St.rate,Inning,Team,Opponent,Win/Lost,match_id,time,day,year,Month,Venue
0,Mayank Agarwal,c Kohli b M Starc,6,10,0,0,60.00,Inn1,Delhi Daredevils,Royal Challengers Bangalore,lost,13638,20:00:00,17,2014,4,"Sharjah Cricket Stadium, Sharjah"
1,Murali Vijay,b Chahal,18,20,1,1,90.00,Inn1,Delhi Daredevils,Royal Challengers Bangalore,lost,13638,20:00:00,17,2014,4,"Sharjah Cricket Stadium, Sharjah"
2,Dinesh Karthik,c Parthiv Patel b A Morkel,0,1,0,0,0.00,Inn1,Delhi Daredevils,Royal Challengers Bangalore,lost,13638,20:00:00,17,2014,4,"Sharjah Cricket Stadium, Sharjah"
3,Manoj Tiwary,c Parthiv Patel b Aaron,1,3,0,0,33.33,Inn1,Delhi Daredevils,Royal Challengers Bangalore,lost,13638,20:00:00,17,2014,4,"Sharjah Cricket Stadium, Sharjah"
4,Jean-Paul Duminy,not out,67,48,4,3,139.58,Inn1,Delhi Daredevils,Royal Challengers Bangalore,lost,13638,20:00:00,17,2014,4,"Sharjah Cricket Stadium, Sharjah"
5,Ross Taylor,not out,43,39,4,0,110.26,Inn1,Delhi Daredevils,Royal Challengers Bangalore,lost,13638,20:00:00,17,2014,4,"Sharjah Cricket Stadium, Sharjah"
6,Parthiv Patel,b Rahul Sharma,37,28,5,1,132.14,Inn2,Royal Challengers Bangalore,Delhi Daredevils,won,13638,20:00:00,17,2014,4,"Sharjah Cricket Stadium, Sharjah"
7,Nic Maddinson,c D Karthik b Shami,4,6,1,0,66.67,Inn2,Royal Challengers Bangalore,Delhi Daredevils,won,13638,20:00:00,17,2014,4,"Sharjah Cricket Stadium, Sharjah"
8,Virat Kohli,not out,49,38,2,3,128.95,Inn2,Royal Challengers Bangalore,Delhi Daredevils,won,13638,20:00:00,17,2014,4,"Sharjah Cricket Stadium, Sharjah"
9,Yuvraj Singh,not out,52,29,3,5,179.31,Inn2,Royal Challengers Bangalore,Delhi Daredevils,won,13638,20:00:00,17,2014,4,"Sharjah Cricket Stadium, Sharjah"
10,Dwayne Smith,c Bailey b Balaji,66,43,6,3,153.49,Inn1,Chennai Super Kings,Kings XI Punjab,lost,13639,16:00:00,18,2014,4,"Sheikh Zayed Stadium, Abu Dhabi"
11,Brendon McCullum,c Maxwell b A Patel,67,45,4,5,148.89,Inn1,Chennai Super Kings,Kings XI Punjab,lost,13639,16:00:00,18,2014,4,"Sheikh Zayed Stadium, Abu Dhabi"
12,Suresh Raina,c Sehwag b Awana,24,19,2,0,126.32,Inn1,Chennai Super Kings,Kings XI Punjab,lost,13639,16:00:00,18,2014,4,"Sheikh Zayed Stadium, Abu Dhabi"
13,MS Dhoni,c R Dhawan b Balaji,26,11,3,1,236.36,Inn1,Chennai Super Kings,Kings XI Punjab,lost,13639,16:00:00,18,2014,4,"Sheikh Zayed Stadium, Abu Dhabi"
