,batsman,got_out,Runs,Balls,Fours,Sixes,St.rate,Inning,Team,Opponent,Win/Lost,match_id,time,day,year,Month,Venue,ID
0,Taruwar Kohli,not out,31,14,3,2,221.43,Inn1,Kings XI Punjab,Delhi Daredevils,lost,10603,16:00:00,19,2009,4,"Newlands, Cape Town",1793
1,Irfan Pathan,b Pathan,13,10,0,1,130.00,Inn1,Kings XI Punjab,Delhi Daredevils,lost,10603,16:00:00,19,2009,4,"Newlands, Cape Town",73
2,Piyush Chawla,c Pathan b Mota,32,13,2,3,246.15,Inn1,Kings XI Punjab,Delhi Daredevils,lost,10603,16:00:00,19,2009,4,"Newlands, Cape Town",466
3,Mahela Jayawardene,not out,116,54,8,9,214.81,Inn1,Kings XI Punjab,Delhi Daredevils,lost,10603,16:00:00,19,2009,4,"Newlands, Cape Town",101
4,Kumar Sangakkara,lbw b Hopes,2,3,0,0,66.67,Inn1,Kings XI Punjab,Delhi Daredevils,lost,10603,16:00:00,19,2009,4,"Newlands, Cape Town",104
5,Yuvraj Singh,c Sangakkara b Lee,15,10,3,0,150.00,Inn1,Kings XI Punjab,Delhi Daredevils,lost,10603,16:00:00,19,2009,4,"Newlands, Cape Town",69
6,Karan Goel,b Pathan,25,17,4,1,147.06,Inn1,Kings XI Punjab,Delhi Daredevils,lost,10603,16:00:00,19,2009,4,"Newlands, Cape Town",1823
7,Virender Sehwag,not out,31,14,3,2,221.43,Inn2,Delhi Daredevils,Kings XI Punjab,won,10603,16:00:00,19,2009,4,"Newlands, Cape Town",26
8,Gautam Gambhir,b Pathan,13,10,0,1,130.00,Inn2,Delhi Daredevils,Kings XI Punjab,won,10603,16:00:00,19,2009,4,"Newlands, Cape Town",308
9,5,c Pathan b Mota,32,13,2,3,246.15,Inn2,Delhi Daredevils,Kings XI Punjab,won,10603,16:00:00,19,2009,4,"Newlands, Cape Town",
10,,not out,116,54,8,9,214.81,Inn2,Delhi Daredevils,Kings XI Punjab,won,10603,16:00:00,19,2009,4,"Newlands, Cape Town",
11,,not out,116,3,0,0,66.67,Inn2,Delhi Daredevils,Kings XI Punjab,won,10603,16:00:00,19,2009,4,"Newlands, Cape Town",
