,batsman,got_out,Runs,Balls,Fours,Sixes,St.rate,Inning,Team,Opponent,Win/Lost,match_id,time,day,year,Month,Venue
0,Ruturaj Gaikwad,c Dhawan b Chris Woakes,5,8,1,0,62.50,Inn1,Chennai Super Kings,Delhi Capitals,lost,35617,19:30:00,10,2021,4,"Wankhede Stadium, Mumbai"
1,du Plessis,lbw b Avesh Khan,0,3,0,0,0.00,Inn1,Chennai Super Kings,Delhi Capitals,lost,35617,19:30:00,10,2021,4,"Wankhede Stadium, Mumbai"
2,Moeen,c Dhawan b Ashwin,36,24,4,2,150.00,Inn1,Chennai Super Kings,Delhi Capitals,lost,35617,19:30:00,10,2021,4,"Wankhede Stadium, Mumbai"
3,Raina,run out (Chris Woakes/Pant),54,36,3,4,150.00,Inn1,Chennai Super Kings,Delhi Capitals,lost,35617,19:30:00,10,2021,4,"Wankhede Stadium, Mumbai"
4,Rayudu,c Dhawan b Tom Curran,23,16,1,2,143.75,Inn1,Chennai Super Kings,Delhi Capitals,lost,35617,19:30:00,10,2021,4,"Wankhede Stadium, Mumbai"
5,Ravindra Jadeja,not out,26,17,3,0,152.94,Inn1,Chennai Super Kings,Delhi Capitals,lost,35617,19:30:00,10,2021,4,"Wankhede Stadium, Mumbai"
6,Dhoni (c & wk),b Avesh Khan,0,2,0,0,0.00,Inn1,Chennai Super Kings,Delhi Capitals,lost,35617,19:30:00,10,2021,4,"Wankhede Stadium, Mumbai"
7,Sam Curran,b Chris Woakes,34,15,4,2,226.67,Inn1,Chennai Super Kings,Delhi Capitals,lost,35617,19:30:00,10,2021,4,"Wankhede Stadium, Mumbai"
8,Prithvi Shaw,c Moeen b DJ Bravo,72,38,9,3,189.47,Inn2,Delhi Capitals,Chennai Super Kings,won,35617,19:30:00,10,2021,4,"Wankhede Stadium, Mumbai"
9,Shikhar Dhawan,lbw b Thakur,85,54,10,2,157.41,Inn2,Delhi Capitals,Chennai Super Kings,won,35617,19:30:00,10,2021,4,"Wankhede Stadium, Mumbai"
10,Rishabh Pant (c & wk),not out,15,12,2,0,125.00,Inn2,Delhi Capitals,Chennai Super Kings,won,35617,19:30:00,10,2021,4,"Wankhede Stadium, Mumbai"
11,Marcus Stoinis,c Sam Curran b Thakur,14,9,3,0,155.56,Inn2,Delhi Capitals,Chennai Super Kings,won,35617,19:30:00,10,2021,4,"Wankhede Stadium, Mumbai"
12,Shimron Hetmyer,not out,0,0,0,0,0.00,Inn2,Delhi Capitals,Chennai Super Kings,won,35617,19:30:00,10,2021,4,"Wankhede Stadium, Mumbai"
13,Nitish Rana,c Vijay Shankar b Nabi,80,56,9,4,142.86,Inn1,Kolkata Knight Riders,Sunrisers Hyderabad,won,35618,19:30:00,11,2021,4,"MA Chidambaram Stadium, Chennai"
14,Shubman Gill,b Rashid Khan,15,13,1,1,115.38,Inn1,Kolkata Knight Riders,Sunrisers Hyderabad,won,35618,19:30:00,11,2021,4,"MA Chidambaram Stadium, Chennai"
15,Tripathi,c W Saha b T Natarajan,53,29,5,2,182.76,Inn1,Kolkata Knight Riders,Sunrisers Hyderabad,won,35618,19:30:00,11,2021,4,"MA Chidambaram Stadium, Chennai"
16,Russell,c Manish Pandey b Rashid Khan,5,5,1,0,100.00,Inn1,Kolkata Knight Riders,Sunrisers Hyderabad,won,35618,19:30:00,11,2021,4,"MA Chidambaram Stadium, Chennai"
17,Morgan (c),c Abdul Samad b Nabi,2,3,0,0,66.67,Inn1,Kolkata Knight Riders,Sunrisers Hyderabad,won,35618,19:30:00,11,2021,4,"MA Chidambaram Stadium, Chennai"
18,Karthik (wk),not out,22,9,2,1,244.44,Inn1,Kolkata Knight Riders,Sunrisers Hyderabad,won,35618,19:30:00,11,2021,4,"MA Chidambaram Stadium, Chennai"
19,Shakib,c Abdul Samad b Bhuvneshwar,3,5,0,0,60.00,Inn1,Kolkata Knight Riders,Sunrisers Hyderabad,won,35618,19:30:00,11,2021,4,"MA Chidambaram Stadium, Chennai"
