,batsman,got_out,Runs,Balls,Fours,Sixes,St.rate,Inning,Team,Opponent,Win/Lost,match_id,time,day,year,Month,Venue,ID
0,Munro,not out,31,14,3,2,221.43,Inn1,Delhi Daredevils,Kings XI Punjab,lost,20062,16:00:00,8,2018,4,"Punjab Cricket Association IS Bindra Stadium, Mohali",8085
1,Gambhir (c),b Pathan,13,10,0,1,130.00,Inn1,Delhi Daredevils,Kings XI Punjab,lost,20062,16:00:00,8,2018,4,"Punjab Cricket Association IS Bindra Stadium, Mohali",308
2,Shreyas Iyer,c Pathan b Mota,32,13,2,3,246.15,Inn1,Delhi Daredevils,Kings XI Punjab,lost,20062,16:00:00,8,2018,4,"Punjab Cricket Association IS Bindra Stadium, Mohali",9428
3,Vijay Shankar,not out,116,54,8,9,214.81,Inn1,Delhi Daredevils,Kings XI Punjab,lost,20062,16:00:00,8,2018,4,"Punjab Cricket Association IS Bindra Stadium, Mohali",8204
4,Pant (wk),lbw b Hopes,2,3,0,0,66.67,Inn1,Delhi Daredevils,Kings XI Punjab,lost,20062,16:00:00,8,2018,4,"Punjab Cricket Association IS Bindra Stadium, Mohali",10744
5,Rahul Tewatia,c Sangakkara b Lee,15,10,3,0,150.00,Inn1,Delhi Daredevils,Kings XI Punjab,lost,20062,16:00:00,8,2018,4,"Punjab Cricket Association IS Bindra Stadium, Mohali",9693
6,Chris Morris,b Pathan,25,17,4,1,147.06,Inn1,Delhi Daredevils,Kings XI Punjab,lost,20062,16:00:00,8,2018,4,"Punjab Cricket Association IS Bindra Stadium, Mohali",8333
7,Lokesh Rahul (wk),not out,31,14,3,2,221.43,Inn2,Kings XI Punjab,Delhi Daredevils,won,20062,16:00:00,8,2018,4,"Punjab Cricket Association IS Bindra Stadium, Mohali",8733
8,Mayank Agarwal,b Pathan,13,10,0,1,130.00,Inn2,Kings XI Punjab,Delhi Daredevils,won,20062,16:00:00,8,2018,4,"Punjab Cricket Association IS Bindra Stadium, Mohali",2195
9,Yuvraj Singh,c Pathan b Mota,32,13,2,3,246.15,Inn2,Kings XI Punjab,Delhi Daredevils,won,20062,16:00:00,8,2018,4,"Punjab Cricket Association IS Bindra Stadium, Mohali",69
10,Karun Nair,not out,116,54,8,9,214.81,Inn2,Kings XI Punjab,Delhi Daredevils,won,20062,16:00:00,8,2018,4,"Punjab Cricket Association IS Bindra Stadium, Mohali",8257
11,David Miller,lbw b Hopes,2,3,0,0,66.67,Inn2,Kings XI Punjab,Delhi Daredevils,won,20062,16:00:00,8,2018,4,"Punjab Cricket Association IS Bindra Stadium, Mohali",6349
12,Marcus Stoinis,c Sangakkara b Lee,15,10,3,0,150.00,Inn2,Kings XI Punjab,Delhi Daredevils,won,20062,16:00:00,8,2018,4,"Punjab Cricket Association IS Bindra Stadium, Mohali",8989
13,1,b Pathan,25,17,4,1,147.06,Inn2,Kings XI Punjab,Delhi Daredevils,won,20062,16:00:00,8,2018,4,"Punjab Cricket Association IS Bindra Stadium, Mohali",
14,A Rahane (c),not out,31,14,3,2,221.43,Inn1,Rajasthan Royals,Sunrisers Hyderabad,lost,20064,20:00:00,9,2018,4,"Rajiv Gandhi International Stadium, Hyderabad",1447
15,D Arcy Short,b Pathan,13,10,0,1,130.00,Inn1,Rajasthan Royals,Sunrisers Hyderabad,lost,20064,20:00:00,9,2018,4,"Rajiv Gandhi International Stadium, Hyderabad",11050
