,bowler,ID,overs,maidens,runs,wickets,no_balls,wides,economy,team,opponent,Inning,Win/Lost,match_id,time,day,year,Month,Venue
0,Irfan Pathan,73,1,0,9,0,0,0,9.00,Delhi Daredevils,Kolkata Knight Riders,Inn1,won,11182,20:00:00,5,2012,4,"Eden Gardens, Kolkata"
1,Roelof van der Merwe,1669,3,0,28,2,0,1,9.33,Delhi Daredevils,Kolkata Knight Riders,Inn1,won,11182,20:00:00,5,2012,4,"Eden Gardens, Kolkata"
2,Morne Morkel,608,3,0,18,3,0,0,6.00,Delhi Daredevils,Kolkata Knight Riders,Inn1,won,11182,20:00:00,5,2012,4,"Eden Gardens, Kolkata"
3,Umesh Yadav,1858,2,0,9,2,0,0,4.50,Delhi Daredevils,Kolkata Knight Riders,Inn1,won,11182,20:00:00,5,2012,4,"Eden Gardens, Kolkata"
4,Glenn Maxwell,7662,1,0,12,0,0,1,12.00,Delhi Daredevils,Kolkata Knight Riders,Inn1,won,11182,20:00:00,5,2012,4,"Eden Gardens, Kolkata"
5,Shahbaz Nadeem,7906,2,0,16,0,0,0,8.00,Delhi Daredevils,Kolkata Knight Riders,Inn1,won,11182,20:00:00,5,2012,4,"Eden Gardens, Kolkata"
6,Brett Lee,42,2,0,15,0,0,0,7.50,Kolkata Knight Riders,Delhi Daredevils,Inn2,lost,11182,20:00:00,5,2012,4,"Eden Gardens, Kolkata"
7,Marchant de Lange,8119,3,0,36,0,0,1,12.00,Kolkata Knight Riders,Delhi Daredevils,Inn2,lost,11182,20:00:00,5,2012,4,"Eden Gardens, Kolkata"
8,Iqbal Abdulla,1830,1,0,8,0,0,0,8.00,Kolkata Knight Riders,Delhi Daredevils,Inn2,lost,11182,20:00:00,5,2012,4,"Eden Gardens, Kolkata"
9,Jacques Kallis,213,3,0,23,1,0,0,7.67,Kolkata Knight Riders,Delhi Daredevils,Inn2,lost,11182,20:00:00,5,2012,4,"Eden Gardens, Kolkata"
10,Rajat Bhatia,1468,1.1,0,7,1,0,0,6.36,Kolkata Knight Riders,Delhi Daredevils,Inn2,lost,11182,20:00:00,5,2012,4,"Eden Gardens, Kolkata"
11,Yusuf Pathan,790,1,0,7,0,0,0,7.00,Kolkata Knight Riders,Delhi Daredevils,Inn2,lost,11182,20:00:00,5,2012,4,"Eden Gardens, Kolkata"
12,Lasith Malinga,111,4,1,16,2,0,1,4.00,Mumbai Indians,Pune Warriors,Inn1,lost,11183,16:00:00,6,2012,4,"Wankhede Stadium, Mumbai"
13,Harbhajan Singh,75,3,0,16,1,0,0,5.33,Mumbai Indians,Pune Warriors,Inn1,lost,11183,16:00:00,6,2012,4,"Wankhede Stadium, Mumbai"
14,Munaf Patel,522,4,0,26,2,0,0,6.50,Mumbai Indians,Pune Warriors,Inn1,lost,11183,16:00:00,6,2012,4,"Wankhede Stadium, Mumbai"
15,Pragyan Ojha,1356,4,0,23,1,0,0,5.75,Mumbai Indians,Pune Warriors,Inn1,lost,11183,16:00:00,6,2012,4,"Wankhede Stadium, Mumbai"
16,Kieron Pollard,657,4,0,31,1,0,2,7.75,Mumbai Indians,Pune Warriors,Inn1,lost,11183,16:00:00,6,2012,4,"Wankhede Stadium, Mumbai"
17,James Franklin,419,1,0,12,0,0,0,12.00,Mumbai Indians,Pune Warriors,Inn1,lost,11183,16:00:00,6,2012,4,"Wankhede Stadium, Mumbai"
18,Murali Kartik,300,3,0,14,2,0,0,4.67,Pune Warriors,Mumbai Indians,Inn2,won,11183,16:00:00,6,2012,4,"Wankhede Stadium, Mumbai"
19,Ashok Dinda,1467,4,0,18,4,0,2,4.50,Pune Warriors,Mumbai Indians,Inn2,won,11183,16:00:00,6,2012,4,"Wankhede Stadium, Mumbai"
20,Marlon Samuels,356,4,0,21,1,0,1,5.25,Pune Warriors,Mumbai Indians,Inn2,won,11183,16:00:00,6,2012,4,"Wankhede Stadium, Mumbai"
21,Wayne Parnell,1692,3,0,18,1,0,0,6.00,Pune Warriors,Mumbai Indians,Inn2,won,11183,16:00:00,6,2012,4,"Wankhede Stadium, Mumbai"
22,Rahul Sharma,6304,4,0,16,1,0,1,4.00,Pune Warriors,Mumbai Indians,Inn2,won,11183,16:00:00,6,2012,4,"Wankhede Stadium, Mumbai"
23,Bhuvneshwar Kumar,1726,2,0,13,0,0,0,6.50,Pune Warriors,Mumbai Indians,Inn2,won,11183,16:00:00,6,2012,4,"Wankhede Stadium, Mumbai"
24,Irfan Pathan,73,4,0,47,0,0,0,11.75,Delhi Daredevils,Royal Challengers Bangalore,Inn1,lost,11185,16:00:00,7,2012,4,"M.Chinnaswamy Stadium, Bengaluru"
25,Doug Bracewell,7622,4,0,32,3,0,1,8.00,Delhi Daredevils,Royal Challengers Bangalore,Inn1,lost,11185,16:00:00,7,2012,4,"M.Chinnaswamy Stadium, Bengaluru"
26,Morne Morkel,608,4,0,30,2,0,1,7.50,Delhi Daredevils,Royal Challengers Bangalore,Inn1,lost,11185,16:00:00,7,2012,4,"M.Chinnaswamy Stadium, Bengaluru"
27,Umesh Yadav,1858,2,0,8,0,0,0,4.00,Delhi Daredevils,Royal Challengers Bangalore,Inn1,lost,11185,16:00:00,7,2012,4,"M.Chinnaswamy Stadium, Bengaluru"
28,Shahbaz Nadeem,7906,4,0,26,1,0,0,6.50,Delhi Daredevils,Royal Challengers Bangalore,Inn1,lost,11185,16:00:00,7,2012,4,"M.Chinnaswamy Stadium, Bengaluru"
29,Glenn Maxwell,7662,2,0,10,1,0,0,5.00,Delhi Daredevils,Royal Challengers Bangalore,Inn1,lost,11185,16:00:00,7,2012,4,"M.Chinnaswamy Stadium, Bengaluru"
