,batsman,got_out,Runs,Balls,Fours,Sixes,St.rate,Inning,Team,Opponent,Win/Lost,match_id,time,day,year,Month,Venue,ID
0,Chris Gayle,not out,31,14,3,2,221.43,Inn1,Royal Challengers Bangalore,Mumbai Indians,won,11867,20:00:00,4,2013,4,"M.Chinnaswamy Stadium, Bengaluru",247
1,Tillakaratne Dilshan,b Pathan,13,10,0,1,130.00,Inn1,Royal Challengers Bangalore,Mumbai Indians,won,11867,20:00:00,4,2013,4,"M.Chinnaswamy Stadium, Bengaluru",105
2,Virat Kohli,c Pathan b Mota,32,13,2,3,246.15,Inn1,Royal Challengers Bangalore,Mumbai Indians,won,11867,20:00:00,4,2013,4,"M.Chinnaswamy Stadium, Bengaluru",1413
3,Mayank Agarwal,not out,116,54,8,9,214.81,Inn1,Royal Challengers Bangalore,Mumbai Indians,won,11867,20:00:00,4,2013,4,"M.Chinnaswamy Stadium, Bengaluru",2195
4,Daniel Christian,lbw b Hopes,2,3,0,0,66.67,Inn1,Royal Challengers Bangalore,Mumbai Indians,won,11867,20:00:00,4,2013,4,"M.Chinnaswamy Stadium, Bengaluru",6283
5,Karun Nair,c Sangakkara b Lee,15,10,3,0,150.00,Inn1,Royal Challengers Bangalore,Mumbai Indians,won,11867,20:00:00,4,2013,4,"M.Chinnaswamy Stadium, Bengaluru",8257
6,Arun Karthik,b Pathan,25,17,4,1,147.06,Inn1,Royal Challengers Bangalore,Mumbai Indians,won,11867,20:00:00,4,2013,4,"M.Chinnaswamy Stadium, Bengaluru",1672
7,Ricky Ponting,not out,31,14,3,2,221.43,Inn2,Mumbai Indians,Royal Challengers Bangalore,lost,11867,20:00:00,4,2013,4,"M.Chinnaswamy Stadium, Bengaluru",38
8,Sachin Tendulkar,b Pathan,13,10,0,1,130.00,Inn2,Mumbai Indians,Royal Challengers Bangalore,lost,11867,20:00:00,4,2013,4,"M.Chinnaswamy Stadium, Bengaluru",25
9,Dinesh Karthik,c Pathan b Mota,32,13,2,3,246.15,Inn2,Mumbai Indians,Royal Challengers Bangalore,lost,11867,20:00:00,4,2013,4,"M.Chinnaswamy Stadium, Bengaluru",145
10,Rohit Sharma,not out,116,54,8,9,214.81,Inn2,Mumbai Indians,Royal Challengers Bangalore,lost,11867,20:00:00,4,2013,4,"M.Chinnaswamy Stadium, Bengaluru",576
11,Ambati Rayudu,lbw b Hopes,2,3,0,0,66.67,Inn2,Mumbai Indians,Royal Challengers Bangalore,lost,11867,20:00:00,4,2013,4,"M.Chinnaswamy Stadium, Bengaluru",6311
12,Kieron Pollard,c Sangakkara b Lee,15,10,3,0,150.00,Inn2,Mumbai Indians,Royal Challengers Bangalore,lost,11867,20:00:00,4,2013,4,"M.Chinnaswamy Stadium, Bengaluru",657
13,Harbhajan Singh,b Pathan,25,17,4,1,147.06,Inn2,Mumbai Indians,Royal Challengers Bangalore,lost,11867,20:00:00,4,2013,4,"M.Chinnaswamy Stadium, Bengaluru",75
14,Akshath Reddy,not out,31,14,3,2,221.43,Inn1,Sunrisers Hyderabad,Pune Warriors,won,11868,20:00:00,5,2013,4,"Rajiv Gandhi International Stadium, Hyderabad",8284
15,Parthiv Patel,b Pathan,13,10,0,1,130.00,Inn1,Sunrisers Hyderabad,Pune Warriors,won,11868,20:00:00,5,2013,4,"Rajiv Gandhi International Stadium, Hyderabad",74
16,Kumar Sangakkara,c Pathan b Mota,32,13,2,3,246.15,Inn1,Sunrisers Hyderabad,Pune Warriors,won,11868,20:00:00,5,2013,4,"Rajiv Gandhi International Stadium, Hyderabad",104
17,Cameron White,not out,116,54,8,9,214.81,Inn1,Sunrisers Hyderabad,Pune Warriors,won,11868,20:00:00,5,2013,4,"Rajiv Gandhi International Stadium, Hyderabad",282
18,Thisara Perera,lbw b Hopes,2,3,0,0,66.67,Inn1,Sunrisers Hyderabad,Pune Warriors,won,11868,20:00:00,5,2013,4,"Rajiv Gandhi International Stadium, Hyderabad",2281
19,Hanuma Vihari,c Sangakkara b Lee,15,10,3,0,150.00,Inn1,Sunrisers Hyderabad,Pune Warriors,won,11868,20:00:00,5,2013,4,"Rajiv Gandhi International Stadium, Hyderabad",8424
