,batsman,got_out,Runs,Balls,Fours,Sixes,St.rate,Inning,Team,Opponent,Win/Lost,match_id,time,day,year,Month,Venue
0,Dwayne Smith,c Coulter-Nile b Tahir,34,31,6,0,109.68,Inn1,Chennai Super Kings,Delhi Daredevils,won,14595,20:00:00,9,2015,4,"MA Chidambaram Stadium, Chennai"
1,Brendon McCullum,c Yuvraj b Coulter-Nile,4,2,1,0,200.00,Inn1,Chennai Super Kings,Delhi Daredevils,won,14595,20:00:00,9,2015,4,"MA Chidambaram Stadium, Chennai"
2,Suresh Raina,b Coulter-Nile,4,7,0,0,57.14,Inn1,Chennai Super Kings,Delhi Daredevils,won,14595,20:00:00,9,2015,4,"MA Chidambaram Stadium, Chennai"
3,Faf du Plessis,c S Iyer b Duminy,32,24,3,0,133.33,Inn1,Chennai Super Kings,Delhi Daredevils,won,14595,20:00:00,9,2015,4,"MA Chidambaram Stadium, Chennai"
4,Ravindra Jadeja,st C Gautam b A Mishra,17,18,1,1,94.44,Inn1,Chennai Super Kings,Delhi Daredevils,won,14595,20:00:00,9,2015,4,"MA Chidambaram Stadium, Chennai"
5,MS Dhoni,c M Agarwal b Coulter-Nile,30,27,1,2,111.11,Inn1,Chennai Super Kings,Delhi Daredevils,won,14595,20:00:00,9,2015,4,"MA Chidambaram Stadium, Chennai"
6,Dwayne Bravo,lbw b D Joseph,1,3,0,0,33.33,Inn1,Chennai Super Kings,Delhi Daredevils,won,14595,20:00:00,9,2015,4,"MA Chidambaram Stadium, Chennai"
7,Ravichandran Ashwin,not out,12,8,1,0,150.00,Inn1,Chennai Super Kings,Delhi Daredevils,won,14595,20:00:00,9,2015,4,"MA Chidambaram Stadium, Chennai"
8,Mohit Sharma,not out,2,1,0,0,200.00,Inn1,Chennai Super Kings,Delhi Daredevils,won,14595,20:00:00,9,2015,4,"MA Chidambaram Stadium, Chennai"
9,Mayank Agarwal,c Dhoni b Nehra,15,12,2,1,125.00,Inn2,Delhi Daredevils,Chennai Super Kings,lost,14595,20:00:00,9,2015,4,"MA Chidambaram Stadium, Chennai"
10,CM Gautam,c DJ Bravo b Nehra,4,5,0,0,80.00,Inn2,Delhi Daredevils,Chennai Super Kings,lost,14595,20:00:00,9,2015,4,"MA Chidambaram Stadium, Chennai"
11,Albie Morkel,not out,73,55,8,1,132.73,Inn2,Delhi Daredevils,Chennai Super Kings,lost,14595,20:00:00,9,2015,4,"MA Chidambaram Stadium, Chennai"
12,Shreyas Iyer,c du Plessis b Nehra,7,7,1,0,100.00,Inn2,Delhi Daredevils,Chennai Super Kings,lost,14595,20:00:00,9,2015,4,"MA Chidambaram Stadium, Chennai"
13,Kedar Jadhav,c R Jadeja b Mohit Sharma,20,20,2,0,100.00,Inn2,Delhi Daredevils,Chennai Super Kings,lost,14595,20:00:00,9,2015,4,"MA Chidambaram Stadium, Chennai"
14,Yuvraj Singh,c I Pandey b DJ Bravo,9,6,1,0,150.00,Inn2,Delhi Daredevils,Chennai Super Kings,lost,14595,20:00:00,9,2015,4,"MA Chidambaram Stadium, Chennai"
15,Jean-Paul Duminy,b I Pandey,5,5,0,0,100.00,Inn2,Delhi Daredevils,Chennai Super Kings,lost,14595,20:00:00,9,2015,4,"MA Chidambaram Stadium, Chennai"
16,Nathan Coulter-Nile,b Ashwin,5,4,1,0,125.00,Inn2,Delhi Daredevils,Chennai Super Kings,lost,14595,20:00:00,9,2015,4,"MA Chidambaram Stadium, Chennai"
17,Amit Mishra,run out (Dhoni/Nehra),4,4,0,0,100.00,Inn2,Delhi Daredevils,Chennai Super Kings,lost,14595,20:00:00,9,2015,4,"MA Chidambaram Stadium, Chennai"
18,Imran Tahir,c Raina b DJ Bravo,2,2,0,0,100.00,Inn2,Delhi Daredevils,Chennai Super Kings,lost,14595,20:00:00,9,2015,4,"MA Chidambaram Stadium, Chennai"
19,,not out,0,0,0,0,0.00,Inn2,Delhi Daredevils,Chennai Super Kings,lost,14595,20:00:00,9,2015,4,"MA Chidambaram Stadium, Chennai"
20,Ajinkya Rahane,c A Patel b Anureet Singh,0,8,0,0,0.00,Inn1,Rajasthan Royals,Kings XI Punjab,won,14596,20:00:00,10,2015,4,"Maharashtra Cricket Association Stadium, Pune"
21,Sanju Samson,lbw b Sandeep Sharma,5,6,0,0,83.33,Inn1,Rajasthan Royals,Kings XI Punjab,won,14596,20:00:00,10,2015,4,"Maharashtra Cricket Association Stadium, Pune"
22,Steven Smith,c Karanveer Singh b Johnson,33,23,5,0,143.48,Inn1,Rajasthan Royals,Kings XI Punjab,won,14596,20:00:00,10,2015,4,"Maharashtra Cricket Association Stadium, Pune"
23,Karun Nair,b A Patel,8,11,0,1,72.73,Inn1,Rajasthan Royals,Kings XI Punjab,won,14596,20:00:00,10,2015,4,"Maharashtra Cricket Association Stadium, Pune"
24,Stuart Binny,c W Saha b Johnson,13,16,2,0,81.25,Inn1,Rajasthan Royals,Kings XI Punjab,won,14596,20:00:00,10,2015,4,"Maharashtra Cricket Association Stadium, Pune"
25,Deepak Hooda,b Anureet Singh,30,15,1,3,200.00,Inn1,Rajasthan Royals,Kings XI Punjab,won,14596,20:00:00,10,2015,4,"Maharashtra Cricket Association Stadium, Pune"
26,James Faulkner,c D Miller b Anureet Singh,46,33,2,3,139.39,Inn1,Rajasthan Royals,Kings XI Punjab,won,14596,20:00:00,10,2015,4,"Maharashtra Cricket Association Stadium, Pune"
27,Chris Morris,not out,6,8,0,0,75.00,Inn1,Rajasthan Royals,Kings XI Punjab,won,14596,20:00:00,10,2015,4,"Maharashtra Cricket Association Stadium, Pune"
28,Tim Southee,not out,0,0,0,0,0.00,Inn1,Rajasthan Royals,Kings XI Punjab,won,14596,20:00:00,10,2015,4,"Maharashtra Cricket Association Stadium, Pune"
29,Virender Sehwag,c Samson b Southee,0,1,0,0,0.00,Inn2,Kings XI Punjab,Rajasthan Royals,lost,14596,20:00:00,10,2015,4,"Maharashtra Cricket Association Stadium, Pune"
30,Murali Vijay,run out (Samson),37,32,4,1,115.63,Inn2,Kings XI Punjab,Rajasthan Royals,lost,14596,20:00:00,10,2015,4,"Maharashtra Cricket Association Stadium, Pune"
31,Wriddhiman Saha,run out (Samson),7,4,1,0,175.00,Inn2,Kings XI Punjab,Rajasthan Royals,lost,14596,20:00:00,10,2015,4,"Maharashtra Cricket Association Stadium, Pune"
32,Glenn Maxwell,c Southee b Faulkner,7,5,1,0,140.00,Inn2,Kings XI Punjab,Rajasthan Royals,lost,14596,20:00:00,10,2015,4,"Maharashtra Cricket Association Stadium, Pune"
33,Axar Patel,b Southee,24,28,2,0,85.71,Inn2,Kings XI Punjab,Rajasthan Royals,lost,14596,20:00:00,10,2015,4,"Maharashtra Cricket Association Stadium, Pune"
34,David Miller,c Faulkner b D Kulkarni,23,21,3,1,109.52,Inn2,Kings XI Punjab,Rajasthan Royals,lost,14596,20:00:00,10,2015,4,"Maharashtra Cricket Association Stadium, Pune"
35,George Bailey,c Nair b Faulkner,24,18,2,1,133.33,Inn2,Kings XI Punjab,Rajasthan Royals,lost,14596,20:00:00,10,2015,4,"Maharashtra Cricket Association Stadium, Pune"
36,Mitchell Johnson,c Southee b Faulkner,0,4,0,0,0.00,Inn2,Kings XI Punjab,Rajasthan Royals,lost,14596,20:00:00,10,2015,4,"Maharashtra Cricket Association Stadium, Pune"
37,Anureet Singh,not out,0,3,0,0,0.00,Inn2,Kings XI Punjab,Rajasthan Royals,lost,14596,20:00:00,10,2015,4,"Maharashtra Cricket Association Stadium, Pune"
38,Karanveer Singh,not out,5,4,1,0,125.00,Inn2,Kings XI Punjab,Rajasthan Royals,lost,14596,20:00:00,10,2015,4,"Maharashtra Cricket Association Stadium, Pune"
39,Dwayne Smith,run out (T Boult),27,26,4,1,103.85,Inn1,Chennai Super Kings,Sunrisers Hyderabad,won,14597,16:00:00,11,2015,4,"MA Chidambaram Stadium, Chennai"
40,Brendon McCullum,not out,100,56,7,9,178.57,Inn1,Chennai Super Kings,Sunrisers Hyderabad,won,14597,16:00:00,11,2015,4,"MA Chidambaram Stadium, Chennai"
41,Suresh Raina,run out (Rahul),14,12,1,0,116.67,Inn1,Chennai Super Kings,Sunrisers Hyderabad,won,14597,16:00:00,11,2015,4,"MA Chidambaram Stadium, Chennai"
42,MS Dhoni,c Warner b T Boult,53,29,4,4,182.76,Inn1,Chennai Super Kings,Sunrisers Hyderabad,won,14597,16:00:00,11,2015,4,"MA Chidambaram Stadium, Chennai"
43,Ravindra Jadeja,run out (T Boult),0,1,0,0,0.00,Inn1,Chennai Super Kings,Sunrisers Hyderabad,won,14597,16:00:00,11,2015,4,"MA Chidambaram Stadium, Chennai"
44,Dwayne Bravo,not out,0,0,0,0,0.00,Inn1,Chennai Super Kings,Sunrisers Hyderabad,won,14597,16:00:00,11,2015,4,"MA Chidambaram Stadium, Chennai"
45,David Warner,c Dwayne Smith b I Pandey,53,42,1,3,126.19,Inn2,Sunrisers Hyderabad,Chennai Super Kings,lost,14597,16:00:00,11,2015,4,"MA Chidambaram Stadium, Chennai"
46,Shikhar Dhawan,c R Jadeja b Mohit Sharma,26,18,5,0,144.44,Inn2,Sunrisers Hyderabad,Chennai Super Kings,lost,14597,16:00:00,11,2015,4,"MA Chidambaram Stadium, Chennai"
47,KL Rahul,b Mohit Sharma,5,8,1,0,62.50,Inn2,Sunrisers Hyderabad,Chennai Super Kings,lost,14597,16:00:00,11,2015,4,"MA Chidambaram Stadium, Chennai"
48,Naman Ojha,c Mohit Sharma b Ashwin,15,11,0,1,136.36,Inn2,Sunrisers Hyderabad,Chennai Super Kings,lost,14597,16:00:00,11,2015,4,"MA Chidambaram Stadium, Chennai"
49,Ravi Bopara,b DJ Bravo,22,15,0,2,146.67,Inn2,Sunrisers Hyderabad,Chennai Super Kings,lost,14597,16:00:00,11,2015,4,"MA Chidambaram Stadium, Chennai"
50,Kane Williamson,not out,26,18,1,1,144.44,Inn2,Sunrisers Hyderabad,Chennai Super Kings,lost,14597,16:00:00,11,2015,4,"MA Chidambaram Stadium, Chennai"
51,Karn Sharma,c Raina b DJ Bravo,4,6,0,0,66.67,Inn2,Sunrisers Hyderabad,Chennai Super Kings,lost,14597,16:00:00,11,2015,4,"MA Chidambaram Stadium, Chennai"
52,Parvez Rasool,not out,2,2,0,0,100.00,Inn2,Sunrisers Hyderabad,Chennai Super Kings,lost,14597,16:00:00,11,2015,4,"MA Chidambaram Stadium, Chennai"
53,Mayank Agarwal,c & b Tambe,37,21,6,1,176.19,Inn1,Delhi Daredevils,Rajasthan Royals,lost,14599,16:00:00,12,2015,4,"Arun Jaitley Stadium, Delhi"
54,Shreyas Iyer,c Southee b C Morris,40,30,3,3,133.33,Inn1,Delhi Daredevils,Rajasthan Royals,lost,14599,16:00:00,12,2015,4,"Arun Jaitley Stadium, Delhi"
55,Jean-Paul Duminy,not out,44,38,0,3,115.79,Inn1,Delhi Daredevils,Rajasthan Royals,lost,14599,16:00:00,12,2015,4,"Arun Jaitley Stadium, Delhi"
56,Yuvraj Singh,c Nair b C Morris,27,17,0,2,158.82,Inn1,Delhi Daredevils,Rajasthan Royals,lost,14599,16:00:00,12,2015,4,"Arun Jaitley Stadium, Delhi"
57,Angelo Mathews,not out,27,14,3,1,192.86,Inn1,Delhi Daredevils,Rajasthan Royals,lost,14599,16:00:00,12,2015,4,"Arun Jaitley Stadium, Delhi"
58,Ajinkya Rahane,b Tahir,47,39,2,3,120.51,Inn2,Rajasthan Royals,Delhi Daredevils,won,14599,16:00:00,12,2015,4,"Arun Jaitley Stadium, Delhi"
59,Sanju Samson,c Yuvraj b Mathews,11,12,1,0,91.67,Inn2,Rajasthan Royals,Delhi Daredevils,won,14599,16:00:00,12,2015,4,"Arun Jaitley Stadium, Delhi"
60,Steven Smith,c M Agarwal b A Mishra,10,9,2,0,111.11,Inn2,Rajasthan Royals,Delhi Daredevils,won,14599,16:00:00,12,2015,4,"Arun Jaitley Stadium, Delhi"
