,bowler,ID,overs,maidens,runs,wickets,no_balls,wides,economy,team,opponent,Inning,Win/Lost,match_id,time,day,year,Month,Venue
0,Ashwin (c),1593,4,0,23,1,0,1,5.80,Kings XI Punjab,Delhi Daredevils,Inn1,won,20062,16:00:00,8,2018,4,"Punjab Cricket Association IS Bindra Stadium, Mohali"
1,Mohit Sharma,8181,4,0,33,2,0,0,8.20,Kings XI Punjab,Delhi Daredevils,Inn1,won,20062,16:00:00,8,2018,4,"Punjab Cricket Association IS Bindra Stadium, Mohali"
2,Mujeeb,12071,4,0,28,2,0,1,7.00,Kings XI Punjab,Delhi Daredevils,Inn1,won,20062,16:00:00,8,2018,4,"Punjab Cricket Association IS Bindra Stadium, Mohali"
3,Axar,8808,3,0,35,1,0,0,11.70,Kings XI Punjab,Delhi Daredevils,Inn1,won,20062,16:00:00,8,2018,4,"Punjab Cricket Association IS Bindra Stadium, Mohali"
4,Andrew Tye,9617,4,0,38,0,1,1,9.50,Kings XI Punjab,Delhi Daredevils,Inn1,won,20062,16:00:00,8,2018,4,"Punjab Cricket Association IS Bindra Stadium, Mohali"
5,Stoinis,8989,1,0,7,0,0,0,7.00,Kings XI Punjab,Delhi Daredevils,Inn1,won,20062,16:00:00,8,2018,4,"Punjab Cricket Association IS Bindra Stadium, Mohali"
6,Trent Boult,8117,3.5,0,34,1,1,0,8.90,Delhi Daredevils,Kings XI Punjab,Inn2,lost,20062,16:00:00,8,2018,4,"Punjab Cricket Association IS Bindra Stadium, Mohali"
7,Mohammed Shami,7909,2,0,26,0,0,0,13.00,Delhi Daredevils,Kings XI Punjab,Inn2,lost,20062,16:00:00,8,2018,4,"Punjab Cricket Association IS Bindra Stadium, Mohali"
8,Amit Mishra,1454,4,0,46,0,0,0,11.50,Delhi Daredevils,Kings XI Punjab,Inn2,lost,20062,16:00:00,8,2018,4,"Punjab Cricket Association IS Bindra Stadium, Mohali"
9,Chris Morris,8333,3,0,25,1,0,0,8.30,Delhi Daredevils,Kings XI Punjab,Inn2,lost,20062,16:00:00,8,2018,4,"Punjab Cricket Association IS Bindra Stadium, Mohali"
10,Daniel Christian,6283,2,0,12,1,0,0,6.00,Delhi Daredevils,Kings XI Punjab,Inn2,lost,20062,16:00:00,8,2018,4,"Punjab Cricket Association IS Bindra Stadium, Mohali"
11,Rahul Tewatia,9693,4,0,24,1,0,0,6.00,Delhi Daredevils,Kings XI Punjab,Inn2,lost,20062,16:00:00,8,2018,4,"Punjab Cricket Association IS Bindra Stadium, Mohali"
