,batsman,got_out,Runs,Balls,Fours,Sixes,St.rate,Inning,Team,Opponent,Win/Lost,match_id,time,day,year,Month,Venue,ID
0,Dwayne Smith,not out,31,14,3,2,221.43,Inn1,Chennai Super Kings,Delhi Daredevils,won,14595,20:00:00,9,2015,4,"MA Chidambaram Stadium, Chennai",255
1,Brendon McCullum,b Pathan,13,10,0,1,130.00,Inn1,Chennai Super Kings,Delhi Daredevils,won,14595,20:00:00,9,2015,4,"MA Chidambaram Stadium, Chennai",201
2,Suresh Raina,c Pathan b Mota,32,13,2,3,246.15,Inn1,Chennai Super Kings,Delhi Daredevils,won,14595,20:00:00,9,2015,4,"MA Chidambaram Stadium, Chennai",413
3,Faf du Plessis,not out,116,54,8,9,214.81,Inn1,Chennai Super Kings,Delhi Daredevils,won,14595,20:00:00,9,2015,4,"MA Chidambaram Stadium, Chennai",7825
4,Ravindra Jadeja,lbw b Hopes,2,3,0,0,66.67,Inn1,Chennai Super Kings,Delhi Daredevils,won,14595,20:00:00,9,2015,4,"MA Chidambaram Stadium, Chennai",587
5,MS Dhoni,c Sangakkara b Lee,15,10,3,0,150.00,Inn1,Chennai Super Kings,Delhi Daredevils,won,14595,20:00:00,9,2015,4,"MA Chidambaram Stadium, Chennai",265
6,Dwayne Bravo,b Pathan,25,17,4,1,147.06,Inn1,Chennai Super Kings,Delhi Daredevils,won,14595,20:00:00,9,2015,4,"MA Chidambaram Stadium, Chennai",242
7,Mayank Agarwal,not out,31,14,3,2,221.43,Inn2,Delhi Daredevils,Chennai Super Kings,lost,14595,20:00:00,9,2015,4,"MA Chidambaram Stadium, Chennai",2195
8,CM Gautam,b Pathan,13,10,0,1,130.00,Inn2,Delhi Daredevils,Chennai Super Kings,lost,14595,20:00:00,9,2015,4,"MA Chidambaram Stadium, Chennai",1852
9,Albie Morkel,c Pathan b Mota,32,13,2,3,246.15,Inn2,Delhi Daredevils,Chennai Super Kings,lost,14595,20:00:00,9,2015,4,"MA Chidambaram Stadium, Chennai",484
10,Shreyas Iyer,not out,116,54,8,9,214.81,Inn2,Delhi Daredevils,Chennai Super Kings,lost,14595,20:00:00,9,2015,4,"MA Chidambaram Stadium, Chennai",9428
11,Kedar Jadhav,lbw b Hopes,2,3,0,0,66.67,Inn2,Delhi Daredevils,Chennai Super Kings,lost,14595,20:00:00,9,2015,4,"MA Chidambaram Stadium, Chennai",1851
12,Yuvraj Singh,c Sangakkara b Lee,15,10,3,0,150.00,Inn2,Delhi Daredevils,Chennai Super Kings,lost,14595,20:00:00,9,2015,4,"MA Chidambaram Stadium, Chennai",69
13,Jean-Paul Duminy,b Pathan,25,17,4,1,147.06,Inn2,Delhi Daredevils,Chennai Super Kings,lost,14595,20:00:00,9,2015,4,"MA Chidambaram Stadium, Chennai",211
14,Ajinkya Rahane,not out,31,14,3,2,221.43,Inn1,Rajasthan Royals,Kings XI Punjab,won,14596,20:00:00,10,2015,4,"Maharashtra Cricket Association Stadium, Pune",1447
15,Sanju Samson,b Pathan,13,10,0,1,130.00,Inn1,Rajasthan Royals,Kings XI Punjab,won,14596,20:00:00,10,2015,4,"Maharashtra Cricket Association Stadium, Pune",8271
16,Steven Smith,c Pathan b Mota,32,13,2,3,246.15,Inn1,Rajasthan Royals,Kings XI Punjab,won,14596,20:00:00,10,2015,4,"Maharashtra Cricket Association Stadium, Pune",2250
