,bowler,ID,overs,maidens,runs,wickets,no_balls,wides,economy,team,opponent,Inning,Win/Lost,match_id,time,day,year,Month,Venue
0,Jacob Oram,59,2,0,13,0,0,0,6.50,Rajasthan Royals,Deccan Chargers,Inn1,won,9900,16:00:00,9,2011,4,"Rajiv Gandhi International Stadium, Hyderabad"
1,Amit Singh,1861,4,0,35,3,0,0,8.75,Rajasthan Royals,Deccan Chargers,Inn1,won,9900,16:00:00,9,2011,4,"Rajiv Gandhi International Stadium, Hyderabad"
2,Johan Botha,487,4,0,31,0,0,0,7.75,Rajasthan Royals,Deccan Chargers,Inn1,won,9900,16:00:00,9,2011,4,"Rajiv Gandhi International Stadium, Hyderabad"
3,Siddharth Trivedi,1594,4,0,15,3,0,0,3.75,Rajasthan Royals,Deccan Chargers,Inn1,won,9900,16:00:00,9,2011,4,"Rajiv Gandhi International Stadium, Hyderabad"
4,Shane Warne,135,4,0,21,2,0,1,5.25,Rajasthan Royals,Deccan Chargers,Inn1,won,9900,16:00:00,9,2011,4,"Rajiv Gandhi International Stadium, Hyderabad"
5,Ashok Menaria,7846,1,0,8,0,0,0,8.00,Rajasthan Royals,Deccan Chargers,Inn1,won,9900,16:00:00,9,2011,4,"Rajiv Gandhi International Stadium, Hyderabad"
6,Stuart Binny,1530,1,0,14,0,0,0,14.00,Rajasthan Royals,Deccan Chargers,Inn1,won,9900,16:00:00,9,2011,4,"Rajiv Gandhi International Stadium, Hyderabad"
7,Pragyan Ojha,1356,3.5,0,44,0,0,0,12.57,Deccan Chargers,Rajasthan Royals,Inn2,lost,9900,16:00:00,9,2011,4,"Rajiv Gandhi International Stadium, Hyderabad"
8,Dale Steyn,508,4,0,18,2,1,0,4.50,Deccan Chargers,Rajasthan Royals,Inn2,lost,9900,16:00:00,9,2011,4,"Rajiv Gandhi International Stadium, Hyderabad"
9,Ishant Sharma,702,4,0,24,0,1,1,6.00,Deccan Chargers,Rajasthan Royals,Inn2,lost,9900,16:00:00,9,2011,4,"Rajiv Gandhi International Stadium, Hyderabad"
10,Daniel Christian,6283,3,0,25,0,0,0,8.33,Deccan Chargers,Rajasthan Royals,Inn2,lost,9900,16:00:00,9,2011,4,"Rajiv Gandhi International Stadium, Hyderabad"
11,Amit Mishra,1454,4,0,28,0,0,0,7.00,Deccan Chargers,Rajasthan Royals,Inn2,lost,9900,16:00:00,9,2011,4,"Rajiv Gandhi International Stadium, Hyderabad"
12,Harbhajan Singh,75,3,0,14,2,0,1,4.67,Mumbai Indians,Delhi Daredevils,Inn1,won,9902,16:00:00,10,2011,4,"Arun Jaitley Stadium, Delhi"
13,Lasith Malinga,111,3.4,1,13,5,0,1,3.82,Mumbai Indians,Delhi Daredevils,Inn1,won,9902,16:00:00,10,2011,4,"Arun Jaitley Stadium, Delhi"
