,batsman,got_out,Runs,Balls,Fours,Sixes,St.rate,Inning,Team,Opponent,Win/Lost,match_id,time,day,year,Month,Venue
0,Prithvi Shaw,c Chris Jordan b Shami,5,9,1,0,55.56,Inn1,Delhi Capitals,Kings XI Punjab,lost,30340,19:30:00,20,2020,9,"Dubai International Cricket Stadium, Dubai"
1,Dhawan,run out (Rahul/K Gowtham),0,2,0,0,0.00,Inn1,Delhi Capitals,Kings XI Punjab,lost,30340,19:30:00,20,2020,9,"Dubai International Cricket Stadium, Dubai"
2,Hetmyer,c Mayank Agarwal b Shami,7,13,1,0,53.85,Inn1,Delhi Capitals,Kings XI Punjab,lost,30340,19:30:00,20,2020,9,"Dubai International Cricket Stadium, Dubai"
3,Shreyas Iyer (c),c Chris Jordan b Shami,39,32,0,3,121.88,Inn1,Delhi Capitals,Kings XI Punjab,lost,30340,19:30:00,20,2020,9,"Dubai International Cricket Stadium, Dubai"
4,Pant (wk),b Ravi Bishnoi,31,29,4,0,106.90,Inn1,Delhi Capitals,Kings XI Punjab,lost,30340,19:30:00,20,2020,9,"Dubai International Cricket Stadium, Dubai"
5,Stoinis,run out (Pooran/Rahul),53,21,7,3,252.38,Inn1,Delhi Capitals,Kings XI Punjab,lost,30340,19:30:00,20,2020,9,"Dubai International Cricket Stadium, Dubai"
6,Axar,c Rahul b Cottrell,6,9,0,0,66.67,Inn1,Delhi Capitals,Kings XI Punjab,lost,30340,19:30:00,20,2020,9,"Dubai International Cricket Stadium, Dubai"
7,Ashwin,c Shami b Cottrell,4,6,0,0,66.67,Inn1,Delhi Capitals,Kings XI Punjab,lost,30340,19:30:00,20,2020,9,"Dubai International Cricket Stadium, Dubai"
8,Rabada,not out,0,0,0,0,0.00,Inn1,Delhi Capitals,Kings XI Punjab,lost,30340,19:30:00,20,2020,9,"Dubai International Cricket Stadium, Dubai"
9,Nortje,not out,3,1,0,0,300.00,Inn1,Delhi Capitals,Kings XI Punjab,lost,30340,19:30:00,20,2020,9,"Dubai International Cricket Stadium, Dubai"
10,Lokesh Rahul (c & wk),b Mohit Sharma,21,19,2,1,110.53,Inn2,Kings XI Punjab,Delhi Capitals,lost,30340,19:30:00,20,2020,9,"Dubai International Cricket Stadium, Dubai"
11,Mayank Agarwal,c Hetmyer b Stoinis,89,60,7,4,148.33,Inn2,Kings XI Punjab,Delhi Capitals,lost,30340,19:30:00,20,2020,9,"Dubai International Cricket Stadium, Dubai"
12,Karun Nair,c Prithvi Shaw b Ashwin,1,3,0,0,33.33,Inn2,Kings XI Punjab,Delhi Capitals,lost,30340,19:30:00,20,2020,9,"Dubai International Cricket Stadium, Dubai"
13,Nicholas Pooran,b Ashwin,0,3,0,0,0.00,Inn2,Kings XI Punjab,Delhi Capitals,lost,30340,19:30:00,20,2020,9,"Dubai International Cricket Stadium, Dubai"
14,Glenn Maxwell,c Shreyas Iyer b Rabada,1,4,0,0,25.00,Inn2,Kings XI Punjab,Delhi Capitals,lost,30340,19:30:00,20,2020,9,"Dubai International Cricket Stadium, Dubai"
