,bowler,ID,overs,maidens,runs,wickets,no_balls,wides,economy,team,opponent,Inning,Win/Lost,match_id,time,day,year,Month,Venue
0,Thakur,8683,4,0,47,0,0,1,11.80,Delhi Capitals,Mumbai Indians,Inn1,won,45891,15:30:00,27,2022,3,"Brabourne Stadium, Mumbai"
1,Khaleel Ahmed,10952,4,0,27,2,0,0,6.80,Delhi Capitals,Mumbai Indians,Inn1,won,45891,15:30:00,27,2022,3,"Brabourne Stadium, Mumbai"
2,Axar,8808,4,0,40,0,0,0,10.00,Delhi Capitals,Mumbai Indians,Inn1,won,45891,15:30:00,27,2022,3,"Brabourne Stadium, Mumbai"
3,K Nagarkoti,12092,2,0,29,0,0,1,14.50,Delhi Capitals,Mumbai Indians,Inn1,won,45891,15:30:00,27,2022,3,"Brabourne Stadium, Mumbai"
4,Kuldeep Yadav,8292,4,0,18,3,0,0,4.50,Delhi Capitals,Mumbai Indians,Inn1,won,45891,15:30:00,27,2022,3,"Brabourne Stadium, Mumbai"
5,Lalit Yadav,13252,2,0,15,0,0,0,7.50,Delhi Capitals,Mumbai Indians,Inn1,won,45891,15:30:00,27,2022,3,"Brabourne Stadium, Mumbai"
6,Daniel Sams,13162,4,0,57,0,0,2,14.20,Mumbai Indians,Delhi Capitals,Inn2,lost,45891,15:30:00,27,2022,3,"Brabourne Stadium, Mumbai"
7,Jasprit Bumrah,9311,3.2,0,43,0,0,0,12.90,Mumbai Indians,Delhi Capitals,Inn2,lost,45891,15:30:00,27,2022,3,"Brabourne Stadium, Mumbai"
8,Basil Thampi,10267,4,0,35,3,0,3,8.80,Mumbai Indians,Delhi Capitals,Inn2,lost,45891,15:30:00,27,2022,3,"Brabourne Stadium, Mumbai"
9,Murugan Ashwin,8796,4,0,14,2,0,0,3.50,Mumbai Indians,Delhi Capitals,Inn2,lost,45891,15:30:00,27,2022,3,"Brabourne Stadium, Mumbai"
10,Tymal Mills,7860,3,0,26,1,0,2,8.70,Mumbai Indians,Delhi Capitals,Inn2,lost,45891,15:30:00,27,2022,3,"Brabourne Stadium, Mumbai"
11,Shami,7909,4,0,25,3,0,0,6.20,Gujarat Titans,Lucknow Super Giants,Inn1,won,45901,19:30:00,28,2022,3,"Wankhede Stadium, Mumbai"
12,Aaron,6293,4,0,45,2,0,3,11.20,Gujarat Titans,Lucknow Super Giants,Inn1,won,45901,19:30:00,28,2022,3,"Wankhede Stadium, Mumbai"
13,Lockie Ferguson,10692,4,0,24,0,0,1,6.00,Gujarat Titans,Lucknow Super Giants,Inn1,won,45901,19:30:00,28,2022,3,"Wankhede Stadium, Mumbai"
