,batsman,got_out,Runs,Balls,Fours,Sixes,St.rate,Inning,Team,Opponent,Win/Lost,match_id,time,day,year,Month,Venue,ID
0,Ruturaj Gaikwad,not out,31,14,3,2,221.43,Inn1,Chennai Super Kings,Delhi Capitals,lost,35617,19:30:00,10,2021,4,"Wankhede Stadium, Mumbai",11813
1,du Plessis,b Pathan,13,10,0,1,130.00,Inn1,Chennai Super Kings,Delhi Capitals,lost,35617,19:30:00,10,2021,4,"Wankhede Stadium, Mumbai",7825
2,Moeen,c Pathan b Mota,32,13,2,3,246.15,Inn1,Chennai Super Kings,Delhi Capitals,lost,35617,19:30:00,10,2021,4,"Wankhede Stadium, Mumbai",6692
3,Raina,not out,116,54,8,9,214.81,Inn1,Chennai Super Kings,Delhi Capitals,lost,35617,19:30:00,10,2021,4,"Wankhede Stadium, Mumbai",413
4,Rayudu,lbw b Hopes,2,3,0,0,66.67,Inn1,Chennai Super Kings,Delhi Capitals,lost,35617,19:30:00,10,2021,4,"Wankhede Stadium, Mumbai",6311
5,Ravindra Jadeja,c Sangakkara b Lee,15,10,3,0,150.00,Inn1,Chennai Super Kings,Delhi Capitals,lost,35617,19:30:00,10,2021,4,"Wankhede Stadium, Mumbai",587
6,Dhoni (c & wk),b Pathan,25,17,4,1,147.06,Inn1,Chennai Super Kings,Delhi Capitals,lost,35617,19:30:00,10,2021,4,"Wankhede Stadium, Mumbai",265
7,Prithvi Shaw,not out,31,14,3,2,221.43,Inn2,Delhi Capitals,Chennai Super Kings,won,35617,19:30:00,10,2021,4,"Wankhede Stadium, Mumbai",12094
8,Shikhar Dhawan,b Pathan,13,10,0,1,130.00,Inn2,Delhi Capitals,Chennai Super Kings,won,35617,19:30:00,10,2021,4,"Wankhede Stadium, Mumbai",1446
9,Rishabh Pant (c & wk),c Pathan b Mota,32,13,2,3,246.15,Inn2,Delhi Capitals,Chennai Super Kings,won,35617,19:30:00,10,2021,4,"Wankhede Stadium, Mumbai",10744
10,Marcus Stoinis,not out,116,54,8,9,214.81,Inn2,Delhi Capitals,Chennai Super Kings,won,35617,19:30:00,10,2021,4,"Wankhede Stadium, Mumbai",8989
11,Shimron Hetmyer,lbw b Hopes,2,3,0,0,66.67,Inn2,Delhi Capitals,Chennai Super Kings,won,35617,19:30:00,10,2021,4,"Wankhede Stadium, Mumbai",9789
12,4,c Sangakkara b Lee,15,10,3,0,150.00,Inn2,Delhi Capitals,Chennai Super Kings,won,35617,19:30:00,10,2021,4,"Wankhede Stadium, Mumbai",
13,,b Pathan,25,17,4,1,147.06,Inn2,Delhi Capitals,Chennai Super Kings,won,35617,19:30:00,10,2021,4,"Wankhede Stadium, Mumbai",
14,Nitish Rana,not out,31,14,3,2,221.43,Inn1,Kolkata Knight Riders,Sunrisers Hyderabad,won,35618,19:30:00,11,2021,4,"MA Chidambaram Stadium, Chennai",9204
15,Shubman Gill,b Pathan,13,10,0,1,130.00,Inn1,Kolkata Knight Riders,Sunrisers Hyderabad,won,35618,19:30:00,11,2021,4,"MA Chidambaram Stadium, Chennai",11808
16,Tripathi,c Pathan b Mota,32,13,2,3,246.15,Inn1,Kolkata Knight Riders,Sunrisers Hyderabad,won,35618,19:30:00,11,2021,4,"MA Chidambaram Stadium, Chennai",9012
17,Russell,not out,116,54,8,9,214.81,Inn1,Kolkata Knight Riders,Sunrisers Hyderabad,won,35618,19:30:00,11,2021,4,"MA Chidambaram Stadium, Chennai",7736
18,Morgan (c),lbw b Hopes,2,3,0,0,66.67,Inn1,Kolkata Knight Riders,Sunrisers Hyderabad,won,35618,19:30:00,11,2021,4,"MA Chidambaram Stadium, Chennai",624
19,Karthik (wk),c Sangakkara b Lee,15,10,3,0,150.00,Inn1,Kolkata Knight Riders,Sunrisers Hyderabad,won,35618,19:30:00,11,2021,4,"MA Chidambaram Stadium, Chennai",145
20,Shakib,b Pathan,25,17,4,1,147.06,Inn1,Kolkata Knight Riders,Sunrisers Hyderabad,won,35618,19:30:00,11,2021,4,"MA Chidambaram Stadium, Chennai",544
21,Wriddhiman Saha (wk),not out,31,14,3,2,221.43,Inn2,Sunrisers Hyderabad,Kolkata Knight Riders,lost,35618,19:30:00,11,2021,4,"MA Chidambaram Stadium, Chennai",1465
22,David Warner (c),b Pathan,13,10,0,1,130.00,Inn2,Sunrisers Hyderabad,Kolkata Knight Riders,lost,35618,19:30:00,11,2021,4,"MA Chidambaram Stadium, Chennai",1739
23,Manish Pandey,c Pathan b Mota,32,13,2,3,246.15,Inn2,Sunrisers Hyderabad,Kolkata Knight Riders,lost,35618,19:30:00,11,2021,4,"MA Chidambaram Stadium, Chennai",1836
24,Jonny Bairstow,not out,116,54,8,9,214.81,Inn2,Sunrisers Hyderabad,Kolkata Knight Riders,lost,35618,19:30:00,11,2021,4,"MA Chidambaram Stadium, Chennai",6507
25,Mohammad Nabi,lbw b Hopes,2,3,0,0,66.67,Inn2,Sunrisers Hyderabad,Kolkata Knight Riders,lost,35618,19:30:00,11,2021,4,"MA Chidambaram Stadium, Chennai",3007
