,batsman,got_out,Runs,Balls,Fours,Sixes,St.rate,Inning,Team,Opponent,Win/Lost,match_id,time,day,year,Month,Venue
0,Parthiv Patel (wk),b Tahir,19,14,4,0,135.71,Inn1,Mumbai Indians,Rising Pune Supergiant,lost,18122,20:00:00,6,2017,4,"Maharashtra Cricket Association Stadium, Pune"
1,Jos Buttler,lbw b Tahir,38,19,3,3,200.00,Inn1,Mumbai Indians,Rising Pune Supergiant,lost,18122,20:00:00,6,2017,4,"Maharashtra Cricket Association Stadium, Pune"
2,Rohit (c),b Tahir,3,7,0,0,42.86,Inn1,Mumbai Indians,Rising Pune Supergiant,lost,18122,20:00:00,6,2017,4,"Maharashtra Cricket Association Stadium, Pune"
3,Nitish Rana,c R Bhatia b Zampa,34,28,1,2,121.43,Inn1,Mumbai Indians,Rising Pune Supergiant,lost,18122,20:00:00,6,2017,4,"Maharashtra Cricket Association Stadium, Pune"
4,Rayudu,c and b R Bhatia,10,12,0,0,83.33,Inn1,Mumbai Indians,Rising Pune Supergiant,lost,18122,20:00:00,6,2017,4,"Maharashtra Cricket Association Stadium, Pune"
5,Krunal Pandya,c Dhoni b R Bhatia,3,5,0,0,60.00,Inn1,Mumbai Indians,Rising Pune Supergiant,lost,18122,20:00:00,6,2017,4,"Maharashtra Cricket Association Stadium, Pune"
6,Pollard,c Mayank Agarwal b Stokes,27,17,3,1,158.82,Inn1,Mumbai Indians,Rising Pune Supergiant,lost,18122,20:00:00,6,2017,4,"Maharashtra Cricket Association Stadium, Pune"
7,Hardik Pandya,not out,35,15,1,4,233.33,Inn1,Mumbai Indians,Rising Pune Supergiant,lost,18122,20:00:00,6,2017,4,"Maharashtra Cricket Association Stadium, Pune"
8,Southee,run out (Dhoni/Dinda),7,3,0,1,233.33,Inn1,Mumbai Indians,Rising Pune Supergiant,lost,18122,20:00:00,6,2017,4,"Maharashtra Cricket Association Stadium, Pune"
9,McClenaghan,not out,0,0,0,0,0.00,Inn1,Mumbai Indians,Rising Pune Supergiant,lost,18122,20:00:00,6,2017,4,"Maharashtra Cricket Association Stadium, Pune"
10,Ajinkya Rahane,c Nitish Rana b Southee,60,34,6,3,176.47,Inn2,Rising Pune Supergiant,Mumbai Indians,won,18122,20:00:00,6,2017,4,"Maharashtra Cricket Association Stadium, Pune"
11,Mayank Agarwal,c Rohit b McClenaghan,6,5,1,0,120.00,Inn2,Rising Pune Supergiant,Mumbai Indians,won,18122,20:00:00,6,2017,4,"Maharashtra Cricket Association Stadium, Pune"
12,Steven Smith (c),not out,84,54,7,3,155.56,Inn2,Rising Pune Supergiant,Mumbai Indians,won,18122,20:00:00,6,2017,4,"Maharashtra Cricket Association Stadium, Pune"
13,Ben Stokes,c Southee b Hardik Pandya,21,14,3,0,150.00,Inn2,Rising Pune Supergiant,Mumbai Indians,won,18122,20:00:00,6,2017,4,"Maharashtra Cricket Association Stadium, Pune"
14,MS Dhoni (wk),not out,12,12,1,0,100.00,Inn2,Rising Pune Supergiant,Mumbai Indians,won,18122,20:00:00,6,2017,4,"Maharashtra Cricket Association Stadium, Pune"
15,Roy,c Y Pathan b Chawla,14,12,3,0,116.67,Inn1,Gujarat Lions,Kolkata Knight Riders,lost,18123,20:00:00,7,2017,4,"Saurashtra Cricket Association Stadium, Rajkot"
16,Brendon McCullum,lbw b Kuldeep Yadav,35,24,4,2,145.83,Inn1,Gujarat Lions,Kolkata Knight Riders,lost,18123,20:00:00,7,2017,4,"Saurashtra Cricket Association Stadium, Rajkot"
17,Raina (c),not out,68,51,7,0,133.33,Inn1,Gujarat Lions,Kolkata Knight Riders,lost,18123,20:00:00,7,2017,4,"Saurashtra Cricket Association Stadium, Rajkot"
18,Finch,c Suryakumar Yadav b Kuldeep Yadav,15,8,0,2,187.50,Inn1,Gujarat Lions,Kolkata Knight Riders,lost,18123,20:00:00,7,2017,4,"Saurashtra Cricket Association Stadium, Rajkot"
19,Karthik (wk),c Suryakumar Yadav b Boult,47,25,6,2,188.00,Inn1,Gujarat Lions,Kolkata Knight Riders,lost,18123,20:00:00,7,2017,4,"Saurashtra Cricket Association Stadium, Rajkot"
20,Dwayne Smith,not out,0,0,0,0,0.00,Inn1,Gujarat Lions,Kolkata Knight Riders,lost,18123,20:00:00,7,2017,4,"Saurashtra Cricket Association Stadium, Rajkot"
21,Gautam Gambhir (c),not out,76,48,12,0,158.33,Inn2,Kolkata Knight Riders,Gujarat Lions,won,18123,20:00:00,7,2017,4,"Saurashtra Cricket Association Stadium, Rajkot"
22,Chris Lynn,not out,93,41,6,8,226.83,Inn2,Kolkata Knight Riders,Gujarat Lions,won,18123,20:00:00,7,2017,4,"Saurashtra Cricket Association Stadium, Rajkot"
23,A Rahane,c Stoinis b T Natarajan,19,15,1,1,126.67,Inn1,Rising Pune Supergiant,Kings XI Punjab,lost,18124,16:00:00,8,2017,4,"Holkar Cricket Stadium, Indore"
24,Mayank Agarwal,b Sandeep Sharma,0,4,0,0,0.00,Inn1,Rising Pune Supergiant,Kings XI Punjab,lost,18124,16:00:00,8,2017,4,"Holkar Cricket Stadium, Indore"
25,Steven Smith (c),c Vohra b Stoinis,26,27,3,0,96.30,Inn1,Rising Pune Supergiant,Kings XI Punjab,lost,18124,16:00:00,8,2017,4,"Holkar Cricket Stadium, Indore"
26,Stokes,c and b Axar,50,32,2,3,156.25,Inn1,Rising Pune Supergiant,Kings XI Punjab,lost,18124,16:00:00,8,2017,4,"Holkar Cricket Stadium, Indore"
27,Dhoni (wk),c and b Swapnil Singh,5,11,0,0,45.45,Inn1,Rising Pune Supergiant,Kings XI Punjab,lost,18124,16:00:00,8,2017,4,"Holkar Cricket Stadium, Indore"
28,Manoj Tiwary,not out,40,23,3,2,173.91,Inn1,Rising Pune Supergiant,Kings XI Punjab,lost,18124,16:00:00,8,2017,4,"Holkar Cricket Stadium, Indore"
29,Christian,c Maxwell b Sandeep Sharma,17,8,2,1,212.50,Inn1,Rising Pune Supergiant,Kings XI Punjab,lost,18124,16:00:00,8,2017,4,"Holkar Cricket Stadium, Indore"
30,R Bhatia,not out,0,0,0,0,0.00,Inn1,Rising Pune Supergiant,Kings XI Punjab,lost,18124,16:00:00,8,2017,4,"Holkar Cricket Stadium, Indore"
31,Hashim Amla,c Stokes b Rahul Chahar,28,27,2,1,103.70,Inn2,Kings XI Punjab,Rising Pune Supergiant,won,18124,16:00:00,8,2017,4,"Holkar Cricket Stadium, Indore"
32,Manan Vohra,c Manoj Tiwary b Dinda,14,9,1,1,155.56,Inn2,Kings XI Punjab,Rising Pune Supergiant,won,18124,16:00:00,8,2017,4,"Holkar Cricket Stadium, Indore"
33,Wriddhiman Saha (wk),b Tahir,14,9,3,0,155.56,Inn2,Kings XI Punjab,Rising Pune Supergiant,won,18124,16:00:00,8,2017,4,"Holkar Cricket Stadium, Indore"
34,Axar Patel,c and b Tahir,24,22,1,1,109.09,Inn2,Kings XI Punjab,Rising Pune Supergiant,won,18124,16:00:00,8,2017,4,"Holkar Cricket Stadium, Indore"
35,Glenn Maxwell (c),not out,44,20,2,4,220.00,Inn2,Kings XI Punjab,Rising Pune Supergiant,won,18124,16:00:00,8,2017,4,"Holkar Cricket Stadium, Indore"
36,David Miller,not out,30,27,1,2,111.11,Inn2,Kings XI Punjab,Rising Pune Supergiant,won,18124,16:00:00,8,2017,4,"Holkar Cricket Stadium, Indore"
37,Roy,c Dhawan b Bhuvneshwar,31,21,5,0,147.62,Inn1,Gujarat Lions,Sunrisers Hyderabad,lost,18126,16:00:00,9,2017,4,"Rajiv Gandhi International Stadium, Hyderabad"
38,Brendon McCullum,lbw b Rashid Khan,5,10,0,0,50.00,Inn1,Gujarat Lions,Sunrisers Hyderabad,lost,18126,16:00:00,9,2017,4,"Rajiv Gandhi International Stadium, Hyderabad"
39,Raina (c),lbw b Rashid Khan,5,8,0,0,62.50,Inn1,Gujarat Lions,Sunrisers Hyderabad,lost,18126,16:00:00,9,2017,4,"Rajiv Gandhi International Stadium, Hyderabad"
40,Finch,lbw b Rashid Khan,3,5,0,0,60.00,Inn1,Gujarat Lions,Sunrisers Hyderabad,lost,18126,16:00:00,9,2017,4,"Rajiv Gandhi International Stadium, Hyderabad"
41,Karthik (wk),c Naman Ojha b Nehra,30,32,2,0,93.75,Inn1,Gujarat Lions,Sunrisers Hyderabad,lost,18126,16:00:00,9,2017,4,"Rajiv Gandhi International Stadium, Hyderabad"
42,Dwayne Smith,c (sub)Vijay Shankar b Bhuvneshwar,37,27,4,1,137.04,Inn1,Gujarat Lions,Sunrisers Hyderabad,lost,18126,16:00:00,9,2017,4,"Rajiv Gandhi International Stadium, Hyderabad"
43,D Kulkarni,run out (Rashid Khan),1,2,0,0,50.00,Inn1,Gujarat Lions,Sunrisers Hyderabad,lost,18126,16:00:00,9,2017,4,"Rajiv Gandhi International Stadium, Hyderabad"
44,P Kumar,not out,7,7,0,0,100.00,Inn1,Gujarat Lions,Sunrisers Hyderabad,lost,18126,16:00:00,9,2017,4,"Rajiv Gandhi International Stadium, Hyderabad"
45,Basil Thampi,not out,13,8,0,1,162.50,Inn1,Gujarat Lions,Sunrisers Hyderabad,lost,18126,16:00:00,9,2017,4,"Rajiv Gandhi International Stadium, Hyderabad"
46,David Warner (c),not out,76,45,6,4,168.89,Inn2,Sunrisers Hyderabad,Gujarat Lions,won,18126,16:00:00,9,2017,4,"Rajiv Gandhi International Stadium, Hyderabad"
47,Shikhar Dhawan,c Brendon McCullum b P Kumar,9,9,0,1,100.00,Inn2,Sunrisers Hyderabad,Gujarat Lions,won,18126,16:00:00,9,2017,4,"Rajiv Gandhi International Stadium, Hyderabad"
48,Moises Henriques,not out,52,39,6,0,133.33,Inn2,Sunrisers Hyderabad,Gujarat Lions,won,18126,16:00:00,9,2017,4,"Rajiv Gandhi International Stadium, Hyderabad"
49,Watson (c),b Axar,1,4,0,0,25.00,Inn1,Royal Challengers Bangalore,Kings XI Punjab,lost,18128,20:00:00,10,2017,4,"Holkar Cricket Stadium, Indore"
50,Vishnu Vinod (wk),c Maxwell b Sandeep Sharma,7,12,1,0,58.33,Inn1,Royal Challengers Bangalore,Kings XI Punjab,lost,18128,20:00:00,10,2017,4,"Holkar Cricket Stadium, Indore"
51,de Villiers,not out,89,46,3,9,193.48,Inn1,Royal Challengers Bangalore,Kings XI Punjab,lost,18128,20:00:00,10,2017,4,"Holkar Cricket Stadium, Indore"
52,Kedar Jadhav,lbw b Aaron,1,4,0,0,25.00,Inn1,Royal Challengers Bangalore,Kings XI Punjab,lost,18128,20:00:00,10,2017,4,"Holkar Cricket Stadium, Indore"
53,Mandeep,c Saha b Aaron,28,34,1,1,82.35,Inn1,Royal Challengers Bangalore,Kings XI Punjab,lost,18128,20:00:00,10,2017,4,"Holkar Cricket Stadium, Indore"
54,Binny,not out,18,20,1,1,90.00,Inn1,Royal Challengers Bangalore,Kings XI Punjab,lost,18128,20:00:00,10,2017,4,"Holkar Cricket Stadium, Indore"
55,Manan Vohra,lbw b Tymal Mills,34,21,4,1,161.90,Inn2,Kings XI Punjab,Royal Challengers Bangalore,won,18128,20:00:00,10,2017,4,"Holkar Cricket Stadium, Indore"
56,Hashim Amla,not out,58,38,4,3,152.63,Inn2,Kings XI Punjab,Royal Challengers Bangalore,won,18128,20:00:00,10,2017,4,"Holkar Cricket Stadium, Indore"
57,Axar Patel,b Chahal,9,6,0,1,150.00,Inn2,Kings XI Punjab,Royal Challengers Bangalore,won,18128,20:00:00,10,2017,4,"Holkar Cricket Stadium, Indore"
58,Glenn Maxwell (c),not out,43,22,3,4,195.45,Inn2,Kings XI Punjab,Royal Challengers Bangalore,won,18128,20:00:00,10,2017,4,"Holkar Cricket Stadium, Indore"
59,Tare,c Dhoni b D Chahar,0,5,0,0,0.00,Inn1,Delhi Daredevils,Rising Pune Supergiant,won,18129,20:00:00,11,2017,4,"Maharashtra Cricket Association Stadium, Pune"
60,Billings,b Tahir,24,17,4,0,141.18,Inn1,Delhi Daredevils,Rising Pune Supergiant,won,18129,20:00:00,11,2017,4,"Maharashtra Cricket Association Stadium, Pune"
61,Samson,b Zampa,102,63,8,5,161.90,Inn1,Delhi Daredevils,Rising Pune Supergiant,won,18129,20:00:00,11,2017,4,"Maharashtra Cricket Association Stadium, Pune"
62,Pant (wk),run out (Mayank Agarwal),31,22,1,2,140.91,Inn1,Delhi Daredevils,Rising Pune Supergiant,won,18129,20:00:00,11,2017,4,"Maharashtra Cricket Association Stadium, Pune"
63,CJ Anderson,not out,2,4,0,0,50.00,Inn1,Delhi Daredevils,Rising Pune Supergiant,won,18129,20:00:00,11,2017,4,"Maharashtra Cricket Association Stadium, Pune"
64,Chris Morris,not out,38,9,4,3,422.22,Inn1,Delhi Daredevils,Rising Pune Supergiant,won,18129,20:00:00,11,2017,4,"Maharashtra Cricket Association Stadium, Pune"
65,Ajinkya Rahane (c),c Samson b Zaheer,10,9,0,0,111.11,Inn2,Rising Pune Supergiant,Delhi Daredevils,lost,18129,20:00:00,11,2017,4,"Maharashtra Cricket Association Stadium, Pune"
66,Mayank Agarwal,c Chris Morris b Zaheer,20,18,2,0,111.11,Inn2,Rising Pune Supergiant,Delhi Daredevils,lost,18129,20:00:00,11,2017,4,"Maharashtra Cricket Association Stadium, Pune"
67,Faf du Plessis,c Pant b Nadeem,8,7,1,0,114.29,Inn2,Rising Pune Supergiant,Delhi Daredevils,lost,18129,20:00:00,11,2017,4,"Maharashtra Cricket Association Stadium, Pune"
68,Rahul Tripathi,c Nadeem b Chris Morris,10,5,2,0,200.00,Inn2,Rising Pune Supergiant,Delhi Daredevils,lost,18129,20:00:00,11,2017,4,"Maharashtra Cricket Association Stadium, Pune"
69,Ben Stokes,c Pant b Pat Cummins,2,5,0,0,40.00,Inn2,Rising Pune Supergiant,Delhi Daredevils,lost,18129,20:00:00,11,2017,4,"Maharashtra Cricket Association Stadium, Pune"
70,MS Dhoni (wk),c Nair b A Mishra,11,14,0,1,78.57,Inn2,Rising Pune Supergiant,Delhi Daredevils,lost,18129,20:00:00,11,2017,4,"Maharashtra Cricket Association Stadium, Pune"
