,batsman,got_out,Runs,Balls,Fours,Sixes,St.rate,Inning,Team,Opponent,Win/Lost,match_id,time,day,year,Month,Venue,ID
0,Mayank Agarwal,not out,31,14,3,2,221.43,Inn1,Delhi Daredevils,Kolkata Knight Riders,lost,16390,20:00:00,10,2016,4,"Eden Gardens, Kolkata",2195
1,Quinton de Kock,b Pathan,13,10,0,1,130.00,Inn1,Delhi Daredevils,Kolkata Knight Riders,lost,16390,20:00:00,10,2016,4,"Eden Gardens, Kolkata",8520
2,Shreyas Iyer,c Pathan b Mota,32,13,2,3,246.15,Inn1,Delhi Daredevils,Kolkata Knight Riders,lost,16390,20:00:00,10,2016,4,"Eden Gardens, Kolkata",9428
3,Karun Nair,not out,116,54,8,9,214.81,Inn1,Delhi Daredevils,Kolkata Knight Riders,lost,16390,20:00:00,10,2016,4,"Eden Gardens, Kolkata",8257
4,Sanju Samson,lbw b Hopes,2,3,0,0,66.67,Inn1,Delhi Daredevils,Kolkata Knight Riders,lost,16390,20:00:00,10,2016,4,"Eden Gardens, Kolkata",8271
5,Pawan Negi,c Sangakkara b Lee,15,10,3,0,150.00,Inn1,Delhi Daredevils,Kolkata Knight Riders,lost,16390,20:00:00,10,2016,4,"Eden Gardens, Kolkata",8281
6,Carlos Brathwaite,b Pathan,25,17,4,1,147.06,Inn1,Delhi Daredevils,Kolkata Knight Riders,lost,16390,20:00:00,10,2016,4,"Eden Gardens, Kolkata",8110
7,Robin Uthappa,not out,31,14,3,2,221.43,Inn2,Kolkata Knight Riders,Delhi Daredevils,won,16390,20:00:00,10,2016,4,"Eden Gardens, Kolkata",527
8,Gautam Gambhir,b Pathan,13,10,0,1,130.00,Inn2,Kolkata Knight Riders,Delhi Daredevils,won,16390,20:00:00,10,2016,4,"Eden Gardens, Kolkata",308
9,Manish Pandey,c Pathan b Mota,32,13,2,3,246.15,Inn2,Kolkata Knight Riders,Delhi Daredevils,won,16390,20:00:00,10,2016,4,"Eden Gardens, Kolkata",1836
10,11,not out,116,54,8,9,214.81,Inn2,Kolkata Knight Riders,Delhi Daredevils,won,16390,20:00:00,10,2016,4,"Eden Gardens, Kolkata",
11,,lbw b Hopes,2,3,0,0,66.67,Inn2,Kolkata Knight Riders,Delhi Daredevils,won,16390,20:00:00,10,2016,4,"Eden Gardens, Kolkata",
12,,lbw b Hopes,2,10,3,0,150.00,Inn2,Kolkata Knight Riders,Delhi Daredevils,won,16390,20:00:00,10,2016,4,"Eden Gardens, Kolkata",
13,,lbw b Hopes,2,17,4,1,147.06,Inn2,Kolkata Knight Riders,Delhi Daredevils,won,16390,20:00:00,10,2016,4,"Eden Gardens, Kolkata",
