,bowler,ID,overs,maidens,runs,wickets,no_balls,wides,economy,team,opponent,Inning,Win/Lost,match_id,time,day,year,Month,Venue
0,Albie Morkel,484,3,0,28,0,0,1,9.33,Delhi Daredevils,Chennai Super Kings,Inn1,lost,14595,20:00:00,9,2015,4,"MA Chidambaram Stadium, Chennai"
1,Nathan Coulter-Nile,7774,4,0,30,3,1,0,7.50,Delhi Daredevils,Chennai Super Kings,Inn1,lost,14595,20:00:00,9,2015,4,"MA Chidambaram Stadium, Chennai"
2,Domnic Muthuswami,8883,3,0,18,1,0,0,6.00,Delhi Daredevils,Chennai Super Kings,Inn1,lost,14595,20:00:00,9,2015,4,"MA Chidambaram Stadium, Chennai"
3,Imran Tahir,6667,4,0,27,1,0,0,6.75,Delhi Daredevils,Chennai Super Kings,Inn1,lost,14595,20:00:00,9,2015,4,"MA Chidambaram Stadium, Chennai"
4,Amit Mishra,1454,4,0,21,1,0,0,5.25,Delhi Daredevils,Chennai Super Kings,Inn1,lost,14595,20:00:00,9,2015,4,"MA Chidambaram Stadium, Chennai"
5,Jean-Paul Duminy,211,2,0,15,1,0,1,7.50,Delhi Daredevils,Chennai Super Kings,Inn1,lost,14595,20:00:00,9,2015,4,"MA Chidambaram Stadium, Chennai"
6,Ashish Nehra,269,4,0,25,3,0,1,6.25,Chennai Super Kings,Delhi Daredevils,Inn2,won,14595,20:00:00,9,2015,4,"MA Chidambaram Stadium, Chennai"
7,Mohit Sharma,8181,4,0,33,1,0,1,8.25,Chennai Super Kings,Delhi Daredevils,Inn2,won,14595,20:00:00,9,2015,4,"MA Chidambaram Stadium, Chennai"
8,Ishwar Pandey,8665,4,0,30,1,0,0,7.50,Chennai Super Kings,Delhi Daredevils,Inn2,won,14595,20:00:00,9,2015,4,"MA Chidambaram Stadium, Chennai"
9,Ravichandran Ashwin,1593,4,0,25,1,0,1,6.25,Chennai Super Kings,Delhi Daredevils,Inn2,won,14595,20:00:00,9,2015,4,"MA Chidambaram Stadium, Chennai"
10,Dwayne Bravo,242,4,0,36,2,0,2,9.00,Chennai Super Kings,Delhi Daredevils,Inn2,won,14595,20:00:00,9,2015,4,"MA Chidambaram Stadium, Chennai"
11,Sandeep Sharma,8356,4,1,19,1,0,1,4.75,Kings XI Punjab,Rajasthan Royals,Inn1,lost,14596,20:00:00,10,2015,4,"Maharashtra Cricket Association Stadium, Pune"
12,Anureet Singh,1876,4,0,23,3,0,0,5.75,Kings XI Punjab,Rajasthan Royals,Inn1,lost,14596,20:00:00,10,2015,4,"Maharashtra Cricket Association Stadium, Pune"
13,Axar Patel,8808,4,0,34,1,0,2,8.50,Kings XI Punjab,Rajasthan Royals,Inn1,lost,14596,20:00:00,10,2015,4,"Maharashtra Cricket Association Stadium, Pune"
14,Karanveer Singh,8997,4,0,43,0,0,0,10.75,Kings XI Punjab,Rajasthan Royals,Inn1,lost,14596,20:00:00,10,2015,4,"Maharashtra Cricket Association Stadium, Pune"
15,Mitchell Johnson,496,4,0,34,2,0,9,8.50,Kings XI Punjab,Rajasthan Royals,Inn1,lost,14596,20:00:00,10,2015,4,"Maharashtra Cricket Association Stadium, Pune"
16,Tim Southee,1057,4,0,36,2,0,3,9.00,Rajasthan Royals,Kings XI Punjab,Inn2,won,14596,20:00:00,10,2015,4,"Maharashtra Cricket Association Stadium, Pune"
17,Chris Morris,8333,4,0,21,0,0,1,5.25,Rajasthan Royals,Kings XI Punjab,Inn2,won,14596,20:00:00,10,2015,4,"Maharashtra Cricket Association Stadium, Pune"
18,Dhawal Kulkarni,1451,3,0,21,1,0,1,7.00,Rajasthan Royals,Kings XI Punjab,Inn2,won,14596,20:00:00,10,2015,4,"Maharashtra Cricket Association Stadium, Pune"
19,James Faulkner,7789,4,0,26,3,0,0,6.50,Rajasthan Royals,Kings XI Punjab,Inn2,won,14596,20:00:00,10,2015,4,"Maharashtra Cricket Association Stadium, Pune"
20,Pravin Tambe,9237,3,0,15,0,0,0,5.00,Rajasthan Royals,Kings XI Punjab,Inn2,won,14596,20:00:00,10,2015,4,"Maharashtra Cricket Association Stadium, Pune"
21,Stuart Binny,1530,2,0,15,0,0,2,7.50,Rajasthan Royals,Kings XI Punjab,Inn2,won,14596,20:00:00,10,2015,4,"Maharashtra Cricket Association Stadium, Pune"
22,Bhuvneshwar Kumar,1726,4,0,31,0,0,3,7.75,Sunrisers Hyderabad,Chennai Super Kings,Inn1,lost,14597,16:00:00,11,2015,4,"MA Chidambaram Stadium, Chennai"
23,Trent Boult,8117,4,0,34,1,0,1,8.50,Sunrisers Hyderabad,Chennai Super Kings,Inn1,lost,14597,16:00:00,11,2015,4,"MA Chidambaram Stadium, Chennai"
24,Ishant Sharma,702,3,0,46,0,4,0,15.33,Sunrisers Hyderabad,Chennai Super Kings,Inn1,lost,14597,16:00:00,11,2015,4,"MA Chidambaram Stadium, Chennai"
25,Karn Sharma,1844,4,0,51,0,0,0,12.75,Sunrisers Hyderabad,Chennai Super Kings,Inn1,lost,14597,16:00:00,11,2015,4,"MA Chidambaram Stadium, Chennai"
26,Ravi Bopara,571,4,0,29,0,0,0,7.25,Sunrisers Hyderabad,Chennai Super Kings,Inn1,lost,14597,16:00:00,11,2015,4,"MA Chidambaram Stadium, Chennai"
27,Parvez Rasool,8837,1,0,11,0,0,0,11.00,Sunrisers Hyderabad,Chennai Super Kings,Inn1,lost,14597,16:00:00,11,2015,4,"MA Chidambaram Stadium, Chennai"
28,Ashish Nehra,269,4,0,31,0,0,2,7.75,Chennai Super Kings,Sunrisers Hyderabad,Inn2,won,14597,16:00:00,11,2015,4,"MA Chidambaram Stadium, Chennai"
29,Mohit Sharma,8181,4,0,36,2,0,0,9.00,Chennai Super Kings,Sunrisers Hyderabad,Inn2,won,14597,16:00:00,11,2015,4,"MA Chidambaram Stadium, Chennai"
30,Ishwar Pandey,8665,3,0,26,1,0,0,8.67,Chennai Super Kings,Sunrisers Hyderabad,Inn2,won,14597,16:00:00,11,2015,4,"MA Chidambaram Stadium, Chennai"
31,Ravichandran Ashwin,1593,4,0,22,1,0,0,5.50,Chennai Super Kings,Sunrisers Hyderabad,Inn2,won,14597,16:00:00,11,2015,4,"MA Chidambaram Stadium, Chennai"
32,Dwayne Bravo,242,4,0,25,2,0,2,6.25,Chennai Super Kings,Sunrisers Hyderabad,Inn2,won,14597,16:00:00,11,2015,4,"MA Chidambaram Stadium, Chennai"
33,Ravindra Jadeja,587,1,0,17,0,0,0,17.00,Chennai Super Kings,Sunrisers Hyderabad,Inn2,won,14597,16:00:00,11,2015,4,"MA Chidambaram Stadium, Chennai"
34,Tim Southee,1057,4,0,36,0,0,1,9.00,Rajasthan Royals,Delhi Daredevils,Inn1,won,14599,16:00:00,12,2015,4,"Arun Jaitley Stadium, Delhi"
35,Chris Morris,8333,4,0,35,2,0,2,8.75,Rajasthan Royals,Delhi Daredevils,Inn1,won,14599,16:00:00,12,2015,4,"Arun Jaitley Stadium, Delhi"
36,Dhawal Kulkarni,1451,1,0,18,0,0,0,18.00,Rajasthan Royals,Delhi Daredevils,Inn1,won,14599,16:00:00,12,2015,4,"Arun Jaitley Stadium, Delhi"
37,Pravin Tambe,9237,3,0,18,1,0,0,6.00,Rajasthan Royals,Delhi Daredevils,Inn1,won,14599,16:00:00,12,2015,4,"Arun Jaitley Stadium, Delhi"
38,Deepak Hooda,9427,4,0,20,0,0,3,5.00,Rajasthan Royals,Delhi Daredevils,Inn1,won,14599,16:00:00,12,2015,4,"Arun Jaitley Stadium, Delhi"
39,James Faulkner,7789,4,0,55,0,0,1,13.75,Rajasthan Royals,Delhi Daredevils,Inn1,won,14599,16:00:00,12,2015,4,"Arun Jaitley Stadium, Delhi"
