,bowler,ID,overs,maidens,runs,wickets,no_balls,wides,economy,team,opponent,Inning,Win/Lost,match_id,time,day,year,Month,Venue
0,Mitchell Johnson,496,3,0,15,1,0,2,5.00,Mumbai Indians,Royal Challengers Bangalore,Inn1,lost,11867,20:00:00,4,2013,4,"M.Chinnaswamy Stadium, Bengaluru"
1,Munaf Patel,522,4,0,40,0,0,0,10.00,Mumbai Indians,Royal Challengers Bangalore,Inn1,lost,11867,20:00:00,4,2013,4,"M.Chinnaswamy Stadium, Bengaluru"
2,Jasprit Bumrah,9311,4,0,32,3,0,0,8.00,Mumbai Indians,Royal Challengers Bangalore,Inn1,lost,11867,20:00:00,4,2013,4,"M.Chinnaswamy Stadium, Bengaluru"
3,Jacob Oram,59,4,0,22,0,0,2,5.50,Mumbai Indians,Royal Challengers Bangalore,Inn1,lost,11867,20:00:00,4,2013,4,"M.Chinnaswamy Stadium, Bengaluru"
4,Harbhajan Singh,75,4,0,21,1,0,1,5.25,Mumbai Indians,Royal Challengers Bangalore,Inn1,lost,11867,20:00:00,4,2013,4,"M.Chinnaswamy Stadium, Bengaluru"
5,Kieron Pollard,657,1,0,15,0,0,0,15.00,Mumbai Indians,Royal Challengers Bangalore,Inn1,lost,11867,20:00:00,4,2013,4,"M.Chinnaswamy Stadium, Bengaluru"
6,Jaydev Unadkat,6327,4,0,26,0,0,0,6.50,Royal Challengers Bangalore,Mumbai Indians,Inn2,won,11867,20:00:00,4,2013,4,"M.Chinnaswamy Stadium, Bengaluru"
7,Daniel Christian,6283,4,0,42,0,1,0,10.50,Royal Challengers Bangalore,Mumbai Indians,Inn2,won,11867,20:00:00,4,2013,4,"M.Chinnaswamy Stadium, Bengaluru"
8,Vinay Kumar,1449,4,0,27,3,0,0,6.75,Royal Challengers Bangalore,Mumbai Indians,Inn2,won,11867,20:00:00,4,2013,4,"M.Chinnaswamy Stadium, Bengaluru"
9,Muttiah Muralitharan,110,4,0,30,0,0,0,7.50,Royal Challengers Bangalore,Mumbai Indians,Inn2,won,11867,20:00:00,4,2013,4,"M.Chinnaswamy Stadium, Bengaluru"
10,Murali Kartik,300,4,0,24,1,0,2,6.00,Royal Challengers Bangalore,Mumbai Indians,Inn2,won,11867,20:00:00,4,2013,4,"M.Chinnaswamy Stadium, Bengaluru"
11,Marlon Samuels,356,4,0,34,1,0,1,8.50,Pune Warriors,Sunrisers Hyderabad,Inn1,lost,11868,20:00:00,5,2013,4,"Rajiv Gandhi International Stadium, Hyderabad"
12,Bhuvneshwar Kumar,1726,4,0,17,1,0,0,4.25,Pune Warriors,Sunrisers Hyderabad,Inn1,lost,11868,20:00:00,5,2013,4,"Rajiv Gandhi International Stadium, Hyderabad"
13,Ashok Dinda,1467,4,0,29,2,0,1,7.25,Pune Warriors,Sunrisers Hyderabad,Inn1,lost,11868,20:00:00,5,2013,4,"Rajiv Gandhi International Stadium, Hyderabad"
14,Angelo Mathews,1629,2,0,16,0,0,0,8.00,Pune Warriors,Sunrisers Hyderabad,Inn1,lost,11868,20:00:00,5,2013,4,"Rajiv Gandhi International Stadium, Hyderabad"
15,Rahul Sharma,6304,4,0,21,1,0,0,5.25,Pune Warriors,Sunrisers Hyderabad,Inn1,lost,11868,20:00:00,5,2013,4,"Rajiv Gandhi International Stadium, Hyderabad"
16,Yuvraj Singh,69,2,0,8,1,0,0,4.00,Pune Warriors,Sunrisers Hyderabad,Inn1,lost,11868,20:00:00,5,2013,4,"Rajiv Gandhi International Stadium, Hyderabad"
17,Dale Steyn,508,3.5,0,11,3,0,0,3.14,Sunrisers Hyderabad,Pune Warriors,Inn2,won,11868,20:00:00,5,2013,4,"Rajiv Gandhi International Stadium, Hyderabad"
18,Ishant Sharma,702,4,0,22,0,0,1,5.50,Sunrisers Hyderabad,Pune Warriors,Inn2,won,11868,20:00:00,5,2013,4,"Rajiv Gandhi International Stadium, Hyderabad"
19,Thisara Perera,2281,4,0,29,2,0,1,7.25,Sunrisers Hyderabad,Pune Warriors,Inn2,won,11868,20:00:00,5,2013,4,"Rajiv Gandhi International Stadium, Hyderabad"
20,Amit Mishra,1454,4,0,19,3,0,0,4.75,Sunrisers Hyderabad,Pune Warriors,Inn2,won,11868,20:00:00,5,2013,4,"Rajiv Gandhi International Stadium, Hyderabad"
21,Cameron White,282,1,0,2,0,0,0,2.00,Sunrisers Hyderabad,Pune Warriors,Inn2,won,11868,20:00:00,5,2013,4,"Rajiv Gandhi International Stadium, Hyderabad"
22,Ashish Reddy,6301,2,0,21,1,0,0,10.50,Sunrisers Hyderabad,Pune Warriors,Inn2,won,11868,20:00:00,5,2013,4,"Rajiv Gandhi International Stadium, Hyderabad"
23,Irfan Pathan,73,4,0,31,0,0,0,7.75,Delhi Daredevils,Rajasthan Royals,Inn1,lost,11869,16:00:00,6,2013,4,"Arun Jaitley Stadium, Delhi"
24,Ashish Nehra,269,4,0,35,2,0,5,8.75,Delhi Daredevils,Rajasthan Royals,Inn1,lost,11869,16:00:00,6,2013,4,"Arun Jaitley Stadium, Delhi"
25,Umesh Yadav,1858,4,0,24,4,0,0,6.00,Delhi Daredevils,Rajasthan Royals,Inn1,lost,11869,16:00:00,6,2013,4,"Arun Jaitley Stadium, Delhi"
26,Andre Russell,7736,3,0,31,0,0,1,10.33,Delhi Daredevils,Rajasthan Royals,Inn1,lost,11869,16:00:00,6,2013,4,"Arun Jaitley Stadium, Delhi"
27,Shahbaz Nadeem,7906,4,0,22,1,0,0,5.50,Delhi Daredevils,Rajasthan Royals,Inn1,lost,11869,16:00:00,6,2013,4,"Arun Jaitley Stadium, Delhi"
28,Johan Botha,487,1,0,19,0,0,0,19.00,Delhi Daredevils,Rajasthan Royals,Inn1,lost,11869,16:00:00,6,2013,4,"Arun Jaitley Stadium, Delhi"
29,Samuel Badree,1609,4,0,34,0,0,1,8.50,Rajasthan Royals,Delhi Daredevils,Inn2,won,11869,16:00:00,6,2013,4,"Arun Jaitley Stadium, Delhi"
30,S Sreesanth,463,4,0,18,1,0,0,4.50,Rajasthan Royals,Delhi Daredevils,Inn2,won,11869,16:00:00,6,2013,4,"Arun Jaitley Stadium, Delhi"
31,Siddharth Trivedi,1594,4,0,35,0,0,0,8.75,Rajasthan Royals,Delhi Daredevils,Inn2,won,11869,16:00:00,6,2013,4,"Arun Jaitley Stadium, Delhi"
