,batsman,got_out,Runs,Balls,Fours,Sixes,St.rate,Inning,Team,Opponent,Win/Lost,match_id,time,day,year,Month,Venue
0,Mayank Agarwal,c B Hogg b A Russell,9,11,1,0,81.82,Inn1,Delhi Daredevils,Kolkata Knight Riders,lost,16390,20:00:00,10,2016,4,"Eden Gardens, Kolkata"
1,Quinton de Kock,c Y Pathan b A Russell,17,10,1,1,170.00,Inn1,Delhi Daredevils,Kolkata Knight Riders,lost,16390,20:00:00,10,2016,4,"Eden Gardens, Kolkata"
2,Shreyas Iyer,lbw b A Russell,0,3,0,0,0.00,Inn1,Delhi Daredevils,Kolkata Knight Riders,lost,16390,20:00:00,10,2016,4,"Eden Gardens, Kolkata"
3,Karun Nair,c M Pandey b J Hastings,3,8,0,0,37.50,Inn1,Delhi Daredevils,Kolkata Knight Riders,lost,16390,20:00:00,10,2016,4,"Eden Gardens, Kolkata"
4,Sanju Samson,c Uthappa b B Hogg,15,13,2,0,115.38,Inn1,Delhi Daredevils,Kolkata Knight Riders,lost,16390,20:00:00,10,2016,4,"Eden Gardens, Kolkata"
5,Pawan Negi,st Uthappa b B Hogg,11,19,0,1,57.89,Inn1,Delhi Daredevils,Kolkata Knight Riders,lost,16390,20:00:00,10,2016,4,"Eden Gardens, Kolkata"
6,Carlos Brathwaite,lbw b Chawla,6,4,0,1,150.00,Inn1,Delhi Daredevils,Kolkata Knight Riders,lost,16390,20:00:00,10,2016,4,"Eden Gardens, Kolkata"
7,Chris Morris,b Chawla,11,9,2,0,122.22,Inn1,Delhi Daredevils,Kolkata Knight Riders,lost,16390,20:00:00,10,2016,4,"Eden Gardens, Kolkata"
8,Nathan Coulter-Nile,not out,7,11,1,0,63.64,Inn1,Delhi Daredevils,Kolkata Knight Riders,lost,16390,20:00:00,10,2016,4,"Eden Gardens, Kolkata"
9,Amit Mishra,c Gambhir b B Hogg,3,9,0,0,33.33,Inn1,Delhi Daredevils,Kolkata Knight Riders,lost,16390,20:00:00,10,2016,4,"Eden Gardens, Kolkata"
10,,c M Pandey b J Hastings,4,9,1,0,44.44,Inn1,Delhi Daredevils,Kolkata Knight Riders,lost,16390,20:00:00,10,2016,4,"Eden Gardens, Kolkata"
11,Robin Uthappa,c C Morris b A Mishra,35,33,7,0,106.06,Inn2,Kolkata Knight Riders,Delhi Daredevils,won,16390,20:00:00,10,2016,4,"Eden Gardens, Kolkata"
12,Gautam Gambhir,not out,38,41,5,0,92.68,Inn2,Kolkata Knight Riders,Delhi Daredevils,won,16390,20:00:00,10,2016,4,"Eden Gardens, Kolkata"
