,batsman,got_out,Runs,Balls,Fours,Sixes,St.rate,Inning,Team,Opponent,Win/Lost,match_id,time,day,year,Month,Venue,ID
0,Warner,not out,31,14,3,2,221.43,Inn1,Sunrisers Hyderabad,Kolkata Knight Riders,lost,22397,16:00:00,24,2019,3,"Eden Gardens, Kolkata",1739
1,Bairstow (wk),b Pathan,13,10,0,1,130.00,Inn1,Sunrisers Hyderabad,Kolkata Knight Riders,lost,22397,16:00:00,24,2019,3,"Eden Gardens, Kolkata",6507
2,Vijay Shankar,c Pathan b Mota,32,13,2,3,246.15,Inn1,Sunrisers Hyderabad,Kolkata Knight Riders,lost,22397,16:00:00,24,2019,3,"Eden Gardens, Kolkata",8204
3,Y Pathan,not out,116,54,8,9,214.81,Inn1,Sunrisers Hyderabad,Kolkata Knight Riders,lost,22397,16:00:00,24,2019,3,"Eden Gardens, Kolkata",790
4,Manish Pandey,lbw b Hopes,2,3,0,0,66.67,Inn1,Sunrisers Hyderabad,Kolkata Knight Riders,lost,22397,16:00:00,24,2019,3,"Eden Gardens, Kolkata",1836
5,8,c Sangakkara b Lee,15,10,3,0,150.00,Inn1,Sunrisers Hyderabad,Kolkata Knight Riders,lost,22397,16:00:00,24,2019,3,"Eden Gardens, Kolkata",
6,,b Pathan,25,17,4,1,147.06,Inn1,Sunrisers Hyderabad,Kolkata Knight Riders,lost,22397,16:00:00,24,2019,3,"Eden Gardens, Kolkata",
7,Chris Lynn,not out,31,14,3,2,221.43,Inn2,Kolkata Knight Riders,Sunrisers Hyderabad,won,22397,16:00:00,24,2019,3,"Eden Gardens, Kolkata",7752
8,Nitish Rana,b Pathan,13,10,0,1,130.00,Inn2,Kolkata Knight Riders,Sunrisers Hyderabad,won,22397,16:00:00,24,2019,3,"Eden Gardens, Kolkata",9204
9,Robin Uthappa,c Pathan b Mota,32,13,2,3,246.15,Inn2,Kolkata Knight Riders,Sunrisers Hyderabad,won,22397,16:00:00,24,2019,3,"Eden Gardens, Kolkata",527
