,bowler,ID,overs,maidens,runs,wickets,no_balls,wides,economy,team,opponent,Inning,Win/Lost,match_id,time,day,year,Month,Venue
0,Mitchell Starc,7710,4,0,33,1,1,1,8.25,Royal Challengers Bangalore,Delhi Daredevils,Inn1,won,13638,20:00:00,17,2014,4,"Sharjah Cricket Stadium, Sharjah"
1,Albie Morkel,484,3,0,18,1,0,0,6.00,Royal Challengers Bangalore,Delhi Daredevils,Inn1,won,13638,20:00:00,17,2014,4,"Sharjah Cricket Stadium, Sharjah"
2,Varun Aaron,6293,3,1,9,1,0,3,3.00,Royal Challengers Bangalore,Delhi Daredevils,Inn1,won,13638,20:00:00,17,2014,4,"Sharjah Cricket Stadium, Sharjah"
3,Yuzvendra Chahal,7910,4,0,18,1,0,4,4.50,Royal Challengers Bangalore,Delhi Daredevils,Inn1,won,13638,20:00:00,17,2014,4,"Sharjah Cricket Stadium, Sharjah"
4,Ashok Dinda,1467,4,0,51,0,0,1,12.75,Royal Challengers Bangalore,Delhi Daredevils,Inn1,won,13638,20:00:00,17,2014,4,"Sharjah Cricket Stadium, Sharjah"
5,Yuvraj Singh,69,2,0,16,0,0,0,8.00,Royal Challengers Bangalore,Delhi Daredevils,Inn1,won,13638,20:00:00,17,2014,4,"Sharjah Cricket Stadium, Sharjah"
6,Jean-Paul Duminy,211,2,0,10,0,0,0,5.00,Delhi Daredevils,Royal Challengers Bangalore,Inn2,lost,13638,20:00:00,17,2014,4,"Sharjah Cricket Stadium, Sharjah"
7,Mohammed Shami,7909,4,0,30,1,0,2,7.50,Delhi Daredevils,Royal Challengers Bangalore,Inn2,lost,13638,20:00:00,17,2014,4,"Sharjah Cricket Stadium, Sharjah"
8,Wayne Parnell,1692,3,0,19,0,0,0,6.33,Delhi Daredevils,Royal Challengers Bangalore,Inn2,lost,13638,20:00:00,17,2014,4,"Sharjah Cricket Stadium, Sharjah"
9,Shahbaz Nadeem,7906,2.4,0,32,0,1,1,13.33,Delhi Daredevils,Royal Challengers Bangalore,Inn2,lost,13638,20:00:00,17,2014,4,"Sharjah Cricket Stadium, Sharjah"
