,batsman,got_out,Runs,Balls,Fours,Sixes,St.rate,Inning,Team,Opponent,Win/Lost,match_id,time,day,year,Month,Venue,ID
0,Harbhajan Singh,not out,31,14,3,2,221.43,Inn1,Mumbai Indians,Rajasthan Royals,won,10676,15:00:00,13,2010,3,"Brabourne Stadium, Mumbai",75
1,Ryan McLaren,b Pathan,13,10,0,1,130.00,Inn1,Mumbai Indians,Rajasthan Royals,won,10676,15:00:00,13,2010,3,"Brabourne Stadium, Mumbai",1628
2,Zaheer Khan,c Pathan b Mota,32,13,2,3,246.15,Inn1,Mumbai Indians,Rajasthan Royals,won,10676,15:00:00,13,2010,3,"Brabourne Stadium, Mumbai",71
3,Saurabh Tiwary,not out,116,54,8,9,214.81,Inn1,Mumbai Indians,Rajasthan Royals,won,10676,15:00:00,13,2010,3,"Brabourne Stadium, Mumbai",1601
4,Aditya Tare,lbw b Hopes,2,3,0,0,66.67,Inn1,Mumbai Indians,Rajasthan Royals,won,10676,15:00:00,13,2010,3,"Brabourne Stadium, Mumbai",6315
5,Sanath Jayasuriya,c Sangakkara b Lee,15,10,3,0,150.00,Inn1,Mumbai Indians,Rajasthan Royals,won,10676,15:00:00,13,2010,3,"Brabourne Stadium, Mumbai",102
6,Rajagopal Sathish,b Pathan,25,17,4,1,147.06,Inn1,Mumbai Indians,Rajasthan Royals,won,10676,15:00:00,13,2010,3,"Brabourne Stadium, Mumbai",6314
7,Shane Warne,not out,31,14,3,2,221.43,Inn2,Rajasthan Royals,Mumbai Indians,lost,10676,15:00:00,13,2010,3,"Brabourne Stadium, Mumbai",135
8,Graeme Smith,b Pathan,13,10,0,1,130.00,Inn2,Rajasthan Royals,Mumbai Indians,lost,10676,15:00:00,13,2010,3,"Brabourne Stadium, Mumbai",207
9,Swapnil Asnodkar,c Pathan b Mota,32,13,2,3,246.15,Inn2,Rajasthan Royals,Mumbai Indians,lost,10676,15:00:00,13,2010,3,"Brabourne Stadium, Mumbai",1462
10,Naman Ojha,not out,116,54,8,9,214.81,Inn2,Rajasthan Royals,Mumbai Indians,lost,10676,15:00:00,13,2010,3,"Brabourne Stadium, Mumbai",1599
11,Abhishek Jhunjhunwala,lbw b Hopes,2,3,0,0,66.67,Inn2,Rajasthan Royals,Mumbai Indians,lost,10676,15:00:00,13,2010,3,"Brabourne Stadium, Mumbai",6290
12,Yusuf Pathan,c Sangakkara b Lee,15,10,3,0,150.00,Inn2,Rajasthan Royals,Mumbai Indians,lost,10676,15:00:00,13,2010,3,"Brabourne Stadium, Mumbai",790
13,Paras Dogra,b Pathan,25,17,4,1,147.06,Inn2,Rajasthan Royals,Mumbai Indians,lost,10676,15:00:00,13,2010,3,"Brabourne Stadium, Mumbai",1860
14,Roelof van der Merwe,not out,31,14,3,2,221.43,Inn1,Royal Challengers Bangalore,Kolkata Knight Riders,lost,10672,16:00:00,14,2010,3,"Eden Gardens, Kolkata",1669
15,Praveen Kumar,b Pathan,13,10,0,1,130.00,Inn1,Royal Challengers Bangalore,Kolkata Knight Riders,lost,10672,16:00:00,14,2010,3,"Eden Gardens, Kolkata",592
16,Robin Uthappa,c Pathan b Mota,32,13,2,3,246.15,Inn1,Royal Challengers Bangalore,Kolkata Knight Riders,lost,10672,16:00:00,14,2010,3,"Eden Gardens, Kolkata",527
17,Rahul Dravid,not out,116,54,8,9,214.81,Inn1,Royal Challengers Bangalore,Kolkata Knight Riders,lost,10672,16:00:00,14,2010,3,"Eden Gardens, Kolkata",27
18,Virat Kohli,lbw b Hopes,2,3,0,0,66.67,Inn1,Royal Challengers Bangalore,Kolkata Knight Riders,lost,10672,16:00:00,14,2010,3,"Eden Gardens, Kolkata",1413
19,Eoin Morgan,c Sangakkara b Lee,15,10,3,0,150.00,Inn1,Royal Challengers Bangalore,Kolkata Knight Riders,lost,10672,16:00:00,14,2010,3,"Eden Gardens, Kolkata",624
20,Manish Pandey,b Pathan,25,17,4,1,147.06,Inn1,Royal Challengers Bangalore,Kolkata Knight Riders,lost,10672,16:00:00,14,2010,3,"Eden Gardens, Kolkata",1836
21,Brad Hodge,not out,31,14,3,2,221.43,Inn2,Kolkata Knight Riders,Royal Challengers Bangalore,won,10672,16:00:00,14,2010,3,"Eden Gardens, Kolkata",283
22,Cheteshwar Pujara,b Pathan,13,10,0,1,130.00,Inn2,Kolkata Knight Riders,Royal Challengers Bangalore,won,10672,16:00:00,14,2010,3,"Eden Gardens, Kolkata",1448
23,Owais Shah,c Pathan b Mota,32,13,2,3,246.15,Inn2,Kolkata Knight Riders,Royal Challengers Bangalore,won,10672,16:00:00,14,2010,3,"Eden Gardens, Kolkata",520
24,Sourav Ganguly,not out,116,54,8,9,214.81,Inn2,Kolkata Knight Riders,Royal Challengers Bangalore,won,10672,16:00:00,14,2010,3,"Eden Gardens, Kolkata",29
25,Manoj Tiwary,lbw b Hopes,2,3,0,0,66.67,Inn2,Kolkata Knight Riders,Royal Challengers Bangalore,won,10672,16:00:00,14,2010,3,"Eden Gardens, Kolkata",694
26,,c Sangakkara b Lee,15,10,3,0,150.00,Inn2,Kolkata Knight Riders,Royal Challengers Bangalore,won,10672,16:00:00,14,2010,3,"Eden Gardens, Kolkata",
27,,c Sangakkara b Lee,15,17,4,1,147.06,Inn2,Kolkata Knight Riders,Royal Challengers Bangalore,won,10672,16:00:00,14,2010,3,"Eden Gardens, Kolkata",
28,,b Pathan,25,10,3,0,150.00,Inn2,Kolkata Knight Riders,Royal Challengers Bangalore,won,10672,16:00:00,14,2010,3,"Eden Gardens, Kolkata",
