,bowler,ID,overs,maidens,runs,wickets,no_balls,wides,economy,team,opponent,Inning,Win/Lost,match_id,time,day,year,Month,Venue
0,Prasidh,10551,4,0,31,0,1,2,7.80,Kolkata Knight Riders,Sunrisers Hyderabad,Inn1,won,22397,16:00:00,24,2019,3,"Eden Gardens, Kolkata"
1,Chawla,466,3,0,23,1,0,0,7.70,Kolkata Knight Riders,Sunrisers Hyderabad,Inn1,won,22397,16:00:00,24,2019,3,"Eden Gardens, Kolkata"
2,Lockie Ferguson,10692,4,0,34,0,0,0,8.50,Kolkata Knight Riders,Sunrisers Hyderabad,Inn1,won,22397,16:00:00,24,2019,3,"Eden Gardens, Kolkata"
3,Narine,2276,3,0,29,0,0,0,9.70,Kolkata Knight Riders,Sunrisers Hyderabad,Inn1,won,22397,16:00:00,24,2019,3,"Eden Gardens, Kolkata"
4,Kuldeep Yadav,8292,2,0,18,0,0,0,9.00,Kolkata Knight Riders,Sunrisers Hyderabad,Inn1,won,22397,16:00:00,24,2019,3,"Eden Gardens, Kolkata"
5,A Russell,7736,3,0,32,2,0,0,10.70,Kolkata Knight Riders,Sunrisers Hyderabad,Inn1,won,22397,16:00:00,24,2019,3,"Eden Gardens, Kolkata"
6,Nitish Rana,9204,1,0,9,0,0,0,9.00,Kolkata Knight Riders,Sunrisers Hyderabad,Inn1,won,22397,16:00:00,24,2019,3,"Eden Gardens, Kolkata"
7,Bhuvneshwar Kumar (c),1726,4,0,37,0,0,0,9.20,Sunrisers Hyderabad,Kolkata Knight Riders,Inn2,lost,22397,16:00:00,24,2019,3,"Eden Gardens, Kolkata"
8,Shakib Al Hasan,544,3.4,0,42,1,0,1,11.50,Sunrisers Hyderabad,Kolkata Knight Riders,Inn2,lost,22397,16:00:00,24,2019,3,"Eden Gardens, Kolkata"
9,Sandeep Sharma,8356,4,0,42,1,0,2,10.50,Sunrisers Hyderabad,Kolkata Knight Riders,Inn2,lost,22397,16:00:00,24,2019,3,"Eden Gardens, Kolkata"
10,Siddarth Kaul,1828,4,0,35,1,0,0,8.80,Sunrisers Hyderabad,Kolkata Knight Riders,Inn2,lost,22397,16:00:00,24,2019,3,"Eden Gardens, Kolkata"
11,Rashid Khan,10738,4,0,26,1,0,0,6.50,Sunrisers Hyderabad,Kolkata Knight Riders,Inn2,lost,22397,16:00:00,24,2019,3,"Eden Gardens, Kolkata"
