,bowler,ID,overs,maidens,runs,wickets,no_balls,wides,economy,team,opponent,Inning,Win/Lost,match_id,time,day,year,Month,Venue
0,Shane Warne,135,3,0,29,0,0,1,9.67,Rajasthan Royals,Mumbai Indians,Inn1,lost,10676,15:00:00,13,2010,3,"Brabourne Stadium, Mumbai"
1,Abhishek Jhunjhunwala,6290,2,0,27,0,0,0,13.50,Rajasthan Royals,Mumbai Indians,Inn1,lost,10676,15:00:00,13,2010,3,"Brabourne Stadium, Mumbai"
2,Yusuf Pathan,790,2,0,22,0,0,0,11.00,Rajasthan Royals,Mumbai Indians,Inn1,lost,10676,15:00:00,13,2010,3,"Brabourne Stadium, Mumbai"
3,Amit Uniyal,6321,4,0,41,2,0,2,10.25,Rajasthan Royals,Mumbai Indians,Inn1,lost,10676,15:00:00,13,2010,3,"Brabourne Stadium, Mumbai"
4,Dimitri Mascarenhas,741,4,0,34,2,0,0,8.50,Rajasthan Royals,Mumbai Indians,Inn1,lost,10676,15:00:00,13,2010,3,"Brabourne Stadium, Mumbai"
5,Kamran Khan,1863,1,0,10,0,0,0,10.00,Rajasthan Royals,Mumbai Indians,Inn1,lost,10676,15:00:00,13,2010,3,"Brabourne Stadium, Mumbai"
6,Shaun Tait,407,4,0,46,1,0,6,11.50,Rajasthan Royals,Mumbai Indians,Inn1,lost,10676,15:00:00,13,2010,3,"Brabourne Stadium, Mumbai"
7,Zaheer Khan,71,4,0,27,0,0,1,6.75,Mumbai Indians,Rajasthan Royals,Inn2,won,10676,15:00:00,13,2010,3,"Brabourne Stadium, Mumbai"
8,Ryan McLaren,1628,4,0,43,0,0,2,10.75,Mumbai Indians,Rajasthan Royals,Inn2,won,10676,15:00:00,13,2010,3,"Brabourne Stadium, Mumbai"
9,Lasith Malinga,111,4,0,22,2,0,1,5.50,Mumbai Indians,Rajasthan Royals,Inn2,won,10676,15:00:00,13,2010,3,"Brabourne Stadium, Mumbai"
10,Ali Murtaza,6309,4,0,46,1,0,0,11.50,Mumbai Indians,Rajasthan Royals,Inn2,won,10676,15:00:00,13,2010,3,"Brabourne Stadium, Mumbai"
11,Rajagopal Sathish,6314,3,0,51,1,0,1,17.00,Mumbai Indians,Rajasthan Royals,Inn2,won,10676,15:00:00,13,2010,3,"Brabourne Stadium, Mumbai"
12,Sanath Jayasuriya,102,1,0,19,0,0,0,19.00,Mumbai Indians,Rajasthan Royals,Inn2,won,10676,15:00:00,13,2010,3,"Brabourne Stadium, Mumbai"
