,batsman,got_out,Runs,Balls,Fours,Sixes,St.rate,Inning,Team,Opponent,Win/Lost,match_id,time,day,year,Month,Venue,ID
0,Brendon McCullum,not out,31,14,3,2,221.43,Inn1,Kolkata Knight Riders,Delhi Daredevils,lost,11182,20:00:00,5,2012,4,"Eden Gardens, Kolkata",201
1,Jacques Kallis,b Pathan,13,10,0,1,130.00,Inn1,Kolkata Knight Riders,Delhi Daredevils,lost,11182,20:00:00,5,2012,4,"Eden Gardens, Kolkata",213
2,Gautam Gambhir,c Pathan b Mota,32,13,2,3,246.15,Inn1,Kolkata Knight Riders,Delhi Daredevils,lost,11182,20:00:00,5,2012,4,"Eden Gardens, Kolkata",308
3,Manoj Tiwary,not out,116,54,8,9,214.81,Inn1,Kolkata Knight Riders,Delhi Daredevils,lost,11182,20:00:00,5,2012,4,"Eden Gardens, Kolkata",694
4,Yusuf Pathan,lbw b Hopes,2,3,0,0,66.67,Inn1,Kolkata Knight Riders,Delhi Daredevils,lost,11182,20:00:00,5,2012,4,"Eden Gardens, Kolkata",790
5,Debabrata Das,c Sangakkara b Lee,15,10,3,0,150.00,Inn1,Kolkata Knight Riders,Delhi Daredevils,lost,11182,20:00:00,5,2012,4,"Eden Gardens, Kolkata",1829
6,Laxmi Shukla,b Pathan,25,17,4,1,147.06,Inn1,Kolkata Knight Riders,Delhi Daredevils,lost,11182,20:00:00,5,2012,4,"Eden Gardens, Kolkata",1600
7,Aaron Finch,not out,31,14,3,2,221.43,Inn2,Delhi Daredevils,Kolkata Knight Riders,won,11182,20:00:00,5,2012,4,"Eden Gardens, Kolkata",1643
8,Virender Sehwag,b Pathan,13,10,0,1,130.00,Inn2,Delhi Daredevils,Kolkata Knight Riders,won,11182,20:00:00,5,2012,4,"Eden Gardens, Kolkata",26
9,Irfan Pathan,c Pathan b Mota,32,13,2,3,246.15,Inn2,Delhi Daredevils,Kolkata Knight Riders,won,11182,20:00:00,5,2012,4,"Eden Gardens, Kolkata",73
10,Glenn Maxwell,not out,116,54,8,9,214.81,Inn2,Delhi Daredevils,Kolkata Knight Riders,won,11182,20:00:00,5,2012,4,"Eden Gardens, Kolkata",7662
11,5,lbw b Hopes,2,3,0,0,66.67,Inn2,Delhi Daredevils,Kolkata Knight Riders,won,11182,20:00:00,5,2012,4,"Eden Gardens, Kolkata",
12,,c Sangakkara b Lee,15,10,3,0,150.00,Inn2,Delhi Daredevils,Kolkata Knight Riders,won,11182,20:00:00,5,2012,4,"Eden Gardens, Kolkata",
13,,c Sangakkara b Lee,15,17,4,1,147.06,Inn2,Delhi Daredevils,Kolkata Knight Riders,won,11182,20:00:00,5,2012,4,"Eden Gardens, Kolkata",
14,,b Pathan,25,10,3,0,150.00,Inn2,Delhi Daredevils,Kolkata Knight Riders,won,11182,20:00:00,5,2012,4,"Eden Gardens, Kolkata",
15,,b Pathan,25,17,4,1,147.06,Inn2,Delhi Daredevils,Kolkata Knight Riders,won,11182,20:00:00,5,2012,4,"Eden Gardens, Kolkata",
16,Manish Pandey,not out,31,14,3,2,221.43,Inn1,Pune Warriors,Mumbai Indians,won,11183,16:00:00,6,2012,4,"Wankhede Stadium, Mumbai",1836
17,Sourav Ganguly,b Pathan,13,10,0,1,130.00,Inn1,Pune Warriors,Mumbai Indians,won,11183,16:00:00,6,2012,4,"Wankhede Stadium, Mumbai",29
