,batsman,got_out,Runs,Balls,Fours,Sixes,St.rate,Inning,Team,Opponent,Win/Lost,match_id,time,day,year,Month,Venue,ID
0,Rohit (c),not out,31,14,3,2,221.43,Inn1,Mumbai Indians,Delhi Capitals,lost,45891,15:30:00,27,2022,3,"Brabourne Stadium, Mumbai",576
1,Ishan Kishan (wk),b Pathan,13,10,0,1,130.00,Inn1,Mumbai Indians,Delhi Capitals,lost,45891,15:30:00,27,2022,3,"Brabourne Stadium, Mumbai",10276
2,Anmolpreet Singh,c Pathan b Mota,32,13,2,3,246.15,Inn1,Mumbai Indians,Delhi Capitals,lost,45891,15:30:00,27,2022,3,"Brabourne Stadium, Mumbai",10947
3,Tilak Varma,not out,116,54,8,9,214.81,Inn1,Mumbai Indians,Delhi Capitals,lost,45891,15:30:00,27,2022,3,"Brabourne Stadium, Mumbai",14504
4,Pollard,lbw b Hopes,2,3,0,0,66.67,Inn1,Mumbai Indians,Delhi Capitals,lost,45891,15:30:00,27,2022,3,"Brabourne Stadium, Mumbai",657
5,Tim David,c Sangakkara b Lee,15,10,3,0,150.00,Inn1,Mumbai Indians,Delhi Capitals,lost,45891,15:30:00,27,2022,3,"Brabourne Stadium, Mumbai",13169
6,Daniel Sams,b Pathan,25,17,4,1,147.06,Inn1,Mumbai Indians,Delhi Capitals,lost,45891,15:30:00,27,2022,3,"Brabourne Stadium, Mumbai",13162
7,Prithvi Shaw,not out,31,14,3,2,221.43,Inn2,Delhi Capitals,Mumbai Indians,won,45891,15:30:00,27,2022,3,"Brabourne Stadium, Mumbai",12094
8,Tim Seifert,b Pathan,13,10,0,1,130.00,Inn2,Delhi Capitals,Mumbai Indians,won,45891,15:30:00,27,2022,3,"Brabourne Stadium, Mumbai",9443
9,Mandeep Singh,c Pathan b Mota,32,13,2,3,246.15,Inn2,Delhi Capitals,Mumbai Indians,won,45891,15:30:00,27,2022,3,"Brabourne Stadium, Mumbai",6319
10,Rishabh Pant (c & wk),not out,116,54,8,9,214.81,Inn2,Delhi Capitals,Mumbai Indians,won,45891,15:30:00,27,2022,3,"Brabourne Stadium, Mumbai",10744
11,Lalit Yadav,lbw b Hopes,2,3,0,0,66.67,Inn2,Delhi Capitals,Mumbai Indians,won,45891,15:30:00,27,2022,3,"Brabourne Stadium, Mumbai",13252
12,Rovman Powell,c Sangakkara b Lee,15,10,3,0,150.00,Inn2,Delhi Capitals,Mumbai Indians,won,45891,15:30:00,27,2022,3,"Brabourne Stadium, Mumbai",11445
13,Shardul Thakur,b Pathan,25,17,4,1,147.06,Inn2,Delhi Capitals,Mumbai Indians,won,45891,15:30:00,27,2022,3,"Brabourne Stadium, Mumbai",8683
14,Rahul (c),not out,31,14,3,2,221.43,Inn1,Lucknow Super Giants,Gujarat Titans,lost,45901,19:30:00,28,2022,3,"Wankhede Stadium, Mumbai",8733
15,de Kock (wk),b Pathan,13,10,0,1,130.00,Inn1,Lucknow Super Giants,Gujarat Titans,lost,45901,19:30:00,28,2022,3,"Wankhede Stadium, Mumbai",8520
16,Lewis,c Pathan b Mota,32,13,2,3,246.15,Inn1,Lucknow Super Giants,Gujarat Titans,lost,45901,19:30:00,28,2022,3,"Wankhede Stadium, Mumbai",8579
17,Manish Pandey,not out,116,54,8,9,214.81,Inn1,Lucknow Super Giants,Gujarat Titans,lost,45901,19:30:00,28,2022,3,"Wankhede Stadium, Mumbai",1836
18,Deepak Hooda,lbw b Hopes,2,3,0,0,66.67,Inn1,Lucknow Super Giants,Gujarat Titans,lost,45901,19:30:00,28,2022,3,"Wankhede Stadium, Mumbai",9427
19,Ayush Badoni,c Sangakkara b Lee,15,10,3,0,150.00,Inn1,Lucknow Super Giants,Gujarat Titans,lost,45901,19:30:00,28,2022,3,"Wankhede Stadium, Mumbai",13907
20,Krunal Pandya,b Pathan,25,17,4,1,147.06,Inn1,Lucknow Super Giants,Gujarat Titans,lost,45901,19:30:00,28,2022,3,"Wankhede Stadium, Mumbai",11311
21,Shubman Gill,not out,31,14,3,2,221.43,Inn2,Gujarat Titans,Lucknow Super Giants,won,45901,19:30:00,28,2022,3,"Wankhede Stadium, Mumbai",11808
22,Matthew Wade (wk),b Pathan,13,10,0,1,130.00,Inn2,Gujarat Titans,Lucknow Super Giants,won,45901,19:30:00,28,2022,3,"Wankhede Stadium, Mumbai",1649
23,Vijay Shankar,c Pathan b Mota,32,13,2,3,246.15,Inn2,Gujarat Titans,Lucknow Super Giants,won,45901,19:30:00,28,2022,3,"Wankhede Stadium, Mumbai",8204
24,Hardik Pandya (c),not out,116,54,8,9,214.81,Inn2,Gujarat Titans,Lucknow Super Giants,won,45901,19:30:00,28,2022,3,"Wankhede Stadium, Mumbai",9647
25,David Miller,lbw b Hopes,2,3,0,0,66.67,Inn2,Gujarat Titans,Lucknow Super Giants,won,45901,19:30:00,28,2022,3,"Wankhede Stadium, Mumbai",6349
26,Rahul Tewatia,c Sangakkara b Lee,15,10,3,0,150.00,Inn2,Gujarat Titans,Lucknow Super Giants,won,45901,19:30:00,28,2022,3,"Wankhede Stadium, Mumbai",9693
27,Abhinav Manohar,b Pathan,25,17,4,1,147.06,Inn2,Gujarat Titans,Lucknow Super Giants,won,45901,19:30:00,28,2022,3,"Wankhede Stadium, Mumbai",10499
28,Jos Buttler,not out,31,14,3,2,221.43,Inn1,Rajasthan Royals,Sunrisers Hyderabad,won,45906,19:30:00,29,2022,3,"Maharashtra Cricket Association Stadium, Pune",2258
29,Jaiswal,b Pathan,13,10,0,1,130.00,Inn1,Rajasthan Royals,Sunrisers Hyderabad,won,45906,19:30:00,29,2022,3,"Maharashtra Cricket Association Stadium, Pune",13940
30,Samson (c & wk),c Pathan b Mota,32,13,2,3,246.15,Inn1,Rajasthan Royals,Sunrisers Hyderabad,won,45906,19:30:00,29,2022,3,"Maharashtra Cricket Association Stadium, Pune",8271
31,Padikkal,not out,116,54,8,9,214.81,Inn1,Rajasthan Royals,Sunrisers Hyderabad,won,45906,19:30:00,29,2022,3,"Maharashtra Cricket Association Stadium, Pune",13088
32,Hetmyer,lbw b Hopes,2,3,0,0,66.67,Inn1,Rajasthan Royals,Sunrisers Hyderabad,won,45906,19:30:00,29,2022,3,"Maharashtra Cricket Association Stadium, Pune",9789
33,Riyan Parag,c Sangakkara b Lee,15,10,3,0,150.00,Inn1,Rajasthan Royals,Sunrisers Hyderabad,won,45906,19:30:00,29,2022,3,"Maharashtra Cricket Association Stadium, Pune",12305
34,Coulter-Nile,b Pathan,25,17,4,1,147.06,Inn1,Rajasthan Royals,Sunrisers Hyderabad,won,45906,19:30:00,29,2022,3,"Maharashtra Cricket Association Stadium, Pune",7774
35,Kane Williamson (c),not out,31,14,3,2,221.43,Inn2,Sunrisers Hyderabad,Rajasthan Royals,lost,45906,19:30:00,29,2022,3,"Maharashtra Cricket Association Stadium, Pune",6326
36,Abhishek Sharma,b Pathan,13,10,0,1,130.00,Inn2,Sunrisers Hyderabad,Rajasthan Royals,lost,45906,19:30:00,29,2022,3,"Maharashtra Cricket Association Stadium, Pune",12086
37,Rahul Tripathi,c Pathan b Mota,32,13,2,3,246.15,Inn2,Sunrisers Hyderabad,Rajasthan Royals,lost,45906,19:30:00,29,2022,3,"Maharashtra Cricket Association Stadium, Pune",9012
38,Nicholas Pooran (wk),not out,116,54,8,9,214.81,Inn2,Sunrisers Hyderabad,Rajasthan Royals,lost,45906,19:30:00,29,2022,3,"Maharashtra Cricket Association Stadium, Pune",9406
39,Aiden Markram,lbw b Hopes,2,3,0,0,66.67,Inn2,Sunrisers Hyderabad,Rajasthan Royals,lost,45906,19:30:00,29,2022,3,"Maharashtra Cricket Association Stadium, Pune",9582
40,Abdul Samad,c Sangakkara b Lee,15,10,3,0,150.00,Inn2,Sunrisers Hyderabad,Rajasthan Royals,lost,45906,19:30:00,29,2022,3,"Maharashtra Cricket Association Stadium, Pune",14628
41,Romario Shepherd,b Pathan,25,17,4,1,147.06,Inn2,Sunrisers Hyderabad,Rajasthan Royals,lost,45906,19:30:00,29,2022,3,"Maharashtra Cricket Association Stadium, Pune",13646
42,Rahane,not out,31,14,3,2,221.43,Inn1,Kolkata Knight Riders,Royal Challengers Bangalore,lost,45911,19:30:00,30,2022,3,"Dr DY Patil Sports Academy, Mumbai",1447
43,Venkatesh Iyer,b Pathan,13,10,0,1,130.00,Inn1,Kolkata Knight Riders,Royal Challengers Bangalore,lost,45911,19:30:00,30,2022,3,"Dr DY Patil Sports Academy, Mumbai",10917
44,Shreyas Iyer (c),c Pathan b Mota,32,13,2,3,246.15,Inn1,Kolkata Knight Riders,Royal Challengers Bangalore,lost,45911,19:30:00,30,2022,3,"Dr DY Patil Sports Academy, Mumbai",9428
45,Nitish Rana,not out,116,54,8,9,214.81,Inn1,Kolkata Knight Riders,Royal Challengers Bangalore,lost,45911,19:30:00,30,2022,3,"Dr DY Patil Sports Academy, Mumbai",9204
46,Narine,lbw b Hopes,2,3,0,0,66.67,Inn1,Kolkata Knight Riders,Royal Challengers Bangalore,lost,45911,19:30:00,30,2022,3,"Dr DY Patil Sports Academy, Mumbai",2276
