,batsman,got_out,Runs,Balls,Fours,Sixes,St.rate,Inning,Team,Opponent,Win/Lost,match_id,time,day,year,Month,Venue
0,Harbhajan Singh,retired hurt,8,6,1,0,133.33,Inn1,Mumbai Indians,Rajasthan Royals,won,10676,15:00:00,13,2010,3,"Brabourne Stadium, Mumbai"
1,Ryan McLaren,not out,11,5,2,0,220.00,Inn1,Mumbai Indians,Rajasthan Royals,won,10676,15:00:00,13,2010,3,"Brabourne Stadium, Mumbai"
2,Zaheer Khan,not out,0,0,0,0,0.00,Inn1,Mumbai Indians,Rajasthan Royals,won,10676,15:00:00,13,2010,3,"Brabourne Stadium, Mumbai"
3,Saurabh Tiwary,c Ojha b Tait,53,33,4,2,160.61,Inn1,Mumbai Indians,Rajasthan Royals,won,10676,15:00:00,13,2010,3,"Brabourne Stadium, Mumbai"
4,Aditya Tare,c Warne b Mascarenhas,23,13,3,1,176.92,Inn1,Mumbai Indians,Rajasthan Royals,won,10676,15:00:00,13,2010,3,"Brabourne Stadium, Mumbai"
5,Sanath Jayasuriya,lbw b Uniyal,23,14,3,1,164.29,Inn1,Mumbai Indians,Rajasthan Royals,won,10676,15:00:00,13,2010,3,"Brabourne Stadium, Mumbai"
6,Rajagopal Sathish,run out (Ojha),6,5,1,0,120.00,Inn1,Mumbai Indians,Rajasthan Royals,won,10676,15:00:00,13,2010,3,"Brabourne Stadium, Mumbai"
7,Ambati Rayudu,c Dogra b Uniyal,55,33,6,2,166.67,Inn1,Mumbai Indians,Rajasthan Royals,won,10676,15:00:00,13,2010,3,"Brabourne Stadium, Mumbai"
8,,lbw b Mascarenhas,17,11,3,0,154.55,Inn1,Mumbai Indians,Rajasthan Royals,won,10676,15:00:00,13,2010,3,"Brabourne Stadium, Mumbai"
9,Shane Warne,not out,1,1,0,0,100.00,Inn2,Rajasthan Royals,Mumbai Indians,lost,10676,15:00:00,13,2010,3,"Brabourne Stadium, Mumbai"
10,Graeme Smith,c & b Sathish,26,22,4,0,118.18,Inn2,Rajasthan Royals,Mumbai Indians,lost,10676,15:00:00,13,2010,3,"Brabourne Stadium, Mumbai"
11,Swapnil Asnodkar,run out (Sathish),0,0,0,0,0.00,Inn2,Rajasthan Royals,Mumbai Indians,lost,10676,15:00:00,13,2010,3,"Brabourne Stadium, Mumbai"
12,Naman Ojha,c Khan b Murtaza,12,12,2,0,100.00,Inn2,Rajasthan Royals,Mumbai Indians,lost,10676,15:00:00,13,2010,3,"Brabourne Stadium, Mumbai"
13,Abhishek Jhunjhunwala,b Malinga,14,11,1,1,127.27,Inn2,Rajasthan Royals,Mumbai Indians,lost,10676,15:00:00,13,2010,3,"Brabourne Stadium, Mumbai"
14,Yusuf Pathan,run out (Sathish),100,37,9,8,270.27,Inn2,Rajasthan Royals,Mumbai Indians,lost,10676,15:00:00,13,2010,3,"Brabourne Stadium, Mumbai"
15,Paras Dogra,run out (Malinga),41,29,2,2,141.38,Inn2,Rajasthan Royals,Mumbai Indians,lost,10676,15:00:00,13,2010,3,"Brabourne Stadium, Mumbai"
16,Dimitri Mascarenhas,not out,9,7,0,0,128.57,Inn2,Rajasthan Royals,Mumbai Indians,lost,10676,15:00:00,13,2010,3,"Brabourne Stadium, Mumbai"
17,,b Malinga,0,1,0,0,0.00,Inn2,Rajasthan Royals,Mumbai Indians,lost,10676,15:00:00,13,2010,3,"Brabourne Stadium, Mumbai"
18,Roelof van der Merwe,c Hodge b Mathews,1,2,0,0,50.00,Inn1,Royal Challengers Bangalore,Kolkata Knight Riders,lost,10672,16:00:00,14,2010,3,"Eden Gardens, Kolkata"
19,Praveen Kumar,not out,3,5,0,0,60.00,Inn1,Royal Challengers Bangalore,Kolkata Knight Riders,lost,10672,16:00:00,14,2010,3,"Eden Gardens, Kolkata"
20,Robin Uthappa,c Saha b Mathews,20,17,1,0,117.65,Inn1,Royal Challengers Bangalore,Kolkata Knight Riders,lost,10672,16:00:00,14,2010,3,"Eden Gardens, Kolkata"
21,Rahul Dravid,b Mathews,21,16,3,0,131.25,Inn1,Royal Challengers Bangalore,Kolkata Knight Riders,lost,10672,16:00:00,14,2010,3,"Eden Gardens, Kolkata"
22,Virat Kohli,c Mathews b Kartik,2,5,0,0,40.00,Inn1,Royal Challengers Bangalore,Kolkata Knight Riders,lost,10672,16:00:00,14,2010,3,"Eden Gardens, Kolkata"
23,Eoin Morgan,b Kartik,10,7,0,1,142.86,Inn1,Royal Challengers Bangalore,Kolkata Knight Riders,lost,10672,16:00:00,14,2010,3,"Eden Gardens, Kolkata"
24,Manish Pandey,b Mathews,0,7,0,0,0.00,Inn1,Royal Challengers Bangalore,Kolkata Knight Riders,lost,10672,16:00:00,14,2010,3,"Eden Gardens, Kolkata"
25,Shreevats Goswami,c Sharma b Langeveldt,8,10,2,0,80.00,Inn1,Royal Challengers Bangalore,Kolkata Knight Riders,lost,10672,16:00:00,14,2010,3,"Eden Gardens, Kolkata"
26,,not out,65,52,7,1,125.00,Inn1,Royal Challengers Bangalore,Kolkata Knight Riders,lost,10672,16:00:00,14,2010,3,"Eden Gardens, Kolkata"
27,Brad Hodge,c Pandey b van der Merwe,50,45,7,0,111.11,Inn2,Kolkata Knight Riders,Royal Challengers Bangalore,won,10672,16:00:00,14,2010,3,"Eden Gardens, Kolkata"
28,Cheteshwar Pujara,not out,5,15,0,0,33.33,Inn2,Kolkata Knight Riders,Royal Challengers Bangalore,won,10672,16:00:00,14,2010,3,"Eden Gardens, Kolkata"
29,Owais Shah,not out,2,5,0,0,40.00,Inn2,Kolkata Knight Riders,Royal Challengers Bangalore,won,10672,16:00:00,14,2010,3,"Eden Gardens, Kolkata"
30,Sourav Ganguly,c Morgan b Kumar,23,22,1,1,104.55,Inn2,Kolkata Knight Riders,Royal Challengers Bangalore,won,10672,16:00:00,14,2010,3,"Eden Gardens, Kolkata"
31,,c & b van der Merwe,50,29,6,2,172.41,Inn2,Kolkata Knight Riders,Royal Challengers Bangalore,won,10672,16:00:00,14,2010,3,"Eden Gardens, Kolkata"
32,Dimitri Mascarenhas,run out (Mishra/Karthik),3,3,0,0,100.00,Inn1,Rajasthan Royals,Delhi Daredevils,lost,10674,20:00:00,15,2010,3,"Narendra Modi Stadium, Ahmedabad"
33,Paras Dogra,run out (Gambhir/Mishra),29,26,1,2,111.54,Inn1,Rajasthan Royals,Delhi Daredevils,lost,10674,20:00:00,15,2010,3,"Narendra Modi Stadium, Ahmedabad"
34,Abhishek Jhunjhunwala,not out,53,45,5,1,117.78,Inn1,Rajasthan Royals,Delhi Daredevils,lost,10674,20:00:00,15,2010,3,"Narendra Modi Stadium, Ahmedabad"
35,Yusuf Pathan,c de Villiers b Maharoof,0,5,0,0,0.00,Inn1,Rajasthan Royals,Delhi Daredevils,lost,10674,20:00:00,15,2010,3,"Narendra Modi Stadium, Ahmedabad"
36,Graeme Smith,c Sehwag b Sangwan,18,17,3,0,105.88,Inn1,Rajasthan Royals,Delhi Daredevils,lost,10674,20:00:00,15,2010,3,"Narendra Modi Stadium, Ahmedabad"
37,Naman Ojha,b Mishra,24,14,4,1,171.43,Inn1,Rajasthan Royals,Delhi Daredevils,lost,10674,20:00:00,15,2010,3,"Narendra Modi Stadium, Ahmedabad"
38,Swapnil Asnodkar,c Dilshan b Nannes,5,4,1,0,125.00,Inn1,Rajasthan Royals,Delhi Daredevils,lost,10674,20:00:00,15,2010,3,"Narendra Modi Stadium, Ahmedabad"
39,,not out,4,6,0,0,66.67,Inn1,Rajasthan Royals,Delhi Daredevils,lost,10674,20:00:00,15,2010,3,"Narendra Modi Stadium, Ahmedabad"
40,Gautam Gambhir,c Smith b Mascarenhas,9,8,1,0,112.50,Inn2,Delhi Daredevils,Rajasthan Royals,won,10674,20:00:00,15,2010,3,"Narendra Modi Stadium, Ahmedabad"
41,Virender Sehwag,c Smith b Patel,75,34,8,5,220.59,Inn2,Delhi Daredevils,Rajasthan Royals,won,10674,20:00:00,15,2010,3,"Narendra Modi Stadium, Ahmedabad"
42,Mithun Manhas,not out,11,10,1,0,110.00,Inn2,Delhi Daredevils,Rajasthan Royals,won,10674,20:00:00,15,2010,3,"Narendra Modi Stadium, Ahmedabad"
43,Dinesh Karthik,not out,23,26,2,0,88.46,Inn2,Delhi Daredevils,Rajasthan Royals,won,10674,20:00:00,15,2010,3,"Narendra Modi Stadium, Ahmedabad"
44,AB de Villiers,c sub (FY Fazal) b Warne,15,24,0,0,62.50,Inn2,Delhi Daredevils,Rajasthan Royals,won,10674,20:00:00,15,2010,3,"Narendra Modi Stadium, Ahmedabad"
45,,c Ojha b Mascarenhas,0,1,0,0,0.00,Inn2,Delhi Daredevils,Rajasthan Royals,won,10674,20:00:00,15,2010,3,"Narendra Modi Stadium, Ahmedabad"
46,Irfan Pathan,not out,3,1,0,0,300.00,Inn1,Kings XI Punjab,Royal Challengers Bangalore,lost,10668,16:00:00,16,2010,3,"M.Chinnaswamy Stadium, Bengaluru"
47,Mahela Jayawardene,not out,26,13,3,1,200.00,Inn1,Kings XI Punjab,Royal Challengers Bangalore,lost,10668,16:00:00,16,2010,3,"M.Chinnaswamy Stadium, Bengaluru"
48,Yuvraj Singh,c Morgan b Steyn,9,6,1,0,150.00,Inn1,Kings XI Punjab,Royal Challengers Bangalore,lost,10668,16:00:00,16,2010,3,"M.Chinnaswamy Stadium, Bengaluru"
49,Manvinder Bisla,c Morgan b Kallis,75,51,7,4,147.06,Inn1,Kings XI Punjab,Royal Challengers Bangalore,lost,10668,16:00:00,16,2010,3,"M.Chinnaswamy Stadium, Bengaluru"
50,Ravi Bopara,c Kumble b Kumar,77,50,9,2,154.00,Inn1,Kings XI Punjab,Royal Challengers Bangalore,lost,10668,16:00:00,16,2010,3,"M.Chinnaswamy Stadium, Bengaluru"
51,Virat Kohli,not out,16,12,1,1,133.33,Inn2,Royal Challengers Bangalore,Kings XI Punjab,won,10668,16:00:00,16,2010,3,"M.Chinnaswamy Stadium, Bengaluru"
52,Robin Uthappa,c Kaif b Bipul Sharma,51,21,4,4,242.86,Inn2,Royal Challengers Bangalore,Kings XI Punjab,won,10668,16:00:00,16,2010,3,"M.Chinnaswamy Stadium, Bengaluru"
53,Jacques Kallis,not out,89,55,8,5,161.82,Inn2,Royal Challengers Bangalore,Kings XI Punjab,won,10668,16:00:00,16,2010,3,"M.Chinnaswamy Stadium, Bengaluru"
54,,c Pathan b Chawla,38,26,2,3,146.15,Inn2,Royal Challengers Bangalore,Kings XI Punjab,won,10668,16:00:00,16,2010,3,"M.Chinnaswamy Stadium, Bengaluru"
55,Dwayne Bravo,c Manhas b Ladda,9,4,0,1,225.00,Inn1,Mumbai Indians,Delhi Daredevils,won,10670,20:00:00,17,2010,3,"Arun Jaitley Stadium, Delhi"
56,Rajagopal Sathish,not out,0,0,0,0,0.00,Inn1,Mumbai Indians,Delhi Daredevils,won,10670,20:00:00,17,2010,3,"Arun Jaitley Stadium, Delhi"
57,Kieron Pollard,st Karthik b Ladda,10,8,2,0,125.00,Inn1,Mumbai Indians,Delhi Daredevils,won,10670,20:00:00,17,2010,3,"Arun Jaitley Stadium, Delhi"
58,Ambati Rayudu,c Dilshan b Maharoof,34,21,1,3,161.90,Inn1,Mumbai Indians,Delhi Daredevils,won,10670,20:00:00,17,2010,3,"Arun Jaitley Stadium, Delhi"
59,Saurabh Tiwary,run out (Karthik),61,37,4,3,164.86,Inn1,Mumbai Indians,Delhi Daredevils,won,10670,20:00:00,17,2010,3,"Arun Jaitley Stadium, Delhi"
60,Sachin Tendulkar,c sub (Y Nagar) b Mishra,63,32,11,0,196.88,Inn1,Mumbai Indians,Delhi Daredevils,won,10670,20:00:00,17,2010,3,"Arun Jaitley Stadium, Delhi"
61,Sanath Jayasuriya,c sub (Y Nagar) b Maharoof,7,10,1,0,70.00,Inn1,Mumbai Indians,Delhi Daredevils,won,10670,20:00:00,17,2010,3,"Arun Jaitley Stadium, Delhi"
62,,b Sangwan,17,10,0,2,170.00,Inn1,Mumbai Indians,Delhi Daredevils,won,10670,20:00:00,17,2010,3,"Arun Jaitley Stadium, Delhi"
