,bowler,ID,overs,maidens,runs,wickets,no_balls,wides,economy,team,opponent,Inning,Win/Lost,match_id,time,day,year,Month,Venue
0,Chris Woakes,6670,3,0,18,2,0,0,6.00,Delhi Capitals,Chennai Super Kings,Inn1,won,35617,19:30:00,10,2021,4,"Wankhede Stadium, Mumbai"
1,Avesh Khan,9781,4,0,23,2,0,1,5.80,Delhi Capitals,Chennai Super Kings,Inn1,won,35617,19:30:00,10,2021,4,"Wankhede Stadium, Mumbai"
2,Ashwin,1593,4,0,47,1,0,0,11.80,Delhi Capitals,Chennai Super Kings,Inn1,won,35617,19:30:00,10,2021,4,"Wankhede Stadium, Mumbai"
3,Tom Curran,9522,4,0,40,1,0,1,10.00,Delhi Capitals,Chennai Super Kings,Inn1,won,35617,19:30:00,10,2021,4,"Wankhede Stadium, Mumbai"
4,A Mishra,1454,3,0,27,0,0,0,9.00,Delhi Capitals,Chennai Super Kings,Inn1,won,35617,19:30:00,10,2021,4,"Wankhede Stadium, Mumbai"
5,Stoinis,8989,2,0,26,0,1,0,13.00,Delhi Capitals,Chennai Super Kings,Inn1,won,35617,19:30:00,10,2021,4,"Wankhede Stadium, Mumbai"
6,Deepak Chahar,7836,4,0,36,0,0,0,9.00,Chennai Super Kings,Delhi Capitals,Inn2,lost,35617,19:30:00,10,2021,4,"Wankhede Stadium, Mumbai"
7,Sam Curran,10420,2,0,24,0,0,0,12.00,Chennai Super Kings,Delhi Capitals,Inn2,lost,35617,19:30:00,10,2021,4,"Wankhede Stadium, Mumbai"
8,Shardul Thakur,8683,3.4,0,53,2,0,2,14.50,Chennai Super Kings,Delhi Capitals,Inn2,lost,35617,19:30:00,10,2021,4,"Wankhede Stadium, Mumbai"
9,Ravindra Jadeja,587,2,0,16,0,0,0,8.00,Chennai Super Kings,Delhi Capitals,Inn2,lost,35617,19:30:00,10,2021,4,"Wankhede Stadium, Mumbai"
10,Moeen Ali,6692,3,0,33,0,1,0,11.00,Chennai Super Kings,Delhi Capitals,Inn2,lost,35617,19:30:00,10,2021,4,"Wankhede Stadium, Mumbai"
11,Dwayne Bravo,242,4,0,28,1,0,1,7.00,Chennai Super Kings,Delhi Capitals,Inn2,lost,35617,19:30:00,10,2021,4,"Wankhede Stadium, Mumbai"
12,Bhuvneshwar,1726,4,0,45,1,0,1,11.20,Sunrisers Hyderabad,Kolkata Knight Riders,Inn1,lost,35618,19:30:00,11,2021,4,"MA Chidambaram Stadium, Chennai"
