,batsman,got_out,Runs,Balls,Fours,Sixes,St.rate,Inning,Team,Opponent,Win/Lost,match_id,time,day,year,Month,Venue
0,Taruwar Kohli,not out,0,0,0,0,0.00,Inn1,Kings XI Punjab,Delhi Daredevils,lost,10603,16:00:00,19,2009,4,"Newlands, Cape Town"
1,Irfan Pathan,c Dilshan b Salvi,6,7,0,0,85.71,Inn1,Kings XI Punjab,Delhi Daredevils,lost,10603,16:00:00,19,2009,4,"Newlands, Cape Town"
2,Piyush Chawla,run out (Tiwary),0,0,0,0,0.00,Inn1,Kings XI Punjab,Delhi Daredevils,lost,10603,16:00:00,19,2009,4,"Newlands, Cape Town"
3,Mahela Jayawardene,c Dilshan b Vettori,6,6,1,0,100.00,Inn1,Kings XI Punjab,Delhi Daredevils,lost,10603,16:00:00,19,2009,4,"Newlands, Cape Town"
4,Kumar Sangakkara,c Nannes b Vettori,8,11,1,0,72.73,Inn1,Kings XI Punjab,Delhi Daredevils,lost,10603,16:00:00,19,2009,4,"Newlands, Cape Town"
5,Yuvraj Singh,run out (Karthik/Vettori),16,11,0,2,145.45,Inn1,Kings XI Punjab,Delhi Daredevils,lost,10603,16:00:00,19,2009,4,"Newlands, Cape Town"
6,Karan Goel,c Vettori b Mahesh,38,21,3,3,180.95,Inn1,Kings XI Punjab,Delhi Daredevils,lost,10603,16:00:00,19,2009,4,"Newlands, Cape Town"
7,,lbw b Vettori,22,16,0,2,137.50,Inn1,Kings XI Punjab,Delhi Daredevils,lost,10603,16:00:00,19,2009,4,"Newlands, Cape Town"
8,Virender Sehwag,not out,38,16,4,3,237.50,Inn2,Delhi Daredevils,Kings XI Punjab,won,10603,16:00:00,19,2009,4,"Newlands, Cape Town"
9,Gautam Gambhir,not out,15,13,2,0,115.38,Inn2,Delhi Daredevils,Kings XI Punjab,won,10603,16:00:00,19,2009,4,"Newlands, Cape Town"
10,Albie Morkel,b Steyn,5,3,1,0,166.67,Inn1,Chennai Super Kings,Royal Challengers Bangalore,won,10601,20:00:00,20,2009,4,"St George's Park, Port Elizabeth"
