,batsman,got_out,Runs,Balls,Fours,Sixes,St.rate,Inning,Team,Opponent,Win/Lost,match_id,time,day,year,Month,Venue,ID
0,Prithvi Shaw,not out,31,14,3,2,221.43,Inn1,Delhi Capitals,Kings XI Punjab,lost,30340,19:30:00,20,2020,9,"Dubai International Cricket Stadium, Dubai",12094
1,Dhawan,b Pathan,13,10,0,1,130.00,Inn1,Delhi Capitals,Kings XI Punjab,lost,30340,19:30:00,20,2020,9,"Dubai International Cricket Stadium, Dubai",1446
2,Hetmyer,c Pathan b Mota,32,13,2,3,246.15,Inn1,Delhi Capitals,Kings XI Punjab,lost,30340,19:30:00,20,2020,9,"Dubai International Cricket Stadium, Dubai",9789
3,Shreyas Iyer (c),not out,116,54,8,9,214.81,Inn1,Delhi Capitals,Kings XI Punjab,lost,30340,19:30:00,20,2020,9,"Dubai International Cricket Stadium, Dubai",9428
4,Pant (wk),lbw b Hopes,2,3,0,0,66.67,Inn1,Delhi Capitals,Kings XI Punjab,lost,30340,19:30:00,20,2020,9,"Dubai International Cricket Stadium, Dubai",10744
5,Stoinis,c Sangakkara b Lee,15,10,3,0,150.00,Inn1,Delhi Capitals,Kings XI Punjab,lost,30340,19:30:00,20,2020,9,"Dubai International Cricket Stadium, Dubai",8989
6,Axar,b Pathan,25,17,4,1,147.06,Inn1,Delhi Capitals,Kings XI Punjab,lost,30340,19:30:00,20,2020,9,"Dubai International Cricket Stadium, Dubai",8808
7,Lokesh Rahul (c & wk),not out,31,14,3,2,221.43,Inn2,Kings XI Punjab,Delhi Capitals,lost,30340,19:30:00,20,2020,9,"Dubai International Cricket Stadium, Dubai",8733
8,Mayank Agarwal,b Pathan,13,10,0,1,130.00,Inn2,Kings XI Punjab,Delhi Capitals,lost,30340,19:30:00,20,2020,9,"Dubai International Cricket Stadium, Dubai",2195
9,Karun Nair,c Pathan b Mota,32,13,2,3,246.15,Inn2,Kings XI Punjab,Delhi Capitals,lost,30340,19:30:00,20,2020,9,"Dubai International Cricket Stadium, Dubai",8257
10,Nicholas Pooran,not out,116,54,8,9,214.81,Inn2,Kings XI Punjab,Delhi Capitals,lost,30340,19:30:00,20,2020,9,"Dubai International Cricket Stadium, Dubai",9406
11,Glenn Maxwell,lbw b Hopes,2,3,0,0,66.67,Inn2,Kings XI Punjab,Delhi Capitals,lost,30340,19:30:00,20,2020,9,"Dubai International Cricket Stadium, Dubai",7662
