,batsman,got_out,Runs,Balls,Fours,Sixes,St.rate,Inning,Team,Opponent,Win/Lost,match_id,time,day,year,Month,Venue
0,Munro,lbw b Mujeeb,4,6,0,0,66.67,Inn1,Delhi Daredevils,Kings XI Punjab,lost,20062,16:00:00,8,2018,4,"Punjab Cricket Association IS Bindra Stadium, Mohali"
1,Gambhir (c),run out (Mujeeb),55,42,5,1,130.95,Inn1,Delhi Daredevils,Kings XI Punjab,lost,20062,16:00:00,8,2018,4,"Punjab Cricket Association IS Bindra Stadium, Mohali"
2,Shreyas Iyer,c Rahul b Axar,11,11,0,1,100.00,Inn1,Delhi Daredevils,Kings XI Punjab,lost,20062,16:00:00,8,2018,4,"Punjab Cricket Association IS Bindra Stadium, Mohali"
3,Vijay Shankar,c Axar b Mohit Sharma,13,13,0,0,100.00,Inn1,Delhi Daredevils,Kings XI Punjab,lost,20062,16:00:00,8,2018,4,"Punjab Cricket Association IS Bindra Stadium, Mohali"
4,Pant (wk),c Andrew Tye b Mujeeb,28,13,4,1,215.38,Inn1,Delhi Daredevils,Kings XI Punjab,lost,20062,16:00:00,8,2018,4,"Punjab Cricket Association IS Bindra Stadium, Mohali"
5,Rahul Tewatia,lbw b Ashwin,9,7,1,0,128.57,Inn1,Delhi Daredevils,Kings XI Punjab,lost,20062,16:00:00,8,2018,4,"Punjab Cricket Association IS Bindra Stadium, Mohali"
6,Chris Morris,not out,27,16,1,1,168.75,Inn1,Delhi Daredevils,Kings XI Punjab,lost,20062,16:00:00,8,2018,4,"Punjab Cricket Association IS Bindra Stadium, Mohali"
7,Christian,b Mohit Sharma,13,13,0,1,100.00,Inn1,Delhi Daredevils,Kings XI Punjab,lost,20062,16:00:00,8,2018,4,"Punjab Cricket Association IS Bindra Stadium, Mohali"
8,Lokesh Rahul (wk),c Shami b Boult,51,16,6,4,318.75,Inn2,Kings XI Punjab,Delhi Daredevils,won,20062,16:00:00,8,2018,4,"Punjab Cricket Association IS Bindra Stadium, Mohali"
9,Mayank Agarwal,c Shami b Chris Morris,7,5,0,1,140.00,Inn2,Kings XI Punjab,Delhi Daredevils,won,20062,16:00:00,8,2018,4,"Punjab Cricket Association IS Bindra Stadium, Mohali"
10,Yuvraj Singh,c Vijay Shankar b Rahul Tewatia,12,22,2,0,54.55,Inn2,Kings XI Punjab,Delhi Daredevils,won,20062,16:00:00,8,2018,4,"Punjab Cricket Association IS Bindra Stadium, Mohali"
11,Karun Nair,c Boult b Christian,50,33,5,2,151.52,Inn2,Kings XI Punjab,Delhi Daredevils,won,20062,16:00:00,8,2018,4,"Punjab Cricket Association IS Bindra Stadium, Mohali"
12,David Miller,not out,24,23,1,0,104.35,Inn2,Kings XI Punjab,Delhi Daredevils,won,20062,16:00:00,8,2018,4,"Punjab Cricket Association IS Bindra Stadium, Mohali"
13,Marcus Stoinis,not out,22,15,2,0,146.67,Inn2,Kings XI Punjab,Delhi Daredevils,won,20062,16:00:00,8,2018,4,"Punjab Cricket Association IS Bindra Stadium, Mohali"
14,A Rahane (c),c Rashid Khan b S Kaul,13,13,2,0,100.00,Inn1,Rajasthan Royals,Sunrisers Hyderabad,lost,20064,20:00:00,9,2018,4,"Rajiv Gandhi International Stadium, Hyderabad"
15,D Arcy Short,run out (Williamson),4,4,1,0,100.00,Inn1,Rajasthan Royals,Sunrisers Hyderabad,lost,20064,20:00:00,9,2018,4,"Rajiv Gandhi International Stadium, Hyderabad"
16,Samson,c Rashid Khan b Shakib,49,42,5,0,116.67,Inn1,Rajasthan Royals,Sunrisers Hyderabad,lost,20064,20:00:00,9,2018,4,"Rajiv Gandhi International Stadium, Hyderabad"
17,Stokes,c Williamson b Stanlake,5,8,0,0,62.50,Inn1,Rajasthan Royals,Sunrisers Hyderabad,lost,20064,20:00:00,9,2018,4,"Rajiv Gandhi International Stadium, Hyderabad"
18,R Tripathi,c Manish Pandey b Shakib,17,15,2,0,113.33,Inn1,Rajasthan Royals,Sunrisers Hyderabad,lost,20064,20:00:00,9,2018,4,"Rajiv Gandhi International Stadium, Hyderabad"
19,Jos Buttler (wk),b Rashid Khan,6,9,0,0,66.67,Inn1,Rajasthan Royals,Sunrisers Hyderabad,lost,20064,20:00:00,9,2018,4,"Rajiv Gandhi International Stadium, Hyderabad"
20,Gowtham,c Saha b S Kaul,0,2,0,0,0.00,Inn1,Rajasthan Royals,Sunrisers Hyderabad,lost,20064,20:00:00,9,2018,4,"Rajiv Gandhi International Stadium, Hyderabad"
21,Shreyas Gopal,c Y Pathan b Bhuvneshwar,18,18,2,0,100.00,Inn1,Rajasthan Royals,Sunrisers Hyderabad,lost,20064,20:00:00,9,2018,4,"Rajiv Gandhi International Stadium, Hyderabad"
22,D Kulkarni,not out,3,4,0,0,75.00,Inn1,Rajasthan Royals,Sunrisers Hyderabad,lost,20064,20:00:00,9,2018,4,"Rajiv Gandhi International Stadium, Hyderabad"
23,Unadkat,run out (Y Pathan/Saha),1,2,0,0,50.00,Inn1,Rajasthan Royals,Sunrisers Hyderabad,lost,20064,20:00:00,9,2018,4,"Rajiv Gandhi International Stadium, Hyderabad"
24,,not out,1,3,0,0,33.33,Inn1,Rajasthan Royals,Sunrisers Hyderabad,lost,20064,20:00:00,9,2018,4,"Rajiv Gandhi International Stadium, Hyderabad"
