,batsman,got_out,Runs,Balls,Fours,Sixes,St.rate,Inning,Team,Opponent,Win/Lost,match_id,time,day,year,Month,Venue
0,Rohit (c),c Rovman Powell b Kuldeep Yadav,41,32,4,2,128.12,Inn1,Mumbai Indians,Delhi Capitals,lost,45891,15:30:00,27,2022,3,"Brabourne Stadium, Mumbai"
1,Ishan Kishan (wk),not out,81,48,11,2,168.75,Inn1,Mumbai Indians,Delhi Capitals,lost,45891,15:30:00,27,2022,3,"Brabourne Stadium, Mumbai"
2,Anmolpreet Singh,c Lalit Yadav b Kuldeep Yadav,8,9,0,0,88.89,Inn1,Mumbai Indians,Delhi Capitals,lost,45891,15:30:00,27,2022,3,"Brabourne Stadium, Mumbai"
3,Tilak Varma,c Prithvi Shaw b Khaleel Ahmed,22,15,3,0,146.67,Inn1,Mumbai Indians,Delhi Capitals,lost,45891,15:30:00,27,2022,3,"Brabourne Stadium, Mumbai"
4,Pollard,c Seifert b Kuldeep Yadav,3,6,0,0,50.00,Inn1,Mumbai Indians,Delhi Capitals,lost,45891,15:30:00,27,2022,3,"Brabourne Stadium, Mumbai"
5,Tim David,c Mandeep b Khaleel Ahmed,12,8,0,1,150.00,Inn1,Mumbai Indians,Delhi Capitals,lost,45891,15:30:00,27,2022,3,"Brabourne Stadium, Mumbai"
6,Daniel Sams,not out,7,2,0,1,350.00,Inn1,Mumbai Indians,Delhi Capitals,lost,45891,15:30:00,27,2022,3,"Brabourne Stadium, Mumbai"
7,Prithvi Shaw,c Ishan Kishan b Basil Thampi,38,24,4,2,158.33,Inn2,Delhi Capitals,Mumbai Indians,won,45891,15:30:00,27,2022,3,"Brabourne Stadium, Mumbai"
8,Tim Seifert,b M Ashwin,21,14,4,0,150.00,Inn2,Delhi Capitals,Mumbai Indians,won,45891,15:30:00,27,2022,3,"Brabourne Stadium, Mumbai"
9,Mandeep Singh,c Tilak Varma b M Ashwin,0,2,0,0,0.00,Inn2,Delhi Capitals,Mumbai Indians,won,45891,15:30:00,27,2022,3,"Brabourne Stadium, Mumbai"
10,Rishabh Pant (c & wk),c Tim David b Tymal Mills,1,2,0,0,50.00,Inn2,Delhi Capitals,Mumbai Indians,won,45891,15:30:00,27,2022,3,"Brabourne Stadium, Mumbai"
11,Lalit Yadav,not out,48,38,4,2,126.32,Inn2,Delhi Capitals,Mumbai Indians,won,45891,15:30:00,27,2022,3,"Brabourne Stadium, Mumbai"
12,Rovman Powell,c Daniel Sams b Basil Thampi,0,2,0,0,0.00,Inn2,Delhi Capitals,Mumbai Indians,won,45891,15:30:00,27,2022,3,"Brabourne Stadium, Mumbai"
13,Shardul Thakur,c Rohit b Basil Thampi,22,11,4,0,200.00,Inn2,Delhi Capitals,Mumbai Indians,won,45891,15:30:00,27,2022,3,"Brabourne Stadium, Mumbai"
14,Axar Patel,not out,38,17,2,3,223.53,Inn2,Delhi Capitals,Mumbai Indians,won,45891,15:30:00,27,2022,3,"Brabourne Stadium, Mumbai"
15,Rahul (c),c Wade b Shami,0,1,0,0,0.00,Inn1,Lucknow Super Giants,Gujarat Titans,lost,45901,19:30:00,28,2022,3,"Wankhede Stadium, Mumbai"
16,de Kock (wk),b Shami,7,9,1,0,77.78,Inn1,Lucknow Super Giants,Gujarat Titans,lost,45901,19:30:00,28,2022,3,"Wankhede Stadium, Mumbai"
17,Lewis,c Shubman Gill b Aaron,10,9,2,0,111.11,Inn1,Lucknow Super Giants,Gujarat Titans,lost,45901,19:30:00,28,2022,3,"Wankhede Stadium, Mumbai"
18,Manish Pandey,b Shami,6,5,1,0,120.00,Inn1,Lucknow Super Giants,Gujarat Titans,lost,45901,19:30:00,28,2022,3,"Wankhede Stadium, Mumbai"
19,Deepak Hooda,lbw b Rashid Khan,55,41,6,2,134.15,Inn1,Lucknow Super Giants,Gujarat Titans,lost,45901,19:30:00,28,2022,3,"Wankhede Stadium, Mumbai"
20,Ayush Badoni,c Hardik Pandya b Aaron,54,41,4,3,131.71,Inn1,Lucknow Super Giants,Gujarat Titans,lost,45901,19:30:00,28,2022,3,"Wankhede Stadium, Mumbai"
21,Krunal Pandya,not out,21,13,3,0,161.54,Inn1,Lucknow Super Giants,Gujarat Titans,lost,45901,19:30:00,28,2022,3,"Wankhede Stadium, Mumbai"
22,Chameera,not out,1,1,0,0,100.00,Inn1,Lucknow Super Giants,Gujarat Titans,lost,45901,19:30:00,28,2022,3,"Wankhede Stadium, Mumbai"
23,Shubman Gill,c Deepak Hooda b Chameera,0,3,0,0,0.00,Inn2,Gujarat Titans,Lucknow Super Giants,won,45901,19:30:00,28,2022,3,"Wankhede Stadium, Mumbai"
24,Matthew Wade (wk),b Deepak Hooda,30,29,4,0,103.45,Inn2,Gujarat Titans,Lucknow Super Giants,won,45901,19:30:00,28,2022,3,"Wankhede Stadium, Mumbai"
25,Vijay Shankar,b Chameera,4,6,0,0,66.67,Inn2,Gujarat Titans,Lucknow Super Giants,won,45901,19:30:00,28,2022,3,"Wankhede Stadium, Mumbai"
26,Hardik Pandya (c),c Manish Pandey b Krunal Pandya,33,28,5,1,117.86,Inn2,Gujarat Titans,Lucknow Super Giants,won,45901,19:30:00,28,2022,3,"Wankhede Stadium, Mumbai"
27,David Miller,c Rahul b Avesh Khan,30,21,1,2,142.86,Inn2,Gujarat Titans,Lucknow Super Giants,won,45901,19:30:00,28,2022,3,"Wankhede Stadium, Mumbai"
28,Rahul Tewatia,not out,40,24,5,2,166.67,Inn2,Gujarat Titans,Lucknow Super Giants,won,45901,19:30:00,28,2022,3,"Wankhede Stadium, Mumbai"
29,Abhinav Manohar,not out,15,7,3,0,214.29,Inn2,Gujarat Titans,Lucknow Super Giants,won,45901,19:30:00,28,2022,3,"Wankhede Stadium, Mumbai"
30,Jos Buttler,c Pooran b Umran Malik,35,28,3,3,125.00,Inn1,Rajasthan Royals,Sunrisers Hyderabad,won,45906,19:30:00,29,2022,3,"Maharashtra Cricket Association Stadium, Pune"
31,Jaiswal,c Markram b Romario Shepherd,20,16,2,1,125.00,Inn1,Rajasthan Royals,Sunrisers Hyderabad,won,45906,19:30:00,29,2022,3,"Maharashtra Cricket Association Stadium, Pune"
