,bowler,ID,overs,maidens,runs,wickets,no_balls,wides,economy,team,opponent,Inning,Win/Lost,match_id,time,day,year,Month,Venue
0,Andre Russell,7736,3,0,24,3,0,2,8.00,Kolkata Knight Riders,Delhi Daredevils,Inn1,won,16390,20:00:00,10,2016,4,"Eden Gardens, Kolkata"
1,Umesh Yadav,1858,3,0,21,0,0,0,7.00,Kolkata Knight Riders,Delhi Daredevils,Inn1,won,16390,20:00:00,10,2016,4,"Eden Gardens, Kolkata"
2,John Hastings,1644,2.4,1,6,2,0,0,2.50,Kolkata Knight Riders,Delhi Daredevils,Inn1,won,16390,20:00:00,10,2016,4,"Eden Gardens, Kolkata"
3,Colin Munro,8085,1,0,7,0,0,0,7.00,Kolkata Knight Riders,Delhi Daredevils,Inn1,won,16390,20:00:00,10,2016,4,"Eden Gardens, Kolkata"
4,Brad Hogg,140,4,1,19,3,0,5,4.75,Kolkata Knight Riders,Delhi Daredevils,Inn1,won,16390,20:00:00,10,2016,4,"Eden Gardens, Kolkata"
5,Piyush Chawla,466,4,0,21,2,0,5,5.25,Kolkata Knight Riders,Delhi Daredevils,Inn1,won,16390,20:00:00,10,2016,4,"Eden Gardens, Kolkata"
6,Nathan Coulter-Nile,7774,4,0,32,0,0,0,8.00,Delhi Daredevils,Kolkata Knight Riders,Inn2,lost,16390,20:00:00,10,2016,4,"Eden Gardens, Kolkata"
7,Zaheer Khan,71,2.1,0,24,0,0,2,11.43,Delhi Daredevils,Kolkata Knight Riders,Inn2,lost,16390,20:00:00,10,2016,4,"Eden Gardens, Kolkata"
8,Chris Morris,8333,4,0,21,0,0,1,5.25,Delhi Daredevils,Kolkata Knight Riders,Inn2,lost,16390,20:00:00,10,2016,4,"Eden Gardens, Kolkata"
9,Carlos Brathwaite,8110,2,0,9,0,1,0,4.50,Delhi Daredevils,Kolkata Knight Riders,Inn2,lost,16390,20:00:00,10,2016,4,"Eden Gardens, Kolkata"
10,Amit Mishra,1454,2,0,11,1,0,5,5.50,Delhi Daredevils,Kolkata Knight Riders,Inn2,lost,16390,20:00:00,10,2016,4,"Eden Gardens, Kolkata"
11,Praveen Kumar,592,4,0,25,0,0,0,6.25,Gujarat Lions,Kings XI Punjab,Inn1,won,16391,20:00:00,11,2016,4,"Punjab Cricket Association IS Bindra Stadium, Mohali"
12,Pradeep Sangwan,1472,2,0,21,0,0,0,10.50,Gujarat Lions,Kings XI Punjab,Inn1,won,16391,20:00:00,11,2016,4,"Punjab Cricket Association IS Bindra Stadium, Mohali"
13,James Faulkner,7789,4,0,39,0,0,2,9.75,Gujarat Lions,Kings XI Punjab,Inn1,won,16391,20:00:00,11,2016,4,"Punjab Cricket Association IS Bindra Stadium, Mohali"
14,Sarabjit Ladda,6299,2,0,21,0,0,0,10.50,Gujarat Lions,Kings XI Punjab,Inn1,won,16391,20:00:00,11,2016,4,"Punjab Cricket Association IS Bindra Stadium, Mohali"
15,Ravindra Jadeja,587,4,0,30,2,0,1,7.50,Gujarat Lions,Kings XI Punjab,Inn1,won,16391,20:00:00,11,2016,4,"Punjab Cricket Association IS Bindra Stadium, Mohali"
16,Dwayne Bravo,242,4,0,22,4,0,1,5.50,Gujarat Lions,Kings XI Punjab,Inn1,won,16391,20:00:00,11,2016,4,"Punjab Cricket Association IS Bindra Stadium, Mohali"
17,Sandeep Sharma,8356,3,0,21,1,0,0,7.00,Kings XI Punjab,Gujarat Lions,Inn2,lost,16391,20:00:00,11,2016,4,"Punjab Cricket Association IS Bindra Stadium, Mohali"
18,Mitchell Johnson,496,4,0,35,1,0,2,8.75,Kings XI Punjab,Gujarat Lions,Inn2,lost,16391,20:00:00,11,2016,4,"Punjab Cricket Association IS Bindra Stadium, Mohali"
19,Mohit Sharma,8181,2.4,0,24,0,0,0,10.00,Kings XI Punjab,Gujarat Lions,Inn2,lost,16391,20:00:00,11,2016,4,"Punjab Cricket Association IS Bindra Stadium, Mohali"
20,Marcus Stoinis,8989,2,0,27,1,0,0,13.50,Kings XI Punjab,Gujarat Lions,Inn2,lost,16391,20:00:00,11,2016,4,"Punjab Cricket Association IS Bindra Stadium, Mohali"
21,Axar Patel,8808,2,0,17,0,0,1,8.50,Kings XI Punjab,Gujarat Lions,Inn2,lost,16391,20:00:00,11,2016,4,"Punjab Cricket Association IS Bindra Stadium, Mohali"
22,Pardeep Sahu,10358,4,0,35,1,0,0,8.75,Kings XI Punjab,Gujarat Lions,Inn2,lost,16391,20:00:00,11,2016,4,"Punjab Cricket Association IS Bindra Stadium, Mohali"
23,Ashish Nehra,269,2.1,0,21,0,0,1,10.00,Sunrisers Hyderabad,Royal Challengers Bangalore,Inn1,lost,16392,20:00:00,12,2016,4,"M.Chinnaswamy Stadium, Bengaluru"
24,Bhuvneshwar Kumar,1726,4,0,55,2,1,2,13.75,Sunrisers Hyderabad,Royal Challengers Bangalore,Inn1,lost,16392,20:00:00,12,2016,4,"M.Chinnaswamy Stadium, Bengaluru"
25,Mustafizur Rahman,9863,4,0,26,2,0,0,6.50,Sunrisers Hyderabad,Royal Challengers Bangalore,Inn1,lost,16392,20:00:00,12,2016,4,"M.Chinnaswamy Stadium, Bengaluru"
26,Moises Henriques,1437,4,0,41,0,0,0,10.25,Sunrisers Hyderabad,Royal Challengers Bangalore,Inn1,lost,16392,20:00:00,12,2016,4,"M.Chinnaswamy Stadium, Bengaluru"
27,Karn Sharma,1844,4,0,57,0,0,1,14.25,Sunrisers Hyderabad,Royal Challengers Bangalore,Inn1,lost,16392,20:00:00,12,2016,4,"M.Chinnaswamy Stadium, Bengaluru"
28,Ashish Reddy,6301,1.5,0,25,0,0,0,16.67,Sunrisers Hyderabad,Royal Challengers Bangalore,Inn1,lost,16392,20:00:00,12,2016,4,"M.Chinnaswamy Stadium, Bengaluru"
29,Adam Milne,7625,4,0,43,1,0,5,10.75,Royal Challengers Bangalore,Sunrisers Hyderabad,Inn2,won,16392,20:00:00,12,2016,4,"M.Chinnaswamy Stadium, Bengaluru"
30,Shane Watson,158,4,0,30,2,0,1,7.50,Royal Challengers Bangalore,Sunrisers Hyderabad,Inn2,won,16392,20:00:00,12,2016,4,"M.Chinnaswamy Stadium, Bengaluru"
31,Parvez Rasool,8837,4,0,31,1,0,0,7.75,Royal Challengers Bangalore,Sunrisers Hyderabad,Inn2,won,16392,20:00:00,12,2016,4,"M.Chinnaswamy Stadium, Bengaluru"
