,batsman,got_out,Runs,Balls,Fours,Sixes,St.rate,Inning,Team,Opponent,Win/Lost,match_id,time,day,year,Month,Venue
0,Chris Gayle,not out,92,58,11,5,158.62,Inn1,Royal Challengers Bangalore,Mumbai Indians,won,11867,20:00:00,4,2013,4,"M.Chinnaswamy Stadium, Bengaluru"
1,Tillakaratne Dilshan,b M Johnson,0,8,0,0,0.00,Inn1,Royal Challengers Bangalore,Mumbai Indians,won,11867,20:00:00,4,2013,4,"M.Chinnaswamy Stadium, Bengaluru"
2,Virat Kohli,lbw b J J Bumrah,24,14,4,1,171.43,Inn1,Royal Challengers Bangalore,Mumbai Indians,won,11867,20:00:00,4,2013,4,"M.Chinnaswamy Stadium, Bengaluru"
3,Mayank Agarwal,c S Tendulkar b J J Bumrah,1,5,0,0,20.00,Inn1,Royal Challengers Bangalore,Mumbai Indians,won,11867,20:00:00,4,2013,4,"M.Chinnaswamy Stadium, Bengaluru"
4,Daniel Christian,c M Johnson b H Singh,4,13,0,0,30.77,Inn1,Royal Challengers Bangalore,Mumbai Indians,won,11867,20:00:00,4,2013,4,"M.Chinnaswamy Stadium, Bengaluru"
5,Karun Nair,lbw b J J Bumrah,0,3,0,0,0.00,Inn1,Royal Challengers Bangalore,Mumbai Indians,won,11867,20:00:00,4,2013,4,"M.Chinnaswamy Stadium, Bengaluru"
6,Arun Karthik,not out,19,19,3,0,100.00,Inn1,Royal Challengers Bangalore,Mumbai Indians,won,11867,20:00:00,4,2013,4,"M.Chinnaswamy Stadium, Bengaluru"
7,Ricky Ponting,st A Karthik b M Kartik,28,33,1,1,84.85,Inn2,Mumbai Indians,Royal Challengers Bangalore,lost,11867,20:00:00,4,2013,4,"M.Chinnaswamy Stadium, Bengaluru"
8,Sachin Tendulkar,run out (J Unadkat/A Karthik),23,19,4,0,121.05,Inn2,Mumbai Indians,Royal Challengers Bangalore,lost,11867,20:00:00,4,2013,4,"M.Chinnaswamy Stadium, Bengaluru"
9,Dinesh Karthik,c M Agarwal b V Kumar,60,37,3,4,162.16,Inn2,Mumbai Indians,Royal Challengers Bangalore,lost,11867,20:00:00,4,2013,4,"M.Chinnaswamy Stadium, Bengaluru"
10,Rohit Sharma,b V Kumar,11,11,1,0,100.00,Inn2,Mumbai Indians,Royal Challengers Bangalore,lost,11867,20:00:00,4,2013,4,"M.Chinnaswamy Stadium, Bengaluru"
11,Ambati Rayudu,b V Kumar,18,18,1,0,100.00,Inn2,Mumbai Indians,Royal Challengers Bangalore,lost,11867,20:00:00,4,2013,4,"M.Chinnaswamy Stadium, Bengaluru"
12,Kieron Pollard,not out,5,2,1,0,250.00,Inn2,Mumbai Indians,Royal Challengers Bangalore,lost,11867,20:00:00,4,2013,4,"M.Chinnaswamy Stadium, Bengaluru"
13,Harbhajan Singh,not out,1,1,0,0,100.00,Inn2,Mumbai Indians,Royal Challengers Bangalore,lost,11867,20:00:00,4,2013,4,"M.Chinnaswamy Stadium, Bengaluru"
14,Akshath Reddy,b Y Singh,27,30,2,0,90.00,Inn1,Sunrisers Hyderabad,Pune Warriors,won,11868,20:00:00,5,2013,4,"Rajiv Gandhi International Stadium, Hyderabad"
15,Parthiv Patel,b A Dinda,19,18,3,0,105.56,Inn1,Sunrisers Hyderabad,Pune Warriors,won,11868,20:00:00,5,2013,4,"Rajiv Gandhi International Stadium, Hyderabad"
16,Kumar Sangakkara,b R Sharma,15,16,2,0,93.75,Inn1,Sunrisers Hyderabad,Pune Warriors,won,11868,20:00:00,5,2013,4,"Rajiv Gandhi International Stadium, Hyderabad"
17,Cameron White,c M Marsh b Marlon Samuels,10,18,0,0,55.56,Inn1,Sunrisers Hyderabad,Pune Warriors,won,11868,20:00:00,5,2013,4,"Rajiv Gandhi International Stadium, Hyderabad"
18,Thisara Perera,c M Pandey b A Dinda,30,18,3,1,166.67,Inn1,Sunrisers Hyderabad,Pune Warriors,won,11868,20:00:00,5,2013,4,"Rajiv Gandhi International Stadium, Hyderabad"
19,Hanuma Vihari,c A Dinda b B Kumar,11,12,1,0,91.67,Inn1,Sunrisers Hyderabad,Pune Warriors,won,11868,20:00:00,5,2013,4,"Rajiv Gandhi International Stadium, Hyderabad"
20,Ashish Reddy,not out,7,4,1,0,175.00,Inn1,Sunrisers Hyderabad,Pune Warriors,won,11868,20:00:00,5,2013,4,"Rajiv Gandhi International Stadium, Hyderabad"
21,Dwaraka Ravi Teja,not out,4,4,0,0,100.00,Inn1,Sunrisers Hyderabad,Pune Warriors,won,11868,20:00:00,5,2013,4,"Rajiv Gandhi International Stadium, Hyderabad"
22,Robin Uthappa,c P Patel b T Perera,24,22,2,1,109.09,Inn2,Pune Warriors,Sunrisers Hyderabad,lost,11868,20:00:00,5,2013,4,"Rajiv Gandhi International Stadium, Hyderabad"
23,Manish Pandey,c Cameron White b A Mishra,15,29,0,0,51.72,Inn2,Pune Warriors,Sunrisers Hyderabad,lost,11868,20:00:00,5,2013,4,"Rajiv Gandhi International Stadium, Hyderabad"
24,Marlon Samuels,c Cameron White b T Perera,5,9,1,0,55.56,Inn2,Pune Warriors,Sunrisers Hyderabad,lost,11868,20:00:00,5,2013,4,"Rajiv Gandhi International Stadium, Hyderabad"
25,Yuvraj Singh,st P Patel b A Mishra,2,5,0,0,40.00,Inn2,Pune Warriors,Sunrisers Hyderabad,lost,11868,20:00:00,5,2013,4,"Rajiv Gandhi International Stadium, Hyderabad"
26,Ross Taylor,b Ashish Reddy,19,19,0,0,100.00,Inn2,Pune Warriors,Sunrisers Hyderabad,lost,11868,20:00:00,5,2013,4,"Rajiv Gandhi International Stadium, Hyderabad"
27,Abhishek Nayar,c I Sharma b A Mishra,19,14,2,0,135.71,Inn2,Pune Warriors,Sunrisers Hyderabad,lost,11868,20:00:00,5,2013,4,"Rajiv Gandhi International Stadium, Hyderabad"
28,Angelo Mathews,not out,8,6,1,0,133.33,Inn2,Pune Warriors,Sunrisers Hyderabad,lost,11868,20:00:00,5,2013,4,"Rajiv Gandhi International Stadium, Hyderabad"
