,bowler,ID,overs,maidens,runs,wickets,no_balls,wides,economy,team,opponent,Inning,Win/Lost,match_id,time,day,year,Month,Venue
0,Cottrell,9395,4,0,24,2,0,1,6.00,Kings XI Punjab,Delhi Capitals,Inn1,lost,30340,19:30:00,20,2020,9,"Dubai International Cricket Stadium, Dubai"
1,Shami,7909,4,0,15,3,1,1,3.80,Kings XI Punjab,Delhi Capitals,Inn1,lost,30340,19:30:00,20,2020,9,"Dubai International Cricket Stadium, Dubai"
2,Chris Jordan,6532,4,0,56,0,1,3,14.00,Kings XI Punjab,Delhi Capitals,Inn1,lost,30340,19:30:00,20,2020,9,"Dubai International Cricket Stadium, Dubai"
3,K Gowtham,8925,4,0,39,0,0,0,9.80,Kings XI Punjab,Delhi Capitals,Inn1,lost,30340,19:30:00,20,2020,9,"Dubai International Cricket Stadium, Dubai"
4,Ravi Bishnoi,14659,4,0,22,1,0,1,5.50,Kings XI Punjab,Delhi Capitals,Inn1,lost,30340,19:30:00,20,2020,9,"Dubai International Cricket Stadium, Dubai"
5,Anrich Nortje,11427,4,0,33,0,0,0,8.20,Delhi Capitals,Kings XI Punjab,Inn2,lost,30340,19:30:00,20,2020,9,"Dubai International Cricket Stadium, Dubai"
6,Mohit Sharma,8181,4,0,45,1,1,0,11.20,Delhi Capitals,Kings XI Punjab,Inn2,lost,30340,19:30:00,20,2020,9,"Dubai International Cricket Stadium, Dubai"
7,Kagiso Rabada,9585,4,0,28,2,0,1,7.00,Delhi Capitals,Kings XI Punjab,Inn2,lost,30340,19:30:00,20,2020,9,"Dubai International Cricket Stadium, Dubai"
8,Ravichandran Ashwin,1593,1,0,2,2,0,0,2.00,Delhi Capitals,Kings XI Punjab,Inn2,lost,30340,19:30:00,20,2020,9,"Dubai International Cricket Stadium, Dubai"
9,Axar Patel,8808,4,0,14,1,0,0,3.50,Delhi Capitals,Kings XI Punjab,Inn2,lost,30340,19:30:00,20,2020,9,"Dubai International Cricket Stadium, Dubai"
10,Marcus Stoinis,8989,3,0,29,2,0,0,9.70,Delhi Capitals,Kings XI Punjab,Inn2,lost,30340,19:30:00,20,2020,9,"Dubai International Cricket Stadium, Dubai"
11,Bhuvneshwar,1726,4,0,25,0,0,1,6.20,Sunrisers Hyderabad,Royal Challengers Bangalore,Inn1,lost,30345,19:30:00,21,2020,9,"Dubai International Cricket Stadium, Dubai"
12,Sandeep Sharma,8356,4,0,36,0,0,0,9.00,Sunrisers Hyderabad,Royal Challengers Bangalore,Inn1,lost,30345,19:30:00,21,2020,9,"Dubai International Cricket Stadium, Dubai"
13,T Natarajan,10225,4,0,34,1,0,0,8.50,Sunrisers Hyderabad,Royal Challengers Bangalore,Inn1,lost,30345,19:30:00,21,2020,9,"Dubai International Cricket Stadium, Dubai"
14,Mitchell Marsh,6250,0.4,0,6,0,0,0,9.00,Sunrisers Hyderabad,Royal Challengers Bangalore,Inn1,lost,30345,19:30:00,21,2020,9,"Dubai International Cricket Stadium, Dubai"
15,Vijay Shankar,8204,1.2,0,14,1,2,1,10.50,Sunrisers Hyderabad,Royal Challengers Bangalore,Inn1,lost,30345,19:30:00,21,2020,9,"Dubai International Cricket Stadium, Dubai"
