,batsman,got_out,Runs,Balls,Fours,Sixes,St.rate,Inning,Team,Opponent,Win/Lost,match_id,time,day,year,Month,Venue
0,Brendon McCullum,lbw b R van der Merwe,9,7,2,0,128.57,Inn1,Kolkata Knight Riders,Delhi Daredevils,lost,11182,20:00:00,5,2012,4,"Eden Gardens, Kolkata"
1,Jacques Kallis,b M Morkel,4,4,1,0,100.00,Inn1,Kolkata Knight Riders,Delhi Daredevils,lost,11182,20:00:00,5,2012,4,"Eden Gardens, Kolkata"
2,Gautam Gambhir,b M Morkel,16,15,2,0,106.67,Inn1,Kolkata Knight Riders,Delhi Daredevils,lost,11182,20:00:00,5,2012,4,"Eden Gardens, Kolkata"
3,Manoj Tiwary,b M Morkel,0,1,0,0,0.00,Inn1,Kolkata Knight Riders,Delhi Daredevils,lost,11182,20:00:00,5,2012,4,"Eden Gardens, Kolkata"
4,Yusuf Pathan,c N Ojha b U Yadav,0,4,0,0,0.00,Inn1,Kolkata Knight Riders,Delhi Daredevils,lost,11182,20:00:00,5,2012,4,"Eden Gardens, Kolkata"
5,Debabrata Das,run out (A Finch/N Ojha),18,9,0,2,200.00,Inn1,Kolkata Knight Riders,Delhi Daredevils,lost,11182,20:00:00,5,2012,4,"Eden Gardens, Kolkata"
6,Laxmi Shukla,c Y Nagar b U Yadav,26,17,1,2,152.94,Inn1,Kolkata Knight Riders,Delhi Daredevils,lost,11182,20:00:00,5,2012,4,"Eden Gardens, Kolkata"
7,Rajat Bhatia,st N Ojha b R van der Merwe,7,9,0,0,77.78,Inn1,Kolkata Knight Riders,Delhi Daredevils,lost,11182,20:00:00,5,2012,4,"Eden Gardens, Kolkata"
8,Brett Lee,run out (U Yadav),9,5,0,1,180.00,Inn1,Kolkata Knight Riders,Delhi Daredevils,lost,11182,20:00:00,5,2012,4,"Eden Gardens, Kolkata"
9,Iqbal Abdulla,not out,1,1,0,0,100.00,Inn1,Kolkata Knight Riders,Delhi Daredevils,lost,11182,20:00:00,5,2012,4,"Eden Gardens, Kolkata"
10,Aaron Finch,b J Kallis,30,27,5,0,111.11,Inn2,Delhi Daredevils,Kolkata Knight Riders,won,11182,20:00:00,5,2012,4,"Eden Gardens, Kolkata"
11,Virender Sehwag,c I Abdulla b R Bhatia,20,13,1,1,153.85,Inn2,Delhi Daredevils,Kolkata Knight Riders,won,11182,20:00:00,5,2012,4,"Eden Gardens, Kolkata"
12,Irfan Pathan,not out,42,20,2,3,210.00,Inn2,Delhi Daredevils,Kolkata Knight Riders,won,11182,20:00:00,5,2012,4,"Eden Gardens, Kolkata"
