,bowler,ID,overs,maidens,runs,wickets,no_balls,wides,economy,team,opponent,Inning,Win/Lost,match_id,time,day,year,Month,Venue
0,Dirk Nannes,1647,3,0,24,0,0,3,8.00,Delhi Daredevils,Kings XI Punjab,Inn1,won,10603,16:00:00,19,2009,4,"Newlands, Cape Town"
1,Aavishkar Salvi,1857,2,0,17,1,0,0,8.50,Delhi Daredevils,Kings XI Punjab,Inn1,won,10603,16:00:00,19,2009,4,"Newlands, Cape Town"
2,Pradeep Sangwan,1472,2,0,19,0,0,0,9.50,Delhi Daredevils,Kings XI Punjab,Inn1,won,10603,16:00:00,19,2009,4,"Newlands, Cape Town"
3,Daniel Vettori,205,3,0,15,3,0,0,5.00,Delhi Daredevils,Kings XI Punjab,Inn1,won,10603,16:00:00,19,2009,4,"Newlands, Cape Town"
4,Yo Mahesh,1719,2,0,25,1,0,1,12.50,Delhi Daredevils,Kings XI Punjab,Inn1,won,10603,16:00:00,19,2009,4,"Newlands, Cape Town"
5,Piyush Chawla,466,0.5,0,12,0,0,1,24.00,Kings XI Punjab,Delhi Daredevils,Inn2,lost,10603,16:00:00,19,2009,4,"Newlands, Cape Town"
6,Irfan Pathan,73,1,0,9,0,0,1,9.00,Kings XI Punjab,Delhi Daredevils,Inn2,lost,10603,16:00:00,19,2009,4,"Newlands, Cape Town"
7,Vikramjeet Singh Malik,1904,1,0,11,0,0,0,11.00,Kings XI Punjab,Delhi Daredevils,Inn2,lost,10603,16:00:00,19,2009,4,"Newlands, Cape Town"
8,Vikram Singh,456,1,0,5,0,0,0,5.00,Kings XI Punjab,Delhi Daredevils,Inn2,lost,10603,16:00:00,19,2009,4,"Newlands, Cape Town"
9,Yusuf Abdulla,1651,1,0,19,0,0,1,19.00,Kings XI Punjab,Delhi Daredevils,Inn2,lost,10603,16:00:00,19,2009,4,"Newlands, Cape Town"
10,Ross Taylor,521,1,0,13,0,0,1,13.00,Royal Challengers Bangalore,Chennai Super Kings,Inn1,lost,10601,20:00:00,20,2009,4,"St George's Park, Port Elizabeth"
11,Kevin Pietersen,395,3,0,14,1,0,0,4.67,Royal Challengers Bangalore,Chennai Super Kings,Inn1,lost,10601,20:00:00,20,2009,4,"St George's Park, Port Elizabeth"
12,Anil Kumble,98,4,0,26,0,0,1,6.50,Royal Challengers Bangalore,Chennai Super Kings,Inn1,lost,10601,20:00:00,20,2009,4,"St George's Park, Port Elizabeth"
13,Virat Kohli,1413,1,0,9,0,0,0,9.00,Royal Challengers Bangalore,Chennai Super Kings,Inn1,lost,10601,20:00:00,20,2009,4,"St George's Park, Port Elizabeth"
14,Vinay Kumar,1449,1,0,12,0,0,0,12.00,Royal Challengers Bangalore,Chennai Super Kings,Inn1,lost,10601,20:00:00,20,2009,4,"St George's Park, Port Elizabeth"
15,Praveen Kumar,592,4,0,37,2,0,0,9.25,Royal Challengers Bangalore,Chennai Super Kings,Inn1,lost,10601,20:00:00,20,2009,4,"St George's Park, Port Elizabeth"
16,Dale Steyn,508,4,0,35,1,0,2,8.75,Royal Challengers Bangalore,Chennai Super Kings,Inn1,lost,10601,20:00:00,20,2009,4,"St George's Park, Port Elizabeth"
17,Jacques Kallis,213,2,0,28,0,0,0,14.00,Royal Challengers Bangalore,Chennai Super Kings,Inn1,lost,10601,20:00:00,20,2009,4,"St George's Park, Port Elizabeth"
18,Joginder Sharma,270,1,0,10,1,0,1,10.00,Chennai Super Kings,Royal Challengers Bangalore,Inn2,won,10601,20:00:00,20,2009,4,"St George's Park, Port Elizabeth"
19,Muttiah Muralitharan,110,4,1,11,3,0,0,2.75,Chennai Super Kings,Royal Challengers Bangalore,Inn2,won,10601,20:00:00,20,2009,4,"St George's Park, Port Elizabeth"
20,Lakshmipathy Balaji,96,2.2,0,18,2,0,0,8.18,Chennai Super Kings,Royal Challengers Bangalore,Inn2,won,10601,20:00:00,20,2009,4,"St George's Park, Port Elizabeth"
21,Manpreet Gony,1358,3,0,24,1,0,2,8.00,Chennai Super Kings,Royal Challengers Bangalore,Inn2,won,10601,20:00:00,20,2009,4,"St George's Park, Port Elizabeth"
22,Andrew Flintoff,61,3,0,11,1,0,0,3.67,Chennai Super Kings,Royal Challengers Bangalore,Inn2,won,10601,20:00:00,20,2009,4,"St George's Park, Port Elizabeth"
23,Albie Morkel,484,2,0,12,1,0,1,6.00,Chennai Super Kings,Royal Challengers Bangalore,Inn2,won,10601,20:00:00,20,2009,4,"St George's Park, Port Elizabeth"
24,Chris Gayle,247,1,0,14,0,0,3,14.00,Kolkata Knight Riders,Kings XI Punjab,Inn1,won,10600,16:00:00,21,2009,4,"Kingsmead, Durban"
25,Moises Henriques,1437,4,0,32,1,0,1,8.00,Kolkata Knight Riders,Kings XI Punjab,Inn1,won,10600,16:00:00,21,2009,4,"Kingsmead, Durban"
26,Ashok Dinda,1467,4,0,34,1,0,1,8.50,Kolkata Knight Riders,Kings XI Punjab,Inn1,won,10600,16:00:00,21,2009,4,"Kingsmead, Durban"
27,Murali Kartik,300,1,0,7,0,0,0,7.00,Kolkata Knight Riders,Kings XI Punjab,Inn1,won,10600,16:00:00,21,2009,4,"Kingsmead, Durban"
28,Laxmi Shukla,1600,2,0,22,0,0,2,11.00,Kolkata Knight Riders,Kings XI Punjab,Inn1,won,10600,16:00:00,21,2009,4,"Kingsmead, Durban"
29,Sourav Ganguly,29,4,0,24,2,0,0,6.00,Kolkata Knight Riders,Kings XI Punjab,Inn1,won,10600,16:00:00,21,2009,4,"Kingsmead, Durban"
30,Ishant Sharma,702,4,0,24,1,0,0,6.00,Kolkata Knight Riders,Kings XI Punjab,Inn1,won,10600,16:00:00,21,2009,4,"Kingsmead, Durban"
31,Irfan Pathan,73,3,0,27,0,0,2,9.00,Kings XI Punjab,Kolkata Knight Riders,Inn2,lost,10600,16:00:00,21,2009,4,"Kingsmead, Durban"
32,Ravi Bopara,571,0.2,0,1,0,0,0,5.00,Kings XI Punjab,Kolkata Knight Riders,Inn2,lost,10600,16:00:00,21,2009,4,"Kingsmead, Durban"
33,Vikramjeet Singh Malik,1904,2,0,23,1,0,0,11.50,Kings XI Punjab,Kolkata Knight Riders,Inn2,lost,10600,16:00:00,21,2009,4,"Kingsmead, Durban"
34,Piyush Chawla,466,2,0,8,0,0,0,4.00,Kings XI Punjab,Kolkata Knight Riders,Inn2,lost,10600,16:00:00,21,2009,4,"Kingsmead, Durban"
35,Yusuf Abdulla,1651,2,0,20,0,0,2,10.00,Kings XI Punjab,Kolkata Knight Riders,Inn2,lost,10600,16:00:00,21,2009,4,"Kingsmead, Durban"
36,Kevin Pietersen,395,4,0,31,2,0,0,7.75,Royal Challengers Bangalore,Deccan Chargers,Inn1,lost,10598,20:00:00,22,2009,4,"Newlands, Cape Town"
37,Jesse Ryder,583,3,0,29,1,0,1,9.67,Royal Challengers Bangalore,Deccan Chargers,Inn1,lost,10598,20:00:00,22,2009,4,"Newlands, Cape Town"
38,Praveen Kumar,592,4,0,37,1,0,0,9.25,Royal Challengers Bangalore,Deccan Chargers,Inn1,lost,10598,20:00:00,22,2009,4,"Newlands, Cape Town"
39,Dale Steyn,508,3,0,21,1,0,0,7.00,Royal Challengers Bangalore,Deccan Chargers,Inn1,lost,10598,20:00:00,22,2009,4,"Newlands, Cape Town"
40,Jacques Kallis,213,2,0,19,0,0,0,9.50,Royal Challengers Bangalore,Deccan Chargers,Inn1,lost,10598,20:00:00,22,2009,4,"Newlands, Cape Town"
41,Anil Kumble,98,4,0,39,0,0,0,9.75,Royal Challengers Bangalore,Deccan Chargers,Inn1,lost,10598,20:00:00,22,2009,4,"Newlands, Cape Town"
42,Fidel Edwards,381,4,0,39,1,0,1,9.75,Deccan Chargers,Royal Challengers Bangalore,Inn2,won,10598,20:00:00,22,2009,4,"Newlands, Cape Town"
43,Pragyan Ojha,1356,4,0,27,1,0,0,6.75,Deccan Chargers,Royal Challengers Bangalore,Inn2,won,10598,20:00:00,22,2009,4,"Newlands, Cape Town"
44,Scott Styris,58,4,0,32,3,0,1,8.00,Deccan Chargers,Royal Challengers Bangalore,Inn2,won,10598,20:00:00,22,2009,4,"Newlands, Cape Town"
45,RP Singh,434,4,0,17,2,0,0,4.25,Deccan Chargers,Royal Challengers Bangalore,Inn2,won,10598,20:00:00,22,2009,4,"Newlands, Cape Town"
46,Harmeet Singh Bansal,1899,4,0,44,0,0,4,11.00,Deccan Chargers,Royal Challengers Bangalore,Inn2,won,10598,20:00:00,22,2009,4,"Newlands, Cape Town"
47,Lakshmipathy Balaji,96,4,0,19,3,0,1,4.75,Chennai Super Kings,Delhi Daredevils,Inn1,lost,10597,16:00:00,23,2009,4,"Kingsmead, Durban"
48,Manpreet Gony,1358,4,0,45,1,0,0,11.25,Chennai Super Kings,Delhi Daredevils,Inn1,lost,10597,16:00:00,23,2009,4,"Kingsmead, Durban"
49,Albie Morkel,484,4,0,41,1,0,0,10.25,Chennai Super Kings,Delhi Daredevils,Inn1,lost,10597,16:00:00,23,2009,4,"Kingsmead, Durban"
50,Andrew Flintoff,61,4,0,50,0,0,0,12.50,Chennai Super Kings,Delhi Daredevils,Inn1,lost,10597,16:00:00,23,2009,4,"Kingsmead, Durban"
51,Joginder Sharma,270,1,0,8,0,0,0,8.00,Chennai Super Kings,Delhi Daredevils,Inn1,lost,10597,16:00:00,23,2009,4,"Kingsmead, Durban"
52,Muttiah Muralitharan,110,3,0,26,0,0,0,8.67,Chennai Super Kings,Delhi Daredevils,Inn1,lost,10597,16:00:00,23,2009,4,"Kingsmead, Durban"
53,Aavishkar Salvi,1857,3,0,41,0,0,1,13.67,Delhi Daredevils,Chennai Super Kings,Inn2,won,10597,16:00:00,23,2009,4,"Kingsmead, Durban"
54,Ashish Nehra,269,4,0,33,1,0,1,8.25,Delhi Daredevils,Chennai Super Kings,Inn2,won,10597,16:00:00,23,2009,4,"Kingsmead, Durban"
55,Dirk Nannes,1647,4,0,32,0,0,0,8.00,Delhi Daredevils,Chennai Super Kings,Inn2,won,10597,16:00:00,23,2009,4,"Kingsmead, Durban"
56,Manoj Tiwary,694,1,0,11,0,0,0,11.00,Delhi Daredevils,Chennai Super Kings,Inn2,won,10597,16:00:00,23,2009,4,"Kingsmead, Durban"
57,Pradeep Sangwan,1472,4,0,28,3,1,2,7.00,Delhi Daredevils,Chennai Super Kings,Inn2,won,10597,16:00:00,23,2009,4,"Kingsmead, Durban"
58,Daniel Vettori,205,4,0,29,2,0,0,7.25,Delhi Daredevils,Chennai Super Kings,Inn2,won,10597,16:00:00,23,2009,4,"Kingsmead, Durban"
59,Vikram Singh,456,2,0,22,1,0,0,11.00,Kings XI Punjab,Royal Challengers Bangalore,Inn1,won,10595,20:00:00,24,2009,4,"Kingsmead, Durban"
60,Ravi Bopara,571,1,0,4,0,0,0,4.00,Kings XI Punjab,Royal Challengers Bangalore,Inn1,won,10595,20:00:00,24,2009,4,"Kingsmead, Durban"
61,Ranadeb Bose,732,2,0,24,0,0,0,12.00,Kings XI Punjab,Royal Challengers Bangalore,Inn1,won,10595,20:00:00,24,2009,4,"Kingsmead, Durban"
62,Irfan Pathan,73,4,0,35,3,0,0,8.75,Kings XI Punjab,Royal Challengers Bangalore,Inn1,won,10595,20:00:00,24,2009,4,"Kingsmead, Durban"
63,Yusuf Abdulla,1651,4,0,31,4,0,3,7.75,Kings XI Punjab,Royal Challengers Bangalore,Inn1,won,10595,20:00:00,24,2009,4,"Kingsmead, Durban"
64,Piyush Chawla,466,4,0,19,1,0,0,4.75,Kings XI Punjab,Royal Challengers Bangalore,Inn1,won,10595,20:00:00,24,2009,4,"Kingsmead, Durban"
65,Yuvraj Singh,69,3,0,28,0,0,0,9.33,Kings XI Punjab,Royal Challengers Bangalore,Inn1,won,10595,20:00:00,24,2009,4,"Kingsmead, Durban"
66,Vinay Kumar,1449,1,0,4,0,0,0,4.00,Royal Challengers Bangalore,Kings XI Punjab,Inn2,lost,10595,20:00:00,24,2009,4,"Kingsmead, Durban"
67,Jacques Kallis,213,4,0,51,1,0,2,12.75,Royal Challengers Bangalore,Kings XI Punjab,Inn2,lost,10595,20:00:00,24,2009,4,"Kingsmead, Durban"
68,Pankaj Singh,6328,2,0,20,0,0,2,10.00,Royal Challengers Bangalore,Kings XI Punjab,Inn2,lost,10595,20:00:00,24,2009,4,"Kingsmead, Durban"
69,Praveen Kumar,592,4,0,36,0,0,1,9.00,Royal Challengers Bangalore,Kings XI Punjab,Inn2,lost,10595,20:00:00,24,2009,4,"Kingsmead, Durban"
70,Kevin Pietersen,395,2,0,16,0,0,0,8.00,Royal Challengers Bangalore,Kings XI Punjab,Inn2,lost,10595,20:00:00,24,2009,4,"Kingsmead, Durban"
71,Jesse Ryder,583,2,0,23,0,0,0,11.50,Royal Challengers Bangalore,Kings XI Punjab,Inn2,lost,10595,20:00:00,24,2009,4,"Kingsmead, Durban"
72,Anil Kumble,98,4,0,19,1,0,0,4.75,Royal Challengers Bangalore,Kings XI Punjab,Inn2,lost,10595,20:00:00,24,2009,4,"Kingsmead, Durban"
73,Dhawal Kulkarni,1451,1,0,18,0,0,0,18.00,Mumbai Indians,Deccan Chargers,Inn1,lost,10594,16:00:00,25,2009,4,"Kingsmead, Durban"
74,Lasith Malinga,111,4,1,19,3,0,1,4.75,Mumbai Indians,Deccan Chargers,Inn1,lost,10594,16:00:00,25,2009,4,"Kingsmead, Durban"
75,Zaheer Khan,71,4,0,32,0,0,1,8.00,Mumbai Indians,Deccan Chargers,Inn1,lost,10594,16:00:00,25,2009,4,"Kingsmead, Durban"
76,Dwayne Bravo,242,4,0,34,3,0,1,8.50,Mumbai Indians,Deccan Chargers,Inn1,lost,10594,16:00:00,25,2009,4,"Kingsmead, Durban"
77,Harbhajan Singh,75,4,0,27,1,0,1,6.75,Mumbai Indians,Deccan Chargers,Inn1,lost,10594,16:00:00,25,2009,4,"Kingsmead, Durban"
78,Sanath Jayasuriya,102,3,0,29,1,0,1,9.67,Mumbai Indians,Deccan Chargers,Inn1,lost,10594,16:00:00,25,2009,4,"Kingsmead, Durban"
79,Harmeet Singh Bansal,1899,1,0,19,0,0,0,19.00,Deccan Chargers,Mumbai Indians,Inn2,won,10594,16:00:00,25,2009,4,"Kingsmead, Durban"
80,Fidel Edwards,381,4,0,27,2,0,4,6.75,Deccan Chargers,Mumbai Indians,Inn2,won,10594,16:00:00,25,2009,4,"Kingsmead, Durban"
81,Dwayne Smith,255,2,0,15,0,0,0,7.50,Deccan Chargers,Mumbai Indians,Inn2,won,10594,16:00:00,25,2009,4,"Kingsmead, Durban"
82,RP Singh,434,4,0,27,2,1,1,6.75,Deccan Chargers,Mumbai Indians,Inn2,won,10594,16:00:00,25,2009,4,"Kingsmead, Durban"
83,Venugopal Rao,412,4,0,33,0,0,0,8.25,Deccan Chargers,Mumbai Indians,Inn2,won,10594,16:00:00,25,2009,4,"Kingsmead, Durban"
84,Rohit Sharma,576,1,0,8,0,0,0,8.00,Deccan Chargers,Mumbai Indians,Inn2,won,10594,16:00:00,25,2009,4,"Kingsmead, Durban"
85,Pragyan Ojha,1356,4,0,21,3,0,1,5.25,Deccan Chargers,Mumbai Indians,Inn2,won,10594,16:00:00,25,2009,4,"Kingsmead, Durban"
86,Ashish Nehra,269,4,0,34,2,1,1,8.50,Delhi Daredevils,Royal Challengers Bangalore,Inn1,won,10592,16:00:00,26,2009,4,"St George's Park, Port Elizabeth"
87,Pradeep Sangwan,1472,4,0,32,1,0,1,8.00,Delhi Daredevils,Royal Challengers Bangalore,Inn1,won,10592,16:00:00,26,2009,4,"St George's Park, Port Elizabeth"
88,Amit Mishra,1454,4,0,19,1,0,2,4.75,Delhi Daredevils,Royal Challengers Bangalore,Inn1,won,10592,16:00:00,26,2009,4,"St George's Park, Port Elizabeth"
89,Daniel Vettori,205,4,0,35,1,0,0,8.75,Delhi Daredevils,Royal Challengers Bangalore,Inn1,won,10592,16:00:00,26,2009,4,"St George's Park, Port Elizabeth"
90,Dirk Nannes,1647,4,0,24,1,0,1,6.00,Delhi Daredevils,Royal Challengers Bangalore,Inn1,won,10592,16:00:00,26,2009,4,"St George's Park, Port Elizabeth"
91,Pankaj Singh,6328,4,0,31,2,0,1,7.75,Royal Challengers Bangalore,Delhi Daredevils,Inn2,lost,10592,16:00:00,26,2009,4,"St George's Park, Port Elizabeth"
92,Vinay Kumar,1449,3.2,0,28,0,0,0,8.75,Royal Challengers Bangalore,Delhi Daredevils,Inn2,lost,10592,16:00:00,26,2009,4,"St George's Park, Port Elizabeth"
93,Balachandra Akhil,1803,1,0,8,1,0,0,8.00,Royal Challengers Bangalore,Delhi Daredevils,Inn2,lost,10592,16:00:00,26,2009,4,"St George's Park, Port Elizabeth"
94,KP Appanna,1804,4,0,24,1,0,0,6.00,Royal Challengers Bangalore,Delhi Daredevils,Inn2,lost,10592,16:00:00,26,2009,4,"St George's Park, Port Elizabeth"
95,Jacques Kallis,213,3,0,37,0,0,3,12.33,Royal Challengers Bangalore,Delhi Daredevils,Inn2,lost,10592,16:00:00,26,2009,4,"St George's Park, Port Elizabeth"
96,Anil Kumble,98,4,0,22,0,0,0,5.50,Royal Challengers Bangalore,Delhi Daredevils,Inn2,lost,10592,16:00:00,26,2009,4,"St George's Park, Port Elizabeth"
97,Shoaib Ahmed,1900,3,0,31,0,0,1,10.33,Deccan Chargers,Chennai Super Kings,Inn1,won,10590,16:00:00,27,2009,4,"Kingsmead, Durban"
98,Fidel Edwards,381,4,0,21,1,0,0,5.25,Deccan Chargers,Chennai Super Kings,Inn1,won,10590,16:00:00,27,2009,4,"Kingsmead, Durban"
99,RP Singh,434,3,0,32,1,3,2,10.67,Deccan Chargers,Chennai Super Kings,Inn1,won,10590,16:00:00,27,2009,4,"Kingsmead, Durban"
100,Dwayne Smith,255,1,0,17,0,0,0,17.00,Deccan Chargers,Chennai Super Kings,Inn1,won,10590,16:00:00,27,2009,4,"Kingsmead, Durban"
101,Venugopal Rao,412,4,0,35,1,0,1,8.75,Deccan Chargers,Chennai Super Kings,Inn1,won,10590,16:00:00,27,2009,4,"Kingsmead, Durban"
102,Rohit Sharma,576,3,0,18,1,0,0,6.00,Deccan Chargers,Chennai Super Kings,Inn1,won,10590,16:00:00,27,2009,4,"Kingsmead, Durban"
103,Pragyan Ojha,1356,2,0,11,2,0,0,5.50,Deccan Chargers,Chennai Super Kings,Inn1,won,10590,16:00:00,27,2009,4,"Kingsmead, Durban"
104,Suresh Raina,413,4,0,18,2,0,0,4.50,Chennai Super Kings,Deccan Chargers,Inn2,lost,10590,16:00:00,27,2009,4,"Kingsmead, Durban"
105,Joginder Sharma,270,1,0,14,0,0,0,14.00,Chennai Super Kings,Deccan Chargers,Inn2,lost,10590,16:00:00,27,2009,4,"Kingsmead, Durban"
106,Manpreet Gony,1358,1,0,20,0,0,1,20.00,Chennai Super Kings,Deccan Chargers,Inn2,lost,10590,16:00:00,27,2009,4,"Kingsmead, Durban"
107,Albie Morkel,484,3,0,29,0,1,0,9.67,Chennai Super Kings,Deccan Chargers,Inn2,lost,10590,16:00:00,27,2009,4,"Kingsmead, Durban"
