,batsman,got_out,Runs,Balls,Fours,Sixes,St.rate,Inning,Team,Opponent,Win/Lost,match_id,time,day,year,Month,Venue,ID
0,Shikhar Dhawan,not out,31,14,3,2,221.43,Inn1,Deccan Chargers,Rajasthan Royals,lost,9900,16:00:00,9,2011,4,"Rajiv Gandhi International Stadium, Hyderabad",1446
1,Ishank Jaggi,b Pathan,13,10,0,1,130.00,Inn1,Deccan Chargers,Rajasthan Royals,lost,9900,16:00:00,9,2011,4,"Rajiv Gandhi International Stadium, Hyderabad",1855
2,Kumar Sangakkara,c Pathan b Mota,32,13,2,3,246.15,Inn1,Deccan Chargers,Rajasthan Royals,lost,9900,16:00:00,9,2011,4,"Rajiv Gandhi International Stadium, Hyderabad",104
3,Bharath Chipli,not out,116,54,8,9,214.81,Inn1,Deccan Chargers,Rajasthan Royals,lost,9900,16:00:00,9,2011,4,"Rajiv Gandhi International Stadium, Hyderabad",1806
4,Jean-Paul Duminy,lbw b Hopes,2,3,0,0,66.67,Inn1,Deccan Chargers,Rajasthan Royals,lost,9900,16:00:00,9,2011,4,"Rajiv Gandhi International Stadium, Hyderabad",211
5,Daniel Christian,c Sangakkara b Lee,15,10,3,0,150.00,Inn1,Deccan Chargers,Rajasthan Royals,lost,9900,16:00:00,9,2011,4,"Rajiv Gandhi International Stadium, Hyderabad",6283
6,Dwaraka Ravi Teja,b Pathan,25,17,4,1,147.06,Inn1,Deccan Chargers,Rajasthan Royals,lost,9900,16:00:00,9,2011,4,"Rajiv Gandhi International Stadium, Hyderabad",1464
7,Amit Paunikar,not out,31,14,3,2,221.43,Inn2,Rajasthan Royals,Deccan Chargers,won,9900,16:00:00,9,2011,4,"Rajiv Gandhi International Stadium, Hyderabad",6291
8,Rahul Dravid,b Pathan,13,10,0,1,130.00,Inn2,Rajasthan Royals,Deccan Chargers,won,9900,16:00:00,9,2011,4,"Rajiv Gandhi International Stadium, Hyderabad",27
9,Johan Botha,c Pathan b Mota,32,13,2,3,246.15,Inn2,Rajasthan Royals,Deccan Chargers,won,9900,16:00:00,9,2011,4,"Rajiv Gandhi International Stadium, Hyderabad",487
10,Ross Taylor,not out,116,54,8,9,214.81,Inn2,Rajasthan Royals,Deccan Chargers,won,9900,16:00:00,9,2011,4,"Rajiv Gandhi International Stadium, Hyderabad",521
11,5,lbw b Hopes,2,3,0,0,66.67,Inn2,Rajasthan Royals,Deccan Chargers,won,9900,16:00:00,9,2011,4,"Rajiv Gandhi International Stadium, Hyderabad",
12,,c Sangakkara b Lee,15,10,3,0,150.00,Inn2,Rajasthan Royals,Deccan Chargers,won,9900,16:00:00,9,2011,4,"Rajiv Gandhi International Stadium, Hyderabad",
13,,c Sangakkara b Lee,15,17,4,1,147.06,Inn2,Rajasthan Royals,Deccan Chargers,won,9900,16:00:00,9,2011,4,"Rajiv Gandhi International Stadium, Hyderabad",
14,,b Pathan,25,10,3,0,150.00,Inn2,Rajasthan Royals,Deccan Chargers,won,9900,16:00:00,9,2011,4,"Rajiv Gandhi International Stadium, Hyderabad",
